Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,48.243775,[152  98] ; [18 77],[123.1884058 126.8115942] ; [46.8115942 48.1884058],1
a3,1,0.0,43.755188,[204  47] ; [43 52],[179.18208092  71.81791908] ; [67.81791908 27.18208092],1
d5,1,0.0,37.977799,[222  29] ; [56 39],[201.67052023  49.32947977] ; [76.32947977 18.67052023],1
d1,1,0.0,34.562048,[163  89] ; [28 67],[138.70893372 113.29106628] ; [52.29106628 42.70893372],1
d2,1,0.0,32.860309,[152  96] ; [25 69],[128.35087719 119.64912281] ; [48.64912281 45.35087719],1
u1,1,0.0,26.517764,[ 68 184] ; [ 2 93],[ 50.83573487 201.16426513] ; [19.16426513 75.83573487],1
a6,1,6e-06,20.448576,[188  63] ; [47 48],[170.47687861  80.52312139] ; [64.52312139 30.47687861],1
d4,1,1.9e-05,18.316222,[213  38] ; [60 34],[198.6173913  52.3826087] ; [74.3826087 19.6173913],1
r2,1,0.000112,14.923184,[234  12] ; [78 17],[225.07917889  20.92082111] ; [86.92082111  8.07917889],1
s7,1,0.000128,14.664558,[128 114] ; [26 63],[112.59214502 129.40785498] ; [41.40785498 47.59214502],1
r1,1,0.000137,14.540916,[203  49] ; [57 37],[189.36416185  62.63583815] ; [70.63583815 23.36416185],1
p9,1,0.001409,10.193634,[198  51] ; [59 35],[186.56851312  62.43148688] ; [70.43148688 23.56851312],0
s8,1,0.008232,6.98233,[108 144] ; [26 69],[ 97.31412104 154.68587896] ; [36.68587896 58.31412104],0
p10,1,0.013447,6.109361,[188  62] ; [58 36],[178.77906977  71.22093023] ; [67.22093023 26.77906977],0
r4,1,0.015471,5.86207,[214  38] ; [70 25],[206.24783862  45.75216138] ; [77.75216138 17.24783862],0
v4,1,0.0177,5.625609,[226  24] ; [77 18],[219.56521739  30.43478261] ; [83.43478261 11.56521739],0
s2,1,0.017925,5.60351,[130 120] ; [35 58],[120.26239067 129.73760933] ; [44.73760933 48.26239067],0
d3,1,0.021966,5.248468,[173  78] ; [53 42],[163.94797688  87.05202312] ; [62.05202312 32.94797688],0
s5,1,0.022342,5.218945,[ 73 168] ; [16 74],[ 64.80060423 176.19939577] ; [24.19939577 65.80060423],0
p4,1,0.038174,4.297249,[121 130] ; [34 61],[112.44219653 138.55780347] ; [42.55780347 52.44219653],0
a7,1,0.050471,3.825748,[178  74] ; [56 38],[170.42774566  81.57225434] ; [63.57225434 30.42774566],0
r3,1,0.075838,3.151905,[229  21] ; [80 14],[224.56395349  25.43604651] ; [84.43604651  9.56395349],0
p2,1,0.080432,3.056144,[182  68] ; [60 35],[175.36231884  74.63768116] ; [66.63768116 28.36231884],0
n3,1,0.126703,2.332441,[54 16] ; [14  9],[51.1827957 18.8172043] ; [16.8172043  6.1827957],0
v3,1,0.151369,2.058398,[ 93 146] ; [28 64],[ 87.36858006 151.63141994] ; [33.63141994 58.36858006],0
p6,1,0.254942,1.296019,[ 66 184] ; [19 74],[ 61.95335277 188.04664723] ; [23.04664723 69.95335277],0
v2,1,0.268058,1.226658,[131 114] ; [41 47],[126.54654655 118.45345345] ; [45.45345345 42.54654655],0
s6,1,0.295869,1.092722,[160  90] ; [55 40],[155.79710145  94.20289855] ; [59.20289855 35.79710145],0
p3,1,0.301097,1.069327,[ 97 154] ; [31 64],[ 92.85549133 158.14450867] ; [35.14450867 59.85549133],0
b2,1,0.307115,1.043042,[73 96] ; [21 38],[69.6754386 99.3245614] ; [24.3245614 34.6754386],0
b3,1,0.307115,1.043042,[73 96] ; [21 38],[69.6754386 99.3245614] ; [24.3245614 34.6754386],0
s4,1,0.310574,1.028232,[ 37 212] ; [10 84],[ 34.11953353 214.88046647] ; [12.88046647 81.11953353],0
u3,1,0.31297,1.0181,[27 21] ; [24 28],[24.48 23.52] ; [26.52 25.48],0
p12,1,0.313789,1.01466,[ 18 233] ; [ 4 91],[ 15.95953757 235.04046243] ; [ 6.04046243 88.95953757],0
p5,1,0.330722,0.946069,[ 12 237] ; [ 7 86],[ 13.83333333 235.16666667] ; [ 5.16666667 87.83333333],0
p1,1,0.333367,0.935773,[ 14 237] ; [ 8 87],[ 15.95953757 235.04046243] ; [ 6.04046243 88.95953757],0
b1,1,0.36759,0.811794,[ 98 154] ; [42 53],[101.67146974 150.32853026] ; [38.32853026 56.67146974],0
a1,1,0.377113,0.780092,[ 17 235] ; [ 4 91],[ 15.25072046 236.74927954] ; [ 5.74927954 89.25072046],0
n6,1,0.386501,0.749923,[205  45] ; [74 21],[202.17391304  47.82608696] ; [76.82608696 18.17391304],0
b4,1,0.493914,0.467988,[149 103] ; [60 35],[151.78097983 100.21902017] ; [57.21902017 37.78097983],0
u4,1,0.552816,0.352297,[  5 247] ; [ 1 94],[  4.3573487 247.6426513] ; [ 1.6426513 93.3573487],0
p11,1,0.583457,0.30068,[180  72] ; [65 30],[177.92507205  74.07492795] ; [67.07492795 27.92507205],0
n2,1,0.610649,0.259231,[51 21] ; [15  8],[50.02105263 21.97894737] ; [15.97894737  7.02105263],0
s1,1,0.699079,0.149432,[ 11 237] ; [ 5 87],[ 11.67058824 236.32941176] ; [ 4.32941176 87.67058824],0
s3,1,0.721928,0.126653,[138 111] ; [49 43],[136.5483871 112.4516129] ; [50.4516129 41.5483871],0
u2,1,0.723563,0.125105,[26 20] ; [27 24],[25.13402062 20.86597938] ; [27.86597938 23.13402062],0
n1,1,0.767229,0.087617,[31 39] ; [11 12],[31.61290323 38.38709677] ; [10.38709677 12.61290323],0
p7,1,0.787205,0.072868,[100 148] ; [39 54],[101.09090909 146.90909091] ; [37.90909091 55.09090909],0
n5,1,0.800166,0.064076,[203  47] ; [76 19],[202.17391304  47.82608696] ; [76.82608696 18.17391304],0
a8,1,0.88211,0.021992,[ 32 192] ; [12 76],[ 31.58974359 192.41025641] ; [12.41025641 75.58974359],0
v1,1,0.947185,0.004388,[110 130] ; [43 50],[110.27027027 129.72972973] ; [42.72972973 50.27027027],0
b5,1,0.989602,0.00017,[162  90] ; [61 34],[161.9481268  90.0518732] ; [61.0518732 33.9481268],0
