Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,7e-06,20.196328,[61 39] ; [218  44],[77.0718232 22.9281768] ; [201.9281768  60.0718232],1
p7,1,1e-05,19.538062,[30 72] ; [142 115],[48.86908078 53.13091922] ; [123.13091922 133.86908078],1
p11,1,1.1e-05,19.40972,[57 48] ; [208  61],[74.39839572 30.60160428] ; [190.60160428  78.39839572],1
p8,1,5.2e-05,16.376423,[19 86] ; [105 156],[35.57377049 69.42622951] ; [ 88.42622951 172.57377049],1
b1,1,0.000274,13.237393,[54 51] ; [ 84 185],[38.74331551 66.25668449] ; [ 99.25668449 169.74331551],1
p10,1,0.00063,11.684568,[60 43] ; [202  63],[73.33152174 29.66847826] ; [188.66847826  76.33152174],1
s1,1,0.000837,11.157091,[ 9 95] ; [  4 260],[  3.67391304 100.32608696] ; [  9.32608696 254.67391304],1
r3,1,0.001944,9.601382,[90 15] ; [254  13],[97.09677419  7.90322581] ; [246.90322581  20.09677419],0
u4,1,0.035749,4.409025,[  3 102] ; [  1 268],[  1.12299465 103.87700535] ; [  2.87700535 266.12299465],0
a1,1,0.062777,3.462448,[ 7 98] ; [  7 262],[  3.93048128 101.06951872] ; [ 10.06951872 258.93048128],0
n6,1,0.06626,3.373332,[75 30] ; [215  53],[81.63538874 23.36461126] ; [208.36461126  59.63538874],0
d5,1,0.070169,3.279067,[70 34] ; [205  63],[76.88172043 27.11827957] ; [198.11827957  69.88172043],0
a8,1,0.087785,2.914538,[ 8 93] ; [ 36 210],[12.80691643 88.19308357] ; [ 31.19308357 214.80691643],0
v1,1,0.15145,2.057587,[40 65] ; [120 139],[46.15384615 58.84615385] ; [113.84615385 145.15384615],0
n3,1,0.153378,2.038328,[24 15] ; [58 20],[27.33333333 11.66666667] ; [54.66666667 23.33333333],0
a4,1,0.165305,1.925018,[46 58] ; [ 98 171],[40.15013405 63.84986595] ; [103.84986595 165.15013405],0
s4,1,0.181561,1.784801,[22 82] ; [ 41 226],[17.66037736 86.33962264] ; [ 45.33962264 221.66037736],0
n1,1,0.184914,1.757682,[18 24] ; [23 52],[14.71794872 27.28205128] ; [26.28205128 48.71794872],0
s3,1,0.219607,1.506939,[46 56] ; [140 128],[51.27567568 50.72432432] ; [134.72432432 133.27567568],0
p1,1,0.229112,1.446365,[ 8 97] ; [ 12 255],[ 5.64516129 99.35483871] ; [ 14.35483871 252.64516129],0
r1,1,0.281675,1.158988,[75 30] ; [205  62],[79.03225806 25.96774194] ; [200.96774194  66.03225806],0
s6,1,0.291807,1.111264,[54 49] ; [155 110],[58.49728261 44.50271739] ; [150.50271739 114.49728261],0
u3,1,0.304994,1.052232,[22 15] ; [44 45],[19.38095238 17.61904762] ; [46.61904762 42.38095238],0
r4,1,0.316478,1.003447,[88 17] ; [236  33],[90.96256684 14.03743316] ; [233.03743316  35.96256684],0
n4,1,0.317064,1.001018,[66 39] ; [183  85],[70.09383378 34.90616622] ; [178.90616622  89.09383378],0
a2,1,0.323346,0.975365,[23 82] ; [ 47 222],[19.65240642 85.34759358] ; [ 50.34759358 218.65240642],0
d4,1,0.373165,0.793098,[77 27] ; [210  58],[80.23655914 23.76344086] ; [206.76344086  61.23655914],0
d3,1,0.427008,0.630948,[60 44] ; [166 101],[63.35309973 40.64690027] ; [162.64690027 104.35309973],0
n2,1,0.430403,0.621735,[30 12] ; [60 17],[31.76470588 10.23529412] ; [58.23529412 18.76470588],0
p6,1,0.435987,0.606823,[16 88] ; [ 49 211],[18.57142857 85.42857143] ; [ 46.42857143 213.57142857],0
d2,1,0.467602,0.527636,[45 58] ; [106 162],[41.92183288 61.07816712] ; [109.07816712 158.92183288],0
r2,1,0.488978,0.478774,[98  7] ; [254  13],[99.35483871  5.64516129] ; [252.64516129  14.35483871],0
p12,1,0.504687,0.445067,[ 6 98] ; [ 11 254],[ 4.79132791 99.20867209] ; [ 12.20867209 252.79132791],0
s5,1,0.506405,0.441489,[23 75] ; [ 70 190],[25.45810056 72.54189944] ; [ 67.54189944 192.45810056],0
p5,1,0.509722,0.434637,[ 5 99] ; [  9 259],[  3.91397849 100.08602151] ; [ 10.08602151 257.91397849],0
a7,1,0.551511,0.354617,[69 36] ; [184  83],[71.41129032 33.58870968] ; [181.58870968  85.41129032],0
b4,1,0.582627,0.302006,[58 47] ; [157 112],[60.36096257 44.63903743] ; [154.63903743 114.36096257],0
a6,1,0.590121,0.290155,[66 38] ; [178  90],[68.21505376 35.78494624] ; [175.78494624  92.21505376],0
s2,1,0.638046,0.221306,[42 62] ; [115 152],[44.01078167 59.98921833] ; [112.98921833 154.01078167],0
v2,1,0.654003,0.20089,[48 49] ; [133 122],[49.87784091 47.12215909] ; [131.12215909 123.87784091],0
s8,1,0.664241,0.188413,[34 70] ; [ 94 174],[35.78494624 68.21505376] ; [ 92.21505376 175.78494624],0
a3,1,0.708952,0.139326,[68 36] ; [180  87],[69.52021563 34.47978437] ; [178.47978437  88.52021563],0
p3,1,0.731362,0.117865,[23 81] ; [ 64 205],[24.25737265 79.74262735] ; [ 62.74262735 206.25737265],0
v3,1,0.777148,0.080111,[34 63] ; [ 88 175],[32.87222222 64.12777778] ; [ 89.12777778 173.87222222],0
u2,1,0.784998,0.074426,[19 18] ; [47 40],[19.69354839 17.30645161] ; [46.30645161 40.69354839],0
b5,1,0.792324,0.069324,[66 39] ; [173  96],[67.09893048 37.90106952] ; [171.90106952  97.09893048],0
u1,1,0.817238,0.053407,[13 92] ; [ 31 238],[12.35294118 92.64705882] ; [ 31.64705882 237.35294118],0
b3,1,0.849479,0.036018,[21 41] ; [49 90],[21.5920398 40.4079602] ; [48.4079602 90.5920398],0
b2,1,0.849479,0.036018,[21 41] ; [49 90],[21.5920398 40.4079602] ; [48.4079602 90.5920398],0
n5,1,0.858234,0.031906,[67 38] ; [173  94],[67.74193548 37.25806452] ; [172.25806452  94.74193548],0
a5,1,0.873862,0.025203,[67 38] ; [174  95],[67.66042781 37.33957219] ; [173.33957219  95.66042781],0
d1,1,0.953341,0.003424,[50 55] ; [129 140],[50.2540107 54.7459893] ; [128.7459893 140.2540107],0
s7,1,0.95686,0.002926,[37 63] ; [ 97 163],[37.22222222 62.77777778] ; [ 96.77777778 163.22222222],0
