Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1.2e-05,19.14565,[45  4] ; [22 21],[35.68478261 13.31521739] ; [31.31521739 11.68478261],1
v4,1,0.00081,11.218522,[46  3] ; [30 15],[39.61702128  9.38297872] ; [36.38297872  8.61702128],1
p10,1,0.002088,9.470478,[38 11] ; [20 23],[30.89130435 18.10869565] ; [27.10869565 15.89130435],0
p8,1,0.009874,6.65757,[19 29] ; [ 7 38],[13.41935484 34.58064516] ; [12.58064516 32.41935484],0
r3,1,0.016336,5.766369,[42  6] ; [30 15],[37.16129032 10.83870968] ; [34.83870968 10.16129032],0
b5,1,0.0411,4.171887,[31 18] ; [19 26],[26.06382979 22.93617021] ; [23.93617021 21.06382979],0
s3,1,0.047168,3.939394,[24 25] ; [12 30],[19.38461538 29.61538462] ; [16.61538462 25.38461538],0
n1,1,0.050285,3.831939,[ 3 11] ; [11  9],[5.76470588 8.23529412] ; [ 8.23529412 11.76470588],0
a4,1,0.064543,3.416614,[13 36] ; [ 5 39],[ 9.48387097 39.51612903] ; [ 8.51612903 35.48387097],0
n6,1,0.072012,3.23656,[38 10] ; [28 17],[34.06451613 13.93548387] ; [31.93548387 13.06451613],0
s2,1,0.09516,2.78485,[19 29] ; [10 33],[15.2967033 32.7032967] ; [13.7032967 29.2967033],0
s7,1,0.098281,2.733214,[16 32] ; [ 8 36],[12.52173913 35.47826087] ; [11.47826087 32.52173913],0
p1,1,0.162896,1.947134,[ 4 45] ; [ 8 37],[ 6.25531915 42.74468085] ; [ 5.74468085 39.25531915],0
b1,1,0.164757,1.93001,[16 33] ; [21 24],[19.28723404 29.71276596] ; [17.71276596 27.28723404],0
p4,1,0.165381,1.924323,[15 34] ; [ 8 36],[12.11827957 36.88172043] ; [10.88172043 33.11827957],0
p11,1,0.165999,1.918706,[35 14] ; [26 19],[31.79787234 17.20212766] ; [29.20212766 15.79787234],0
s8,1,0.169673,1.885834,[12 37] ; [ 6 39],[ 9.38297872 39.61702128] ; [ 8.61702128 36.38297872],0
v1,1,0.180201,1.795967,[21 26] ; [14 31],[17.88043478 29.11956522] ; [17.11956522 27.88043478],0
v2,1,0.181631,1.784224,[17 29] ; [10 32],[14.11363636 31.88636364] ; [12.88636364 29.11363636],0
b4,1,0.240071,1.380179,[33 16] ; [25 20],[30.23404255 18.76595745] ; [27.76595745 17.23404255],0
b3,1,0.246605,1.342438,[ 9 15] ; [14 12],[11.04 12.96] ; [11.96 14.04],0
b2,1,0.246605,1.342438,[ 9 15] ; [14 12],[11.04 12.96] ; [11.96 14.04],0
a7,1,0.293314,1.104349,[26 23] ; [19 26],[23.45744681 25.54255319] ; [21.54255319 23.45744681],0
a6,1,0.30977,1.031655,[28 21] ; [21 24],[25.54255319 23.45744681] ; [23.45744681 21.54255319],0
r1,1,0.33373,0.934372,[32 17] ; [25 20],[29.71276596 19.28723404] ; [27.28723404 17.71276596],0
u3,1,0.340107,0.910027,[12 14] ; [ 9 18],[10.30188679 15.69811321] ; [10.69811321 16.30188679],0
a1,1,0.340862,0.907188,[ 2 47] ; [ 4 41],[ 3.12765957 45.87234043] ; [ 2.87234043 42.12765957],0
r4,1,0.343964,0.8956,[36 13] ; [29 16],[33.88297872 15.11702128] ; [31.11702128 13.88297872],0
p12,1,0.354259,0.858142,[ 2 46] ; [ 4 41],[ 3.09677419 44.90322581] ; [ 2.90322581 42.09677419],0
s6,1,0.434902,0.609696,[24 25] ; [18 26],[22.12903226 26.87096774] ; [19.87096774 24.12903226],0
n3,1,0.449731,0.57133,[7 7] ; [12  7],[8.06060606 5.93939394] ; [10.93939394  8.06060606],0
r2,1,0.46802,0.526647,[41  8] ; [35 10],[39.61702128  9.38297872] ; [36.38297872  8.61702128],0
d4,1,0.497978,0.459243,[23 26] ; [18 27],[21.37234043 27.62765957] ; [19.62765957 25.37234043],0
u2,1,0.500709,0.453434,[12 14] ; [10 17],[10.79245283 15.20754717] ; [11.20754717 15.79245283],0
n2,1,0.510961,0.432099,[10  4] ; [17  4],[10.8  3.2] ; [16.2  4.8],0
a5,1,0.535644,0.383673,[26 23] ; [21 24],[24.5 24.5] ; [22.5 22.5],0
v3,1,0.576657,0.31167,[12 36] ; [13 30],[13.18681319 34.81318681] ; [11.81318681 31.18681319],0
p5,1,0.576914,0.31125,[ 2 47] ; [ 3 42],[ 2.60638298 46.39361702] ; [ 2.39361702 42.60638298],0
s1,1,0.607685,0.26356,[ 3 45] ; [ 4 40],[ 3.65217391 44.34782609] ; [ 3.34782609 40.65217391],0
a3,1,0.624874,0.239076,[23 26] ; [18 25],[21.83695652 27.16304348] ; [19.16304348 23.83695652],0
a2,1,0.717244,0.131148,[ 3 46] ; [ 2 43],[ 2.60638298 46.39361702] ; [ 2.39361702 42.60638298],0
d3,1,0.729987,0.119124,[18 31] ; [15 30],[17.20212766 31.79787234] ; [15.79787234 29.20212766],0
s4,1,0.746108,0.104831,[10 39] ; [ 8 37],[ 9.38297872 39.61702128] ; [ 8.61702128 36.38297872],0
a8,1,0.777727,0.079683,[ 6 39] ; [ 5 39],[ 5.56179775 39.43820225] ; [ 5.43820225 38.56179775],0
s5,1,0.803733,0.061762,[ 8 39] ; [ 8 34],[ 8.4494382 38.5505618] ; [ 7.5505618 34.4494382],0
p3,1,0.840726,0.040387,[ 9 40] ; [ 9 36],[ 9.38297872 39.61702128] ; [ 8.61702128 36.38297872],0
p6,1,0.856142,0.032865,[ 5 44] ; [ 4 40],[ 4.74193548 44.25806452] ; [ 4.25806452 39.74193548],0
d1,1,0.930627,0.007579,[ 2 47] ; [ 2 43],[ 2.08510638 46.91489362] ; [ 1.91489362 43.08510638],0
u1,1,0.951451,0.003707,[ 1 48] ; [ 1 44],[ 1.04255319 47.95744681] ; [ 0.95744681 44.04255319],0
d2,1,0.960739,0.002423,[10 39] ; [ 9 36],[ 9.90425532 39.09574468] ; [ 9.09574468 35.90425532],0
n5,1,0.972892,0.001155,[35 14] ; [32 13],[34.92553191 14.07446809] ; [32.07446809 12.92553191],0
n4,1,0.972892,0.001155,[35 14] ; [32 13],[34.92553191 14.07446809] ; [32.07446809 12.92553191],0
