Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.5e-05,18.748259,[6 1] ; [ 7 45],[1.54237288 5.45762712] ; [11.45762712 40.54237288],1
s5,1,0.000334,12.871687,[4 3] ; [ 4 48],[0.94915254 6.05084746] ; [ 7.05084746 44.94915254],1
s6,1,0.009774,6.675706,[6 1] ; [18 34],[2.84745763 4.15254237] ; [21.15254237 30.84745763],0
p3,1,0.026862,4.899686,[4 3] ; [10 42],[1.66101695 5.33898305] ; [12.33898305 39.66101695],0
p1,1,0.041989,4.135643,[2 5] ; [ 3 49],[0.59322034 6.40677966] ; [ 4.40677966 47.59322034],0
d1,1,0.057004,3.622476,[4 3] ; [12 40],[1.89830508 5.10169492] ; [14.10169492 37.89830508],0
a8,1,0.066193,3.375,[2 4] ; [ 4 44],[0.66666667 5.33333333] ; [ 5.33333333 42.66666667],0
p10,1,0.075596,3.157125,[6 1] ; [25 25],[3.80701754 3.19298246] ; [27.19298246 22.80701754],0
p4,1,0.077704,3.112281,[5 2] ; [19 33],[2.84745763 4.15254237] ; [21.15254237 30.84745763],0
d2,1,0.077928,3.107593,[4 3] ; [13 39],[2.01694915 4.98305085] ; [14.98305085 37.01694915],0
n4,1,0.109187,2.565947,[6 1] ; [28 24],[4.03389831 2.96610169] ; [29.96610169 22.03389831],0
v3,1,0.11489,2.485635,[3 4] ; [ 9 43],[1.42372881 5.57627119] ; [10.57627119 41.42372881],0
n5,1,0.129994,2.292579,[6 1] ; [29 23],[4.15254237 2.84745763] ; [30.84745763 21.15254237],0
p11,1,0.129994,2.292579,[6 1] ; [29 23],[4.15254237 2.84745763] ; [30.84745763 21.15254237],0
p9,1,0.175015,1.839456,[6 1] ; [29 20],[4.375 2.625] ; [30.625 18.375],0
a3,1,0.26589,1.237828,[5 2] ; [25 26],[3.62068966 3.37931034] ; [26.37931034 24.62068966],0
r3,1,0.266769,1.233287,[6 1] ; [33 18],[4.70689655 2.29310345] ; [34.29310345 16.70689655],0
d5,1,0.286476,1.136109,[5 2] ; [26 26],[3.6779661 3.3220339] ; [27.3220339 24.6779661],0
p7,1,0.294016,1.101141,[4 3] ; [19 33],[2.72881356 4.27118644] ; [20.27118644 31.72881356],0
a7,1,0.330816,0.9457,[2 5] ; [25 27],[3.20338983 3.79661017] ; [23.79661017 28.20338983],0
v1,1,0.382181,0.763675,[3 4] ; [14 38],[2.01694915 4.98305085] ; [14.98305085 37.01694915],0
p8,1,0.382181,0.763675,[3 4] ; [14 38],[2.01694915 4.98305085] ; [14.98305085 37.01694915],0
a6,1,0.399589,0.709564,[4 3] ; [21 31],[2.96610169 4.03389831] ; [22.03389831 29.96610169],0
v2,1,0.420973,0.647597,[3 4] ; [14 36],[2.0877193 4.9122807] ; [14.9122807 35.0877193],0
v4,1,0.431212,0.619557,[5 2] ; [29 23],[4.03389831 2.96610169] ; [29.96610169 22.03389831],0
u3,1,0.462336,0.540234,[1 1] ; [ 7 20],[0.55172414 1.44827586] ; [ 7.44827586 19.55172414],0
b2,1,0.482444,0.493333,[2 3] ; [ 8 24],[1.35135135 3.64864865] ; [ 8.64864865 23.35135135],0
b3,1,0.482444,0.493333,[2 3] ; [ 8 24],[1.35135135 3.64864865] ; [ 8.64864865 23.35135135],0
p2,1,0.487335,0.482405,[5 2] ; [30 22],[4.15254237 2.84745763] ; [30.84745763 21.15254237],0
s3,1,0.500085,0.454756,[1 6] ; [13 37],[1.71929825 5.28070175] ; [12.28070175 37.71929825],0
s2,1,0.58236,0.302435,[1 6] ; [12 39],[1.56896552 5.43103448] ; [11.43103448 39.56896552],0
r1,1,0.593777,0.284485,[3 4] ; [17 35],[2.37288136 4.62711864] ; [17.62711864 34.37288136],0
s8,1,0.598308,0.277555,[1 6] ; [12 40],[1.54237288 5.45762712] ; [11.45762712 40.54237288],0
s7,1,0.634586,0.225893,[1 5] ; [12 35],[1.47169811 4.52830189] ; [11.52830189 35.47169811],0
b5,1,0.652399,0.202889,[3 4] ; [27 25],[3.55932203 3.44067797] ; [26.44067797 25.55932203],0
a5,1,0.652399,0.202889,[4 3] ; [25 27],[3.44067797 3.55932203] ; [25.55932203 26.44067797],0
d3,1,0.722675,0.125944,[3 4] ; [26 26],[3.44067797 3.55932203] ; [25.55932203 26.44067797],0
n3,1,0.763441,0.09058,[1 1] ; [14  9],[1.2 0.8] ; [13.8  9.2],0
d4,1,0.826605,0.047987,[5 2] ; [35 17],[4.74576271 2.25423729] ; [35.25423729 16.74576271],0
a4,1,0.838568,0.041504,[2 5] ; [13 39],[1.77966102 5.22033898] ; [13.22033898 38.77966102],0
b4,1,0.900508,0.01563,[4 3] ; [31 21],[4.15254237 2.84745763] ; [30.84745763 21.15254237],0
u2,1,0.959668,0.002557,[1 1] ; [14 13],[1.03448276 0.96551724] ; [13.96551724 13.03448276],0
b1,1,0.977967,0.000763,[4 3] ; [30 22],[4.03389831 2.96610169] ; [29.96610169 22.03389831],0
