Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000784,11.27895,[ 5 43] ; [20 30],[12.24489796 35.75510204] ; [12.75510204 37.24489796],1
d1,1,0.009489,6.72834,[17 32] ; [32 21],[23.53921569 25.46078431] ; [25.46078431 27.53921569],0
d5,1,0.01373,6.072553,[30 19] ; [44  9],[35.54901961 13.45098039] ; [38.45098039 14.54901961],0
r2,1,0.025648,4.979577,[39 10] ; [50  3],[42.75490196  6.24509804] ; [46.24509804  6.75490196],0
r3,1,0.033168,4.537071,[41  8] ; [51  2],[44.19607843  4.80392157] ; [47.80392157  5.19607843],0
r1,1,0.034153,4.487042,[28 21] ; [40 12],[32.99009901 16.00990099] ; [35.00990099 16.99009901],0
v1,1,0.042297,4.123265,[17 32] ; [28 23],[22.05 26.95] ; [22.95 28.05],0
a7,1,0.045973,3.982595,[30 19] ; [42 11],[34.58823529 14.41176471] ; [37.41176471 15.58823529],0
b1,1,0.052094,3.772749,[25 24] ; [17 36],[20.17647059 28.82352941] ; [21.82352941 31.17647059],0
a6,1,0.052132,3.771518,[25 24] ; [37 16],[29.78431373 19.21568627] ; [32.21568627 20.78431373],0
r4,1,0.060977,3.510616,[34 15] ; [45  8],[37.95098039 11.04901961] ; [41.04901961 11.95098039],0
u1,1,0.061667,3.491986,[ 2 47] ; [ 8 45],[ 4.80392157 44.19607843] ; [ 5.19607843 47.80392157],0
b3,1,0.08858,2.9,[ 6 23] ; [12 17],[ 9. 20.] ; [ 9. 20.],0
b2,1,0.08858,2.9,[ 6 23] ; [12 17],[ 9. 20.] ; [ 9. 20.],0
s4,1,0.110472,2.54746,[16 33] ; [10 43],[12.49019608 36.50980392] ; [13.50980392 39.49019608],0
p5,1,0.111243,2.536469,[ 2 46] ; [ 7 46],[ 4.27722772 43.72277228] ; [ 4.72277228 48.27722772],0
p12,1,0.112863,2.51367,[ 1 48] ; [ 5 48],[ 2.88235294 46.11764706] ; [ 3.11764706 49.88235294],0
p9,1,0.115008,2.484023,[32 17] ; [42 11],[35.54901961 13.45098039] ; [38.45098039 14.54901961],0
s1,1,0.142421,2.151601,[ 4 45] ; [ 1 52],[ 2.40196078 46.59803922] ; [ 2.59803922 50.40196078],0
a2,1,0.143227,2.142944,[ 5 44] ; [11 42],[ 7.68627451 41.31372549] ; [ 8.31372549 44.68627451],0
n5,1,0.16559,1.922423,[16 33] ; [24 28],[19.40594059 29.59405941] ; [20.59405941 31.40594059],0
p11,1,0.183494,1.769099,[29 20] ; [38 15],[32.18627451 16.81372549] ; [34.81372549 18.18627451],0
v4,1,0.241446,1.372129,[43  6] ; [50  3],[44.67647059  4.32352941] ; [48.32352941  4.67647059],0
d4,1,0.248385,1.332366,[35 14] ; [43 10],[37.47058824 11.52941176] ; [40.52941176 12.47058824],0
a5,1,0.262251,1.256835,[30 19] ; [38 15],[32.66666667 16.33333333] ; [35.33333333 17.66666667],0
a1,1,0.270867,1.212349,[ 3 46] ; [ 1 52],[ 1.92156863 47.07843137] ; [ 2.07843137 50.92156863],0
n1,1,0.342782,0.9,[ 8 12] ; [ 4 12],[ 6.66666667 13.33333333] ; [ 5.33333333 10.66666667],0
b4,1,0.347024,0.884308,[26 23] ; [33 20],[28.34313725 20.65686275] ; [30.65686275 22.34313725],0
s6,1,0.361434,0.832904,[30 19] ; [37 16],[32.18627451 16.81372549] ; [34.81372549 18.18627451],0
p8,1,0.409625,0.679888,[26 22] ; [33 20],[28.03960396 19.96039604] ; [30.96039604 22.03960396],0
p7,1,0.432517,0.616054,[36 12] ; [36 17],[34.21782178 13.78217822] ; [37.78217822 15.21782178],0
p6,1,0.464504,0.53502,[16 33] ; [21 32],[17.7745098 31.2254902] ; [19.2254902 33.7745098],0
a3,1,0.479293,0.500473,[30 19] ; [36 17],[31.70588235 17.29411765] ; [34.29411765 18.70588235],0
d3,1,0.489691,0.477204,[33 16] ; [39 14],[34.58823529 14.41176471] ; [37.41176471 15.58823529],0
u3,1,0.521075,0.411765,[12  6] ; [13  4],[12.85714286  5.14285714] ; [12.14285714  4.85714286],0
p2,1,0.618855,0.24748,[39 10] ; [40 13],[37.95098039 11.04901961] ; [41.04901961 11.95098039],0
u2,1,0.631259,0.230358,[12  6] ; [10  7],[11.31428571  6.68571429] ; [10.68571429  6.31428571],0
p10,1,0.633116,0.227858,[33 16] ; [38 15],[34.10784314 14.89215686] ; [36.89215686 16.10784314],0
p1,1,0.657897,0.196088,[ 5 44] ; [ 4 48],[ 4.36633663 44.63366337] ; [ 4.63366337 47.36633663],0
s5,1,0.664725,0.187835,[18 30] ; [17 34],[16.96969697 31.03030303] ; [18.03030303 32.96969697],0
s2,1,0.686056,0.163389,[23 26] ; [27 26],[24.01960784 24.98039216] ; [25.98039216 27.01960784],0
s3,1,0.708631,0.139648,[25 24] ; [29 24],[25.94117647 23.05882353] ; [28.05882353 24.94117647],0
p3,1,0.719419,0.12905,[26 23] ; [30 23],[26.90196078 22.09803922] ; [29.09803922 23.90196078],0
n2,1,0.73927,0.110769,[14  6] ; [12  4],[14.44444444  5.55555556] ; [11.55555556  4.44444444],0
a4,1,0.760047,0.093281,[19 30] ; [19 34],[18.25490196 30.74509804] ; [19.74509804 33.25490196],0
s7,1,0.832257,0.044863,[20 25] ; [22 30],[19.48453608 25.51546392] ; [22.51546392 29.48453608],0
n6,1,0.885835,0.020614,[32 17] ; [34 17],[32.34 16.66] ; [33.66 17.34],0
b5,1,0.902227,0.015092,[29 20] ; [32 21],[29.30392157 19.69607843] ; [31.69607843 21.30392157],0
s8,1,0.914035,0.011653,[19 30] ; [20 33],[18.73529412 30.26470588] ; [20.26470588 32.73529412],0
d2,1,0.914035,0.011653,[19 30] ; [20 33],[18.73529412 30.26470588] ; [20.26470588 32.73529412],0
n3,1,0.96888,0.001522,[14  6] ; [12  5],[14.05405405  5.94594595] ; [11.94594595  5.05405405],0
