Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.181818,[79 13] ; [20 26],[66. 26.] ; [33. 13.],1
n1,1,0.014056,6.031078,[15 12] ; [ 4 16],[10.91489362 16.08510638] ; [ 8.08510638 11.91489362],0
v3,1,0.035707,4.411055,[29 60] ; [ 7 38],[23.91044776 65.08955224] ; [12.08955224 32.91044776],0
a4,1,0.03591,4.401381,[24 67] ; [ 5 41],[19.26277372 71.73722628] ; [ 9.73722628 36.26277372],0
r1,1,0.041158,4.169493,[60 31] ; [22 24],[54.46715328 36.53284672] ; [27.53284672 18.46715328],0
a2,1,0.075414,3.161059,[10 82] ; [ 1 45],[ 7.33333333 84.66666667] ; [ 3.66666667 42.33333333],0
n6,1,0.079814,3.068684,[71 21] ; [29 17],[66.66666667 25.33333333] ; [33.33333333 12.66666667],0
p3,1,0.088595,2.899724,[35 56] ; [11 35],[30.55474453 60.44525547] ; [15.44525547 30.55474453],0
a6,1,0.116962,2.457534,[53 39] ; [20 26],[48.66666667 43.33333333] ; [24.33333333 21.66666667],0
a5,1,0.117425,2.451335,[49 43] ; [18 28],[44.66666667 47.33333333] ; [22.33333333 23.66666667],0
v1,1,0.189485,1.72162,[39 49] ; [15 31],[35.46268657 52.53731343] ; [18.53731343 27.46268657],0
r3,1,0.207865,1.586238,[71 20] ; [40  6],[73.72992701 17.27007299] ; [37.27007299  8.72992701],0
r2,1,0.241772,1.370232,[80 11] ; [37  9],[77.71532847 13.28467153] ; [39.28467153  6.71532847],0
d3,1,0.268388,1.224965,[26 66] ; [ 9 37],[23.33333333 68.66666667] ; [11.66666667 34.33333333],0
a8,1,0.29405,1.100986,[ 8 73] ; [ 2 42],[ 6.48 74.52] ; [ 3.52 40.48],0
s6,1,0.299993,1.074227,[49 40] ; [21 25],[46.14814815 42.85185185] ; [23.85185185 22.14814815],0
b2,1,0.308653,1.036432,[14 50] ; [ 2 16],[12.48780488 51.51219512] ; [ 3.51219512 14.48780488],0
b3,1,0.308653,1.036432,[14 50] ; [ 2 16],[12.48780488 51.51219512] ; [ 3.51219512 14.48780488],0
p2,1,0.320968,0.984998,[65 27] ; [28 17],[62.45255474 29.54744526] ; [30.54744526 14.45255474],0
b5,1,0.334232,0.932432,[52 40] ; [22 24],[49.33333333 42.66666667] ; [24.66666667 21.33333333],0
u3,1,0.34961,0.874874,[19 30] ; [13 13],[20.90666667 28.09333333] ; [11.09333333 14.90666667],0
d2,1,0.397168,0.716883,[24 68] ; [ 9 37],[22. 70.] ; [11. 35.],0
p5,1,0.400873,0.705706,[ 5 87] ; [ 1 43],[ 4.05882353 87.94117647] ; [ 1.94117647 42.05882353],0
s4,1,0.460075,0.545713,[21 71] ; [ 8 38],[19.33333333 72.66666667] ; [ 9.66666667 36.33333333],0
s3,1,0.472989,0.514984,[44 44] ; [20 26],[42.02985075 45.97014925] ; [21.97014925 24.02985075],0
n3,1,0.478304,0.502729,[18  7] ; [17  4],[19.02173913  5.97826087] ; [15.97826087  5.02173913],0
s2,1,0.507674,0.438857,[26 63] ; [16 30],[27.68888889 61.31111111] ; [14.31111111 31.68888889],0
s8,1,0.532346,0.389912,[25 66] ; [15 31],[26.56934307 64.43065693] ; [13.43065693 32.56934307],0
r4,1,0.579996,0.306241,[70 22] ; [33 13],[68.66666667 23.33333333] ; [34.33333333 11.66666667],0
s5,1,0.580109,0.306058,[15 75] ; [ 6 40],[13.89705882 76.10294118] ; [ 7.10294118 38.89705882],0
v4,1,0.591208,0.288462,[77 13] ; [40  5],[78. 12.] ; [39.  6.],0
p11,1,0.605402,0.266925,[64 28] ; [30 16],[62.66666667 29.33333333] ; [31.33333333 14.66666667],0
n2,1,0.614295,0.253968,[21  6] ; [15  6],[20.25  6.75] ; [15.75  5.25],0
u2,1,0.614944,0.253038,[16 33] ; [10 16],[16.98666667 32.01333333] ; [ 9.01333333 16.98666667],0
s7,1,0.627418,0.235578,[27 59] ; [12 32],[25.8 60.2] ; [13.2 30.8],0
d5,1,0.629229,0.233108,[44 48] ; [20 26],[42.66666667 49.33333333] ; [21.33333333 24.66666667],0
a3,1,0.634269,0.226316,[43 47] ; [20 26],[41.69117647 48.30882353] ; [21.30882353 24.69117647],0
s1,1,0.655073,0.199564,[ 6 85] ; [ 4 42],[ 6.64233577 84.35766423] ; [ 3.35766423 42.64233577],0
v2,1,0.664366,0.188263,[28 58] ; [16 28],[29.10769231 56.89230769] ; [14.89230769 29.10769231],0
p4,1,0.711378,0.136905,[37 55] ; [17 29],[36. 56.] ; [18. 28.],0
p7,1,0.75424,0.098002,[41 50] ; [19 26],[40.14705882 50.85294118] ; [19.85294118 25.14705882],0
p9,1,0.760283,0.093091,[61 28] ; [32 13],[61.76865672 27.23134328] ; [31.23134328 13.76865672],0
p10,1,0.792802,0.068998,[60 31] ; [28 16],[59.31851852 31.68148148] ; [28.68148148 15.31851852],0
a7,1,0.808764,0.058574,[50 42] ; [26 20],[50.66666667 41.33333333] ; [25.33333333 20.66666667],0
p1,1,0.970026,0.001412,[ 8 84] ; [ 4 41],[ 8.05839416 83.94160584] ; [ 3.94160584 41.05839416],0
b4,1,1.0,0.0,[44 48] ; [22 24],[44. 48.] ; [22. 24.],0
p8,1,1.0,0.0,[34 56] ; [17 28],[34. 56.] ; [17. 28.],0
b1,1,1.0,0.0,[36 56] ; [18 28],[36. 56.] ; [18. 28.],0
