Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.018034,5.592836,[30  8] ; [8 9],[26.25454545 11.74545455] ; [11.74545455  5.25454545],0
p4,1,0.028854,4.776316,[29  9] ; [ 9 10],[25.33333333 12.66666667] ; [12.66666667  6.33333333],0
a4,1,0.056255,3.644501,[12 26] ; [11  8],[15.33333333 22.66666667] ; [ 7.66666667 11.33333333],0
r4,1,0.057615,3.604743,[28 10] ; [18  1],[30.66666667  7.33333333] ; [15.33333333  3.66666667],0
d4,1,0.074144,3.188811,[32  6] ; [12  7],[29.33333333  8.66666667] ; [14.66666667  4.33333333],0
b3,1,0.09234,2.833104,[ 6 15] ; [7 5],[ 8.27272727 12.72727273] ; [4.72727273 7.27272727],0
b2,1,0.09234,2.833104,[ 6 15] ; [7 5],[ 8.27272727 12.72727273] ; [4.72727273 7.27272727],0
p11,1,0.095419,2.780488,[30  8] ; [11  8],[27.33333333 10.66666667] ; [13.66666667  5.33333333],0
v3,1,0.130732,2.283787,[ 8 29] ; [ 1 17],[ 6.05454545 30.94545455] ; [ 2.94545455 15.05454545],0
b5,1,0.151839,2.053676,[29  9] ; [11  8],[26.66666667 11.33333333] ; [13.33333333  5.66666667],0
u1,1,0.153642,2.035714,[ 3 35] ; [ 4 15],[ 4.66666667 33.33333333] ; [ 2.33333333 16.66666667],0
s3,1,0.189715,1.719828,[21 17] ; [ 7 12],[18.66666667 19.33333333] ; [9.33333333 9.66666667],0
n5,1,0.224903,1.472809,[17 21] ; [ 5 13],[14.92857143 23.07142857] ; [ 7.07142857 10.92857143],0
d5,1,0.239247,1.385024,[26 12] ; [15  3],[27.82142857 10.17857143] ; [13.17857143  4.82142857],0
a7,1,0.239485,1.383626,[29  9] ; [11  7],[27.14285714 10.85714286] ; [12.85714286  5.14285714],0
a2,1,0.280789,1.163265,[ 4 34] ; [ 4 15],[ 5.33333333 32.66666667] ; [ 2.66666667 16.33333333],0
s6,1,0.281562,1.159537,[26 11] ; [10  8],[24.21818182 12.78181818] ; [11.78181818  6.21818182],0
p7,1,0.32002,0.988864,[32  4] ; [15  4],[30.76363636  5.23636364] ; [16.23636364  2.76363636],0
s8,1,0.321593,0.982456,[18 20] ; [ 6 12],[16.28571429 21.71428571] ; [ 7.71428571 10.28571429],0
d1,1,0.34711,0.883995,[19 19] ; [ 7 12],[17.33333333 20.66666667] ; [ 8.66666667 10.33333333],0
n2,1,0.363646,0.825263,[11  4] ; [8 1],[11.875  3.125] ; [7.125 1.875],0
a3,1,0.450259,0.57,[20 18] ; [12  7],[21.33333333 16.66666667] ; [10.66666667  8.33333333],0
a5,1,0.45195,0.565757,[22 16] ; [ 9 10],[20.66666667 17.33333333] ; [10.33333333  8.66666667],0
b1,1,0.453626,0.561576,[18 20] ; [11  8],[19.33333333 18.66666667] ; [9.66666667 9.33333333],0
a1,1,0.463373,0.537736,[ 2 36] ; [ 2 17],[ 2.66666667 35.33333333] ; [ 1.33333333 17.66666667],0
v1,1,0.514529,0.424846,[17 20] ; [ 7 12],[15.85714286 21.14285714] ; [ 8.14285714 10.85714286],0
n6,1,0.520181,0.413534,[24 12] ; [11  8],[22.90909091 13.09090909] ; [12.09090909  6.90909091],0
p10,1,0.523423,0.407143,[29  9] ; [13  6],[28. 10.] ; [14.  5.],0
d2,1,0.560242,0.339286,[13 25] ; [ 8 11],[14. 24.] ; [ 7. 12.],0
v2,1,0.567144,0.327485,[20 18] ; [ 8 10],[19. 19.] ; [9. 9.],0
b4,1,0.573618,0.316667,[19 19] ; [11  8],[20. 18.] ; [10.  9.],0
p1,1,0.59377,0.284495,[ 4 33] ; [ 3 16],[ 4.625 32.375] ; [ 2.375 16.625],0
p2,1,0.655286,0.199301,[30  8] ; [14  5],[29.33333333  8.66666667] ; [14.66666667  4.33333333],0
r1,1,0.700404,0.148052,[24 14] ; [11  8],[23.33333333 14.66666667] ; [11.66666667  7.33333333],0
s4,1,0.700404,0.148052,[14 24] ; [ 8 11],[14.66666667 23.33333333] ; [ 7.33333333 11.66666667],0
s2,1,0.702601,0.14578,[22 16] ; [12  7],[22.66666667 15.33333333] ; [11.33333333  7.66666667],0
p3,1,0.70789,0.140394,[20 18] ; [ 9 10],[19.33333333 18.66666667] ; [9.66666667 9.33333333],0
v4,1,0.713878,0.134434,[35  3] ; [18  1],[35.33333333  2.66666667] ; [17.66666667  1.33333333],0
a8,1,0.739912,0.110204,[ 3 33] ; [ 2 16],[ 3.33333333 32.66666667] ; [ 1.66666667 16.33333333],0
n3,1,0.743971,0.106667,[9 6] ; [6 3],[9.375 5.625] ; [5.625 3.375],0
p9,1,0.823368,0.049825,[29  9] ; [15  4],[29.33333333  8.66666667] ; [14.66666667  4.33333333],0
n1,1,0.830696,0.045714,[6 9] ; [4 5],[6.25 8.75] ; [3.75 5.25],0
s7,1,0.850292,0.035625,[17 21] ; [ 8 11],[16.66666667 21.33333333] ; [ 8.33333333 10.66666667],0
u3,1,0.855702,0.033069,[11  7] ; [4 3],[10.8  7.2] ; [4.2 2.8],0
u2,1,0.968346,0.001575,[13  5] ; [5 2],[12.96  5.04] ; [5.04 1.96],0
a6,1,1.0,0.0,[22 16] ; [11  8],[22. 16.] ; [11.  8.],0
s5,1,1.0,0.0,[14 22] ; [ 7 11],[14. 22.] ; [ 7. 11.],0
