Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000847,11.134399,[ 4 22] ; [5 1],[ 7.3125 18.6875] ; [1.6875 4.3125],1
b4,1,0.008994,6.824099,[27 14] ; [ 4 11],[22.69642857 18.30357143] ; [8.30357143 6.69642857],0
p10,1,0.020252,5.39,[18 22] ; [12  3],[21.81818182 18.18181818] ; [8.18181818 6.81818182],0
v2,1,0.031012,4.652308,[ 7 32] ; [7 8],[10.11111111 28.88888889] ; [ 3.88888889 11.11111111],0
p4,1,0.044932,4.021191,[15 26] ; [10  5],[18.30357143 22.69642857] ; [6.69642857 8.30357143],0
s7,1,0.062219,3.477218,[ 8 30] ; [7 8],[10.75471698 27.24528302] ; [ 4.24528302 10.75471698],0
s5,1,0.067395,3.345352,[ 5 36] ; [ 5 10],[ 7.32142857 33.67857143] ; [ 2.67857143 12.32142857],0
p7,1,0.072883,3.216877,[19 22] ; [11  4],[21.96428571 19.03571429] ; [8.03571429 6.96428571],0
p9,1,0.089205,2.888655,[22 18] ; [12  3],[24.72727273 15.27272727] ; [9.27272727 5.72727273],0
v3,1,0.109268,2.56477,[ 4 37] ; [ 4 11],[ 5.85714286 35.14285714] ; [ 2.14285714 12.85714286],0
s8,1,0.116888,2.458537,[ 8 33] ; [6 9],[10.25 30.75] ; [ 3.75 11.25],0
p6,1,0.13007,2.291667,[ 6 34] ; [ 5 10],[ 8. 32.] ; [ 3. 12.],0
a3,1,0.134007,2.245464,[15 25] ; [9 6],[17.45454545 22.54545455] ; [6.54545455 8.45454545],0
a5,1,0.162028,1.955197,[16 25] ; [9 6],[18.30357143 22.69642857] ; [6.69642857 8.30357143],0
a1,1,0.174175,1.846634,[ 3 38] ; [ 3 12],[ 4.39285714 36.60714286] ; [ 1.60714286 13.39285714],0
u2,1,0.184963,1.757293,[14 12] ; [5 1],[15.4375 10.5625] ; [3.5625 2.4375],0
s6,1,0.19294,1.695022,[14 27] ; [8 7],[16.10714286 24.89285714] ; [5.89285714 9.10714286],0
r1,1,0.223314,1.482945,[12 29] ; [7 8],[13.91071429 27.08928571] ; [5.08928571 9.91071429],0
d4,1,0.234634,1.41255,[20 21] ; [10  5],[21.96428571 19.03571429] ; [8.03571429 6.96428571],0
n6,1,0.237903,1.392979,[25 16] ; [6 8],[23.10909091 17.89090909] ; [7.89090909 6.10909091],0
b1,1,0.24219,1.367801,[23 18] ; [11  4],[24.89285714 16.10714286] ; [9.10714286 5.89285714],0
p2,1,0.24219,1.367801,[23 18] ; [11  4],[24.89285714 16.10714286] ; [9.10714286 5.89285714],0
s1,1,0.276596,1.18374,[ 2 39] ; [ 2 13],[ 2.92857143 38.07142857] ; [ 1.07142857 13.92857143],0
p12,1,0.276596,1.18374,[ 2 39] ; [ 2 13],[ 2.92857143 38.07142857] ; [ 1.07142857 13.92857143],0
