Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.004238,8.17874,[574 124] ; [8 7],[569.75596073 128.24403927] ; [12.24403927  2.75596073],0
n1,1,0.01297,6.173243,[48 85] ; [7 2],[51.51408451 81.48591549] ; [3.48591549 5.51408451],0
s1,1,0.021623,5.275852,[ 20 669] ; [ 2 13],[ 21.53125 667.46875] ; [ 0.46875 14.53125],0
d4,1,0.02194,5.250526,[578 120] ; [9 6],[574.65077139 123.34922861] ; [12.34922861  2.65077139],0
p11,1,0.026812,4.902857,[576 124] ; [9 6],[572.72727273 127.27272727] ; [12.27272727  2.72727273],0
p7,1,0.028104,4.821654,[458 225] ; [6 9],[454.0286533 228.9713467] ; [9.9713467 5.0286533],0
d3,1,0.048038,3.908662,[491 207] ; [7 8],[487.52314165 210.47685835] ; [10.47685835  4.52314165],0
b1,1,0.049721,3.850858,[248 452] ; [9 6],[251.60839161 448.39160839] ; [5.39160839 9.60839161],0
p10,1,0.055331,3.67208,[586 105] ; [10  5],[583.33711048 107.66288952] ; [12.66288952  2.33711048],0
s5,1,0.060589,3.521201,[244 427] ; [9 6],[247.46793003 423.53206997] ; [5.53206997 9.46793003],0
p2,1,0.061864,3.486706,[588 108] ; [10  5],[585.38396624 110.61603376] ; [12.61603376  2.38396624],0
a4,1,0.062534,3.468866,[324 373] ; [ 3 11],[320.56118143 376.43881857] ; [6.43881857 7.56118143],0
b4,1,0.085233,2.962172,[405 295] ; [12  3],[408.25174825 291.74825175] ; [8.74825175 6.25174825],0
a2,1,0.098924,2.722801,[177 523] ; [ 1 14],[174.26573427 525.73426573] ; [ 3.73426573 11.26573427],0
p1,1,0.125585,2.346249,[ 60 635] ; [ 3 12],[ 61.66901408 633.33098592] ; [ 1.33098592 13.66901408],0
n5,1,0.204962,1.606661,[560 138] ; [14  1],[561.92426367 136.07573633] ; [12.07573633  2.92426367],0
p8,1,0.206098,1.598626,[374 313] ; [10  4],[376.33095578 310.66904422] ; [7.66904422 6.33095578],0
a6,1,0.207906,1.585945,[479 219] ; [8 7],[476.7545582 221.2454418] ; [10.2454418  4.7545582],0
u1,1,0.210186,1.570147,[137 563] ; [ 1 14],[135.1048951 564.8951049] ; [ 2.8951049 12.1048951],0
s6,1,0.21216,1.556624,[480 202] ; [12  2],[482.10344828 199.89655172] ; [9.89655172 4.10344828],0
n4,1,0.245306,1.349841,[570 128] ; [14  1],[571.71388499 126.28611501] ; [12.28611501  2.71388499],0
v2,1,0.256702,1.286455,[392 284] ; [6 8],[389.92463768 286.07536232] ; [8.07536232 5.92463768],0
d1,1,0.270976,1.211799,[425 275] ; [7 8],[422.93706294 277.06293706] ; [9.06293706 5.93706294],0
n2,1,0.33538,0.928012,[100  34] ; [8 1],[101.2027972  32.7972028] ; [6.7972028 2.2027972],0
p9,1,0.339477,0.912406,[601  88] ; [11  3],[599.81223329  89.18776671] ; [12.18776671  1.81223329],0
p5,1,0.390276,0.738082,[ 87 607] ; [ 3 12],[ 88.09590973 605.90409027] ; [ 1.90409027 13.09590973],0
b2,1,0.414408,0.666118,[168 258] ; [3 8],[166.69565217 259.30434783] ; [4.30434783 6.69565217],0
b3,1,0.414408,0.666118,[168 258] ; [3 8],[166.69565217 259.30434783] ; [4.30434783 6.69565217],0
d2,1,0.417742,0.65666,[353 345] ; [6 9],[351.44740533 346.55259467] ; [7.55259467 7.44740533],0
u3,1,0.436801,0.604672,[112  83] ; [2 3],[111.15  83.85] ; [2.85 2.15],0
s8,1,0.441004,0.593669,[325 370] ; [8 6],[326.42454161 368.57545839] ; [6.57545839 7.42454161],0
v1,1,0.478918,0.501326,[382 302] ; [7 8],[380.65236052 303.34763948] ; [8.34763948 6.65236052],0
p4,1,0.488889,0.478971,[431 263] ; [8 7],[429.7122708 264.2877292] ; [9.2877292 5.7122708],0
a7,1,0.494248,0.467266,[519 178] ; [10  5],[517.85533708 179.14466292] ; [11.14466292  3.85533708],0
s7,1,0.522311,0.409328,[345 325] ; [6 8],[343.81578947 326.18421053] ; [7.18421053 6.81578947],0
p12,1,0.540611,0.374408,[ 61 633] ; [ 2 13],[ 61.66713681 632.33286319] ; [ 1.33286319 13.66713681],0
u2,1,0.54706,0.362611,[104  90] ; [2 3],[103.33668342  90.66331658] ; [2.66331658 2.33668342],0
s2,1,0.562679,0.335087,[363 329] ; [9 6],[364.10749646 327.89250354] ; [7.89250354 7.10749646],0
b5,1,0.609409,0.261037,[421 279] ; [10  5],[421.95804196 278.04195804] ; [9.04195804 5.95804196],0
v3,1,0.619789,0.246164,[287 391] ; [5 9],[286.09248555 391.90751445] ; [5.90751445 8.09248555],0
r1,1,0.622115,0.242907,[590 107] ; [12  3],[589.31741573 107.68258427] ; [12.68258427  2.31741573],0
a1,1,0.70196,0.146441,[ 32 668] ; [ 1 14],[ 32.30769231 667.69230769] ; [ 0.69230769 14.30769231],0
s4,1,0.74838,0.102898,[116 572] ; [ 3 12],[116.46088193 571.53911807] ; [ 2.53911807 12.46088193],0
s3,1,0.822482,0.050335,[393 297] ; [7 6],[392.60312945 297.39687055] ; [7.39687055 5.60312945],0
a5,1,0.885345,0.020793,[524 175] ; [11  4],[523.7605042 175.2394958] ; [11.2394958  3.7605042],0
p3,1,0.897288,0.016664,[360 337] ; [8 7],[360.24719101 336.75280899] ; [7.75280899 7.24719101],0
p6,1,0.930925,0.007514,[268 421] ; [6 9],[268.16193182 420.83806818] ; [5.83806818 9.16193182],0
a3,1,0.941844,0.005322,[504 193] ; [10  4],[503.8790436 193.1209564] ; [10.1209564  3.8790436],0
n3,1,0.990644,0.000137,[101  34] ; [6 2],[101.01398601  33.98601399] ; [5.98601399 2.01398601],0
