Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,24.636852,[19 58] ; [54 31],[34.69753086 42.30246914] ; [38.30246914 46.69753086],1
p6,1,0.002441,9.184176,[14 61] ; [35 51],[22.82608696 52.17391304] ; [26.17391304 59.82608696],0
p5,1,0.006708,7.349421,[ 2 73] ; [13 73],[ 6.98757764 68.01242236] ; [ 8.01242236 77.98757764],0
p7,1,0.013953,6.044022,[37 36] ; [60 26],[44.53459119 28.46540881] ; [52.46540881 33.53459119],0
d2,1,0.015246,5.887813,[11 66] ; [26 60],[17.47852761 59.52147239] ; [19.52147239 66.47852761],0
p1,1,0.03595,4.39948,[ 5 71] ; [15 71],[ 9.38271605 66.61728395] ; [10.61728395 75.38271605],0
a5,1,0.037322,4.335675,[34 43] ; [52 34],[40.62576687 36.37423313] ; [45.37423313 40.62576687],0
s7,1,0.046085,3.978485,[23 51] ; [37 42],[29.01960784 44.98039216] ; [30.98039216 48.01960784],0
a3,1,0.047286,3.935197,[31 46] ; [48 38],[37.3190184 39.6809816] ; [41.6809816 44.3190184],0
v1,1,0.053239,3.73639,[27 47] ; [44 41],[33.04402516 40.95597484] ; [37.95597484 47.04402516],0
p2,1,0.054612,3.693905,[53 23] ; [71 15],[58.17283951 17.82716049] ; [65.82716049 20.17283951],0
n1,1,0.091001,2.856581,[ 5 18] ; [8 9],[ 7.475 15.525] ; [ 5.525 11.475],0
n5,1,0.105305,2.623301,[51 26] ; [66 19],[55.61111111 21.38888889] ; [61.38888889 23.61111111],0
n4,1,0.106925,2.599088,[48 29] ; [63 22],[52.75925926 24.24074074] ; [58.24074074 26.75925926],0
s5,1,0.110636,2.545115,[13 62] ; [23 59],[17.19745223 57.80254777] ; [18.80254777 63.19745223],0
v3,1,0.121169,2.402145,[18 55] ; [31 55],[22.49685535 50.50314465] ; [26.50314465 59.49685535],0
a4,1,0.131533,2.274322,[14 63] ; [24 61],[18.0617284 58.9382716] ; [19.9382716 65.0617284],0
u1,1,0.136124,2.221232,[ 4 73] ; [ 1 85],[ 2.36196319 74.63803681] ; [ 2.63803681 83.36196319],0
s8,1,0.149448,2.077875,[23 54] ; [35 51],[27.39877301 49.60122699] ; [30.60122699 55.39877301],0
b5,1,0.181768,1.783105,[50 27] ; [47 39],[45.82208589 31.17791411] ; [51.17791411 34.82208589],0
s6,1,0.193473,1.690969,[41 36] ; [52 30],[45.03773585 31.96226415] ; [47.96226415 34.03773585],0
v2,1,0.201998,1.627868,[27 42] ; [42 43],[30.91558442 38.08441558] ; [38.08441558 46.91558442],0
a7,1,0.204928,1.606904,[43 33] ; [57 29],[46.91358025 29.08641975] ; [53.08641975 32.91358025],0
p10,1,0.231137,1.433849,[52 22] ; [66 18],[55.26582278 18.73417722] ; [62.73417722 21.26582278],0
r1,1,0.246397,1.343616,[49 27] ; [62 23],[52.39751553 23.60248447] ; [58.60248447 26.39751553],0
d5,1,0.266203,1.236207,[34 42] ; [46 40],[37.5308642 38.4691358] ; [42.4691358 43.5308642],0
p11,1,0.291085,1.114596,[61 16] ; [62 24],[58.10429448 18.89570552] ; [64.89570552 21.10429448],0
d1,1,0.311887,1.022669,[ 2 75] ; [ 5 81],[ 3.30674847 73.69325153] ; [ 3.69325153 82.30674847],0
p8,1,0.31634,1.00402,[32 43] ; [43 42],[35.15625 39.84375] ; [39.84375 45.15625],0
a2,1,0.366294,0.816198,[ 5 72] ; [ 9 77],[ 6.61349693 70.38650307] ; [ 7.38650307 78.61349693],0
b1,1,0.385998,0.751512,[28 49] ; [37 49],[30.70552147 46.29447853] ; [34.29447853 51.70552147],0
d3,1,0.395692,0.72138,[19 56] ; [27 59],[21.42857143 53.57142857] ; [24.57142857 61.42857143],0
p12,1,0.400886,0.705666,[ 3 73] ; [ 6 80],[ 4.22222222 71.77777778] ; [ 4.77777778 81.22222222],0
v4,1,0.40203,0.702246,[72  3] ; [79  6],[70.78125  4.21875] ; [80.21875  4.78125],0
r2,1,0.46194,0.54119,[68  9] ; [78  7],[69.39506173  7.60493827] ; [76.60493827  8.39506173],0
a6,1,0.462222,0.540508,[44 33] ; [54 32],[46.29447853 30.70552147] ; [51.70552147 34.29447853],0
u2,1,0.568993,0.324371,[21 25] ; [15 23],[19.71428571 26.28571429] ; [16.28571429 21.71428571],0
s4,1,0.612783,0.256142,[16 61] ; [15 70],[14.7345679 62.2654321] ; [16.2654321 68.7345679],0
b4,1,0.691687,0.157266,[40 37] ; [42 44],[38.73619632 38.26380368] ; [43.26380368 42.73619632],0
b3,1,0.707228,0.141061,[ 8 32] ; [13 43],[ 8.75 31.25] ; [12.25 43.75],0
b2,1,0.707228,0.141061,[ 8 32] ; [13 43],[ 8.75 31.25] ; [12.25 43.75],0
n6,1,0.727134,0.121759,[61 16] ; [70 16],[61.88343558 15.11656442] ; [69.11656442 16.88343558],0
a8,1,0.798635,0.065083,[ 9 62] ; [11 67],[ 9.53020134 61.46979866] ; [10.46979866 67.53020134],0
u3,1,0.810206,0.057677,[23 23] ; [18 20],[22.45238095 23.54761905] ; [18.54761905 19.45238095],0
n3,1,0.8322,0.044893,[20  2] ; [16  2],[19.8  2.2] ; [16.2  1.8],0
s1,1,0.869298,0.027077,[ 4 71] ; [ 4 80],[ 3.77358491 71.22641509] ; [ 4.22641509 79.77358491],0
s2,1,0.870122,0.026734,[29 47] ; [31 53],[28.5 47.5] ; [31.5 52.5],0
s3,1,0.926549,0.008499,[39 37] ; [43 42],[38.70807453 37.29192547] ; [43.29192547 41.70807453],0
p9,1,0.930558,0.007594,[58 17] ; [67 19],[58.22981366 16.77018634] ; [66.77018634 19.22981366],0
a1,1,0.93728,0.006192,[ 1 76] ; [ 1 85],[ 0.94478528 76.05521472] ; [ 1.05521472 84.94478528],0
n2,1,0.951203,0.003745,[19  4] ; [15  3],[19.07317073  3.92682927] ; [14.92682927  3.07317073],0
r4,1,0.990427,0.000144,[68  9] ; [76 10],[68.02453988  8.97546012] ; [75.97546012 10.02453988],0
