Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,83.987846,[114   9] ; [16 43],[87.85714286 35.14285714] ; [42.14285714 16.85714286],1
p11,1,0.0,28.936367,[102  22] ; [26 34],[86.26086957 37.73913043] ; [41.73913043 18.26086957],1
r3,1,2.8e-05,17.571649,[112  11] ; [39 20],[102.04945055  20.95054945] ; [48.95054945 10.04945055],1
s7,1,4.2e-05,16.776596,[53 63] ; [ 8 49],[40.9017341 75.0982659] ; [20.0982659 36.9017341],1
s6,1,0.000113,14.907179,[76 45] ; [19 40],[63.86111111 57.13888889] ; [31.13888889 27.86111111],1
p8,1,0.000339,12.840601,[64 58] ; [14 44],[52.86666667 69.13333333] ; [25.13333333 32.86666667],1
a7,1,0.000619,11.716594,[79 44] ; [22 37],[68.25824176 54.74175824] ; [32.74175824 26.25824176],1
n6,1,0.000829,11.17591,[102  22] ; [35 24],[92.83060109 31.16939891] ; [44.16939891 14.83060109],1
s8,1,0.001363,10.25573,[48 76] ; [ 9 50],[38.62295082 85.37704918] ; [18.37704918 40.62295082],0
r2,1,0.001512,10.063801,[113  10] ; [44 15],[106.1043956  16.8956044] ; [50.8956044  8.1043956],0
v4,1,0.002307,9.287479,[114   8] ; [46 13],[107.84530387  14.15469613] ; [52.15469613  6.84530387],0
r4,1,0.002317,9.279725,[102  22] ; [37 23],[93.67391304 30.32608696] ; [45.32608696 14.67391304],0
p2,1,0.002468,9.164451,[97 27] ; [34 26],[88.2826087 35.7173913] ; [42.7173913 17.2826087],0
v2,1,0.006277,7.469093,[55 61] ; [15 43],[46.66666667 69.33333333] ; [23.33333333 34.66666667],0
s2,1,0.010898,6.4819,[48 74] ; [12 47],[40.44198895 81.55801105] ; [19.55801105 39.44198895],0
v1,1,0.014281,6.003026,[59 61] ; [18 42],[51.33333333 68.66666667] ; [25.66666667 34.33333333],0
n5,1,0.01439,5.989613,[98 25] ; [37 22],[91.23626374 31.76373626] ; [43.76373626 15.23626374],0
a5,1,0.015789,5.826261,[69 55] ; [22 38],[61.32608696 62.67391304] ; [29.67391304 30.32608696],0
p4,1,0.020269,5.388567,[66 58] ; [21 39],[58.63043478 65.36956522] ; [28.36956522 31.63043478],0
a6,1,0.0216,5.277689,[76 48] ; [26 34],[68.73913043 55.26086957] ; [33.26086957 26.73913043],0
d5,1,0.027056,4.887252,[58 65] ; [18 42],[51.08196721 71.91803279] ; [24.91803279 35.08196721],0
r1,1,0.051206,3.801536,[83 40] ; [31 28],[77.04395604 45.95604396] ; [36.95604396 22.04395604],0
a8,1,0.053287,3.734906,[  8 108] ; [ 9 46],[ 11.53216374 104.46783626] ; [ 5.46783626 49.53216374],0
s5,1,0.056721,3.630761,[29 92] ; [ 7 52],[24.2 96.8] ; [11.8 47.2],0
p7,1,0.058606,3.576391,[74 48] ; [27 32],[68.07734807 53.92265193] ; [32.92265193 26.07734807],0
u2,1,0.07091,3.261827,[31 31] ; [12 26],[26.66 35.34] ; [16.34 21.66],0
