Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,24.087476,[64  7] ; [21 22],[52.93859649 18.06140351] ; [32.06140351 10.93859649],1
p11,1,2e-06,22.177066,[50 23] ; [10 33],[37.75862069 35.24137931] ; [22.24137931 20.75862069],1
p7,1,4e-06,21.126472,[44 27] ; [ 7 34],[32.33035714 38.66964286] ; [18.66964286 22.33035714],1
r4,1,5e-06,20.906085,[58 15] ; [16 27],[46.56896552 26.43103448] ; [27.43103448 15.56896552],1
r3,1,1.3e-05,19.013061,[63 10] ; [21 22],[52.86206897 20.13793103] ; [31.13793103 11.86206897],1
s6,1,0.000926,10.969685,[32 41] ; [ 6 37],[23.9137931 49.0862069] ; [14.0862069 28.9137931],1
v1,1,0.003181,8.700345,[33 39] ; [ 8 35],[25.66956522 46.33043478] ; [15.33043478 27.66956522],0
p10,1,0.003391,8.584044,[41 31] ; [12 30],[33.47368421 38.52631579] ; [19.52631579 22.47368421],0
p8,1,0.006129,7.511969,[32 40] ; [ 8 34],[25.26315789 46.73684211] ; [14.73684211 27.26315789],0
r1,1,0.007755,7.089162,[55 18] ; [22 21],[48.45689655 24.54310345] ; [28.54310345 14.45689655],0
a1,1,0.00847,6.931357,[ 2 71] ; [ 7 36],[ 5.6637931 67.3362069] ; [ 3.3362069 39.6637931],0
p9,1,0.010046,6.626674,[47 25] ; [17 25],[40.42105263 31.57894737] ; [23.57894737 18.42105263],0
p4,1,0.010644,6.523736,[31 42] ; [ 8 34],[24.75652174 48.24347826] ; [14.24347826 27.75652174],0
v2,1,0.018767,5.523141,[33 36] ; [10 30],[27.22018349 41.77981651] ; [15.77981651 24.22018349],0
p3,1,0.021496,5.28613,[27 46] ; [ 7 35],[21.5826087 51.4173913] ; [12.4173913 29.5826087],0
a6,1,0.029828,4.719182,[52 21] ; [22 21],[46.56896552 26.43103448] ; [27.43103448 15.56896552],0
p6,1,0.03194,4.601698,[16 54] ; [ 3 39],[11.875 58.125] ; [ 7.125 34.875],0
b5,1,0.03387,4.50123,[47 26] ; [19 24],[41.53448276 31.46551724] ; [24.46551724 18.53448276],0
s8,1,0.035719,4.410492,[16 57] ; [ 3 40],[11.95689655 61.04310345] ; [ 7.04310345 35.95689655],0
n3,1,0.041852,4.141176,[18  6] ; [ 9 11],[14.72727273  9.27272727] ; [12.27272727  7.72727273],0
s1,1,0.054781,3.688724,[ 2 70] ; [ 5 38],[ 4.3826087 67.6173913] ; [ 2.6173913 40.3826087],0
r2,1,0.069232,3.301134,[61 12] ; [29 13],[57.13043478 15.86956522] ; [32.86956522  9.13043478],0
d3,1,0.077657,3.113261,[44 28] ; [19 24],[39.44347826 32.55652174] ; [23.55652174 19.44347826],0
n2,1,0.080766,3.049412,[17  7] ; [10 12],[14.08695652  9.91304348] ; [12.91304348  9.08695652],0
n1,1,0.098145,2.735431,[ 6 17] ; [11 11],[ 8.68888889 14.31111111] ; [ 8.31111111 13.68888889],0
s7,1,0.116326,2.466108,[15 52] ; [ 4 35],[12.00943396 54.99056604] ; [ 6.99056604 32.00943396],0
a4,1,0.120766,2.407364,[25 48] ; [21 22],[28.94827586 44.05172414] ; [17.05172414 25.94827586],0
b2,1,0.122084,2.390384,[ 9 28] ; [13 18],[11.97058824 25.02941176] ; [10.02941176 20.97058824],0
b3,1,0.122084,2.390384,[ 9 28] ; [13 18],[11.97058824 25.02941176] ; [10.02941176 20.97058824],0
d4,1,0.164153,1.935547,[51 21] ; [25 18],[47.5826087 24.4173913] ; [28.4173913 14.5826087],0
a7,1,0.169944,1.88344,[50 23] ; [24 19],[46.56896552 26.43103448] ; [27.43103448 15.56896552],0
s4,1,0.17282,1.858313,[ 9 64] ; [ 2 41],[ 6.92241379 66.07758621] ; [ 4.07758621 38.92241379],0
s5,1,0.207547,1.588458,[11 60] ; [ 3 38],[ 8.875 62.125] ; [ 5.125 35.875],0
d2,1,0.210678,1.56676,[27 46] ; [21 22],[30.20689655 42.79310345] ; [17.79310345 25.20689655],0
p1,1,0.216272,1.52894,[ 5 67] ; [ 6 37],[ 6.88695652 65.11304348] ; [ 4.11304348 38.88695652],0
d5,1,0.269903,1.217238,[53 20] ; [27 16],[50.34482759 22.65517241] ; [29.65517241 13.34482759],0
p5,1,0.292536,1.107914,[ 5 67] ; [ 1 41],[ 3.78947368 68.21052632] ; [ 2.21052632 39.78947368],0
n5,1,0.409852,0.679229,[29 44] ; [20 22],[31.10434783 41.89565217] ; [17.89565217 24.10434783],0
u2,1,0.414517,0.665808,[17  9] ; [9 8],[15.72093023 10.27906977] ; [10.27906977  6.72093023],0
n4,1,0.444789,0.583898,[41 32] ; [21 22],[39.01724138 33.98275862] ; [22.98275862 20.01724138],0
a2,1,0.480895,0.496832,[10 63] ; [ 8 35],[11.32758621 61.67241379] ; [ 6.67241379 36.32758621],0
b4,1,0.505119,0.444164,[42 31] ; [22 21],[40.27586207 32.72413793] ; [23.72413793 19.27586207],0
s3,1,0.535197,0.384515,[21 51] ; [10 32],[19.57894737 52.42105263] ; [11.42105263 30.57894737],0
u3,1,0.570603,0.321675,[13 13] ; [ 7 10],[12.09302326 13.90697674] ; [7.90697674 9.09302326],0
a8,1,0.695091,0.153629,[ 6 60] ; [ 3 40],[ 5.44954128 60.55045872] ; [ 3.55045872 39.44954128],0
d1,1,0.784675,0.074655,[27 46] ; [17 26],[27.68965517 45.31034483] ; [16.31034483 26.68965517],0
a3,1,0.790377,0.070661,[47 26] ; [26 16],[46.33913043 26.66086957] ; [26.66086957 15.33913043],0
b1,1,0.881279,0.022305,[38 35] ; [23 20],[38.38793103 34.61206897] ; [22.61206897 20.38793103],0
v3,1,0.934332,0.006789,[16 53] ; [ 9 31],[15.82568807 53.17431193] ; [ 9.17431193 30.82568807],0
a5,1,0.935637,0.006521,[43 30] ; [25 18],[42.79310345 30.20689655] ; [25.20689655 17.79310345],0
