Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,111.616237,[166   3] ; [81 91],[122.41348974  46.58651026] ; [124.58651026  47.41348974],1
d2,1,0.0,106.71991,[125  44] ; [ 31 140],[77.54117647 91.45882353] ; [78.45882353 92.54117647],1
d3,1,0.0,99.390069,[149  22] ; [ 59 112],[104.  67.] ; [104.  67.],1
d5,1,0.0,87.089885,[168   3] ; [96 76],[131.61516035  39.38483965] ; [132.38483965  39.61516035],1
a2,1,0.0,45.642424,[ 62 109] ; [ 11 161],[ 36.39358601 134.60641399] ; [ 36.60641399 135.39358601],1
a5,1,0.0,38.205573,[148  23] ; [97 75],[122.14285714  48.85714286] ; [122.85714286  49.14285714],1
a4,1,0.0,35.887904,[98 71] ; [ 44 126],[70.79056047 98.20943953] ; [71.20943953 98.79056047],1
u1,1,0.0,34.0685,[ 44 127] ; [  6 166],[ 24.9271137 146.0728863] ; [ 25.0728863 146.9271137],1
a3,1,0.0,31.040724,[135  35] ; [86 84],[110.5  59.5] ; [110.5  59.5],1
a6,1,2.5e-05,17.786106,[138  33] ; [103  69],[120.14868805  50.85131195] ; [120.85131195  51.14868805],1
r2,1,6e-05,16.109833,[161   6] ; [143  29],[149.75811209  17.24188791] ; [154.24188791  17.75811209],1
r1,1,6.9e-05,15.835913,[140  30] ; [108  63],[123.63636364  46.36363636] ; [124.36363636  46.63636364],1
n4,1,0.000262,13.322659,[158  13] ; [135  37],[146.0728863  24.9271137] ; [146.9271137  25.0728863],1
n6,1,0.001674,9.87625,[155  15] ; [136  36],[144.64912281  25.35087719] ; [146.35087719  25.64912281],0
a7,1,0.001805,9.738408,[126  44] ; [100  72],[112.33918129  57.66081871] ; [113.66081871  58.33918129],0
r4,1,0.004837,7.939437,[151  20] ; [132  40],[141.08746356  29.91253644] ; [141.91253644  30.08746356],0
v3,1,0.006255,7.475417,[72 95] ; [ 49 121],[ 59.96142433 107.03857567] ; [ 61.03857567 108.96142433],0
