Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.2e-05,19.127066,[10 18] ; [62 15],[19.2  8.8] ; [52.8 24.2],1
p2,1,3e-05,17.435167,[12 16] ; [63 12],[20.38834951  7.61165049] ; [54.61165049 20.38834951],1
d3,1,0.001076,10.692174,[12 16] ; [59 18],[18.93333333  9.06666667] ; [52.06666667 24.93333333],0
r1,1,0.01511,5.903542,[14 14] ; [57 19],[19.11538462  8.88461538] ; [51.88461538 24.11538462],0
d1,1,0.017109,5.68516,[ 9 19] ; [45 32],[14.4 13.6] ; [39.6 37.4],0
a1,1,0.022501,5.206612,[ 4 24] ; [ 2 75],[ 1.6 26.4] ; [ 4.4 72.6],0
p9,1,0.026282,4.937382,[18  9] ; [63 10],[21.87  5.13] ; [59.13 13.87],0
b5,1,0.035646,4.413938,[13 15] ; [53 24],[17.6 10.4] ; [48.4 28.6],0
d4,1,0.039335,4.246324,[19  9] ; [66 11],[22.66666667  5.33333333] ; [62.33333333 14.66666667],0
b3,1,0.048652,3.887333,[ 3 16] ; [14 19],[ 6.21153846 12.78846154] ; [10.78846154 22.21153846],0
b2,1,0.048652,3.887333,[ 3 16] ; [14 19],[ 6.21153846 12.78846154] ; [10.78846154 22.21153846],0
r2,1,0.059111,3.562152,[24  4] ; [74  3],[26.13333333  1.86666667] ; [71.86666667  5.13333333],0
s3,1,0.060964,3.510972,[20  8] ; [67 10],[23.2  4.8] ; [63.8 13.2],0
n1,1,0.096985,2.754438,[6 6] ; [ 6 20],[3.78947368 8.21052632] ; [ 8.21052632 17.78947368],0
r3,1,0.115298,2.480062,[26  2] ; [75  1],[27.19230769  0.80769231] ; [73.80769231  2.19230769],0
a4,1,0.12821,2.31405,[12 16] ; [21 56],[ 8.8 19.2] ; [24.2 52.8],0
a2,1,0.12909,2.303415,[ 2 26] ; [15 62],[ 4.53333333 23.46666667] ; [12.46666667 64.53333333],0
v3,1,0.134182,2.243437,[ 4 23] ; [21 50],[ 6.8877551 20.1122449] ; [18.1122449 52.8877551],0
p10,1,0.135355,2.229992,[18  9] ; [59 14],[20.79  6.21] ; [56.21 16.79],0
b1,1,0.147764,2.095182,[13 15] ; [24 53],[ 9.86666667 18.13333333] ; [27.13333333 49.86666667],0
d5,1,0.15742,1.998834,[18 10] ; [60 17],[20.8  7.2] ; [57.2 19.8],0
v4,1,0.189244,1.723492,[25  3] ; [73  3],[26.38461538  1.61538462] ; [71.61538462  4.38461538],0
r4,1,0.197673,1.659483,[21  7] ; [66 11],[23.2  4.8] ; [63.8 13.2],0
a8,1,0.203978,1.613663,[ 3 24] ; [ 3 68],[ 1.65306122 25.34693878] ; [ 4.34693878 66.65306122],0
n5,1,0.210907,1.565187,[ 7 21] ; [29 47],[ 9.69230769 18.30769231] ; [26.30769231 49.69230769],0
u2,1,0.23102,1.434567,[5 7] ; [18 11],[6.73170732 5.26829268] ; [16.26829268 12.73170732],0
u3,1,0.261698,1.259752,[7 5] ; [22  7],[8.48780488 3.51219512] ; [20.51219512  8.48780488],0
n6,1,0.27355,1.198857,[15 13] ; [49 26],[17.39805825 10.60194175] ; [46.60194175 28.39805825],0
s7,1,0.312259,1.021096,[10 16] ; [36 36],[12.20408163 13.79591837] ; [33.79591837 38.20408163],0
s6,1,0.337258,0.920828,[21  6] ; [66 11],[22.58653846  4.41346154] ; [64.41346154 12.58653846],0
v2,1,0.348658,0.878336,[12 15] ; [38 31],[14.0625 12.9375] ; [35.9375 33.0625],0
n2,1,0.420113,0.65,[11  2] ; [19  7],[10.  3.] ; [20.  6.],0
v1,1,0.451072,0.567957,[15 13] ; [33 40],[13.30693069 14.69306931] ; [34.69306931 38.30693069],0
p8,1,0.46804,0.5266,[11 17] ; [35 39],[12.62745098 15.37254902] ; [33.37254902 40.62745098],0
s8,1,0.536465,0.38213,[13 15] ; [41 36],[14.4 13.6] ; [39.6 37.4],0
p3,1,0.575978,0.312782,[12 16] ; [28 48],[10.76923077 17.23076923] ; [29.23076923 46.76923077],0
p12,1,0.583744,0.300221,[ 1 26] ; [ 5 71],[ 1.57281553 25.42718447] ; [ 4.42718447 71.57281553],0
s4,1,0.602742,0.270879,[ 9 19] ; [29 48],[10.13333333 17.86666667] ; [27.86666667 49.13333333],0
n3,1,0.630954,0.230769,[8 5] ; [18  8],[8.66666667 4.33333333] ; [17.33333333  8.66666667],0
p1,1,0.664282,0.188364,[ 3 25] ; [ 6 69],[ 2.44660194 25.55339806] ; [ 6.55339806 68.44660194],0
b4,1,0.718567,0.12987,[16 12] ; [47 30],[16.8 11.2] ; [46.2 30.8],0
p4,1,0.746572,0.104434,[15 13] ; [38 38],[14.26923077 13.73076923] ; [38.73076923 37.26923077],0
p11,1,0.784057,0.075095,[17 11] ; [49 28],[17.6 10.4] ; [48.4 28.6],0
s1,1,0.799493,0.064518,[ 1 27] ; [ 2 74],[ 0.80769231 27.19230769] ; [ 2.19230769 73.80769231],0
a3,1,0.810836,0.057287,[16 12] ; [46 31],[16.53333333 11.46666667] ; [45.46666667 31.53333333],0
p7,1,0.83642,0.042632,[16 12] ; [41 28],[16.45360825 11.54639175] ; [40.54639175 28.45360825],0
d2,1,0.879598,0.022946,[11 17] ; [29 48],[10.66666667 17.33333333] ; [29.33333333 47.66666667],0
s5,1,0.919953,0.010099,[12 14] ; [35 39],[12.22 13.78] ; [34.78 39.22],0
a5,1,0.928213,0.008117,[17 11] ; [46 31],[16.8 11.2] ; [46.2 30.8],0
p6,1,0.988971,0.000191,[ 9 19] ; [24 51],[ 8.97087379 19.02912621] ; [24.02912621 50.97087379],0
