Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3e-06,22.119134,[104  10] ; [79 41],[89.15384615 24.84615385] ; [93.84615385 26.15384615],1
v3,1,7e-05,15.80456,[57 52] ; [30 84],[42.52466368 66.47533632] ; [44.47533632 69.52466368],1
p4,1,8.4e-05,15.45884,[67 47] ; [39 79],[52.0862069 61.9137931] ; [53.9137931 64.0862069],1
v2,1,0.00015,14.371195,[79 33] ; [51 61],[65. 47.] ; [65. 47.],1
p3,1,0.000312,12.999377,[60 54] ; [35 84],[46.4806867 67.5193133] ; [48.5193133 70.4806867],1
p11,1,0.000523,12.032483,[101  14] ; [83 37],[90.04255319 24.95744681] ; [93.95744681 26.04255319],1
p9,1,0.001548,10.020848,[91 22] ; [74 46],[80.02145923 32.97854077] ; [84.97854077 35.02145923],0
n5,1,0.001646,9.907936,[86 29] ; [65 53],[74.527897 40.472103] ; [76.472103 41.527897],0
p8,1,0.001747,9.798382,[65 47] ; [45 75],[53.10344828 58.89655172] ; [56.89655172 63.10344828],0
p7,1,0.002368,9.239538,[76 37] ; [56 62],[64.57142857 48.42857143] ; [67.42857143 50.57142857],0
s8,1,0.003757,8.397528,[33 82] ; [ 16 104],[23.9787234 91.0212766] ; [25.0212766 94.9787234],0
p6,1,0.004087,8.244964,[38 74] ; [21 99],[28.48275862 83.51724138] ; [30.51724138 89.48275862],0
r4,1,0.008328,6.96153,[109   6] ; [101  19],[102.76595745  12.23404255] ; [107.23404255  12.76595745],0
p5,1,0.012571,6.228514,[ 10 102] ; [  2 118],[  5.79310345 106.20689655] ; [  6.20689655 113.79310345],0
r3,1,0.017401,5.655499,[111   4] ; [105  14],[106.15384615   8.84615385] ; [109.84615385   9.15384615],0
b3,1,0.021015,5.325578,[35 41] ; [18 48],[28.36619718 47.63380282] ; [24.63380282 41.36619718],0
b2,1,0.021015,5.325578,[35 41] ; [18 48],[28.36619718 47.63380282] ; [24.63380282 41.36619718],0
n6,1,0.021488,5.286757,[92 22] ; [81 39],[84.28205128 29.71794872] ; [88.71794872 31.28205128],0
n4,1,0.022728,5.189179,[91 24] ; [79 41],[83.19148936 31.80851064] ; [86.80851064 33.19148936],0
p12,1,0.024692,5.045365,[  7 106] ; [  1 119],[  3.87982833 109.12017167] ; [  4.12017167 115.87982833],0
p10,1,0.029991,4.709793,[88 25] ; [78 42],[80.50643777 32.49356223] ; [85.49356223 34.50643777],0
a5,1,0.047006,3.945177,[90 25] ; [80 40],[83.19148936 31.80851064] ; [86.80851064 33.19148936],0
s5,1,0.065449,3.393611,[20 93] ; [ 11 106],[15.23043478 97.76956522] ; [ 15.76956522 101.23043478],0
a3,1,0.098265,2.733482,[86 28] ; [78 41],[80.24034335 33.75965665] ; [83.75965665 35.24034335],0
s2,1,0.125807,2.343494,[26 87] ; [ 18 101],[21.43103448 91.56896552] ; [22.56896552 96.43103448],0
n3,1,0.133106,2.255899,[15  4] ; [23 16],[12.44827586  6.55172414] ; [25.55172414 13.44827586],0
u1,1,0.184043,1.764671,[17 98] ; [ 11 109],[ 13.70212766 101.29787234] ; [ 14.29787234 105.70212766],0
a8,1,0.2111,1.563863,[14 88] ; [ 9 99],[11.17142857 90.82857143] ; [11.82857143 96.17142857],0
r2,1,0.211652,1.560089,[109   5] ; [109  10],[106.66094421   7.33905579] ; [111.33905579   7.66094421],0
a4,1,0.22556,1.468641,[56 59] ; [49 71],[51.38297872 63.61702128] ; [53.61702128 66.38297872],0
d1,1,0.24338,1.36091,[70 45] ; [64 56],[65.57446809 49.42553191] ; [68.42553191 51.57446809],0
d2,1,0.245355,1.34956,[58 57] ; [51 68],[53.56837607 61.43162393] ; [55.43162393 63.56837607],0
b5,1,0.313266,1.016854,[66 49] ; [61 59],[62.14893617 52.85106383] ; [64.85106383 55.14893617],0
v4,1,0.343392,0.897726,[108   6] ; [109  10],[106.17167382   7.82832618] ; [110.82832618   8.17167382],0
d5,1,0.37834,0.776089,[90 25] ; [88 32],[87.10638298 27.89361702] ; [90.89361702 29.10638298],0
s1,1,0.510568,0.432903,[  3 111] ; [  5 114],[  3.91416309 110.08583691] ; [  4.08583691 114.91416309],0
a6,1,0.527124,0.399933,[82 33] ; [81 39],[79.76595745 35.23404255] ; [83.23404255 36.76595745],0
p1,1,0.537023,0.381086,[  8 107] ; [  6 113],[  6.88034188 108.11965812] ; [  7.11965812 111.88034188],0
b1,1,0.588912,0.292047,[43 72] ; [49 71],[45.0212766 69.9787234] ; [46.9787234 73.0212766],0
a2,1,0.624864,0.239091,[25 90] ; [23 97],[23.4893617 91.5106383] ; [24.5106383 95.4893617],0
s7,1,0.638682,0.22047,[27 80] ; [25 86],[25.52293578 81.47706422] ; [26.47706422 84.52293578],0
d4,1,0.670588,0.180916,[96 19] ; [96 22],[94.7639485 20.2360515] ; [97.2360515 20.7639485],0
a1,1,0.685414,0.164094,[  5 110] ; [  4 116],[  4.40425532 110.59574468] ; [  4.59574468 115.40425532],0
u2,1,0.717485,0.130915,[15 14] ; [23 18],[15.74285714 13.25714286] ; [22.25714286 18.74285714],0
n2,1,0.725766,0.123035,[12  6] ; [26 16],[11.4  6.6] ; [26.6 15.4],0
a7,1,0.757957,0.094965,[82 33] ; [87 32],[83.05555556 31.94444444] ; [85.94444444 33.05555556],0
b4,1,0.778878,0.078838,[65 50] ; [70 50],[66.06382979 48.93617021] ; [68.93617021 51.06382979],0
u3,1,0.816684,0.053737,[16 13] ; [22 20],[15.52112676 13.47887324] ; [22.47887324 19.52112676],0
n1,1,0.859357,0.031397,[ 6 12] ; [15 27],[ 6.3 11.7] ; [14.7 27.3],0
s3,1,0.901209,0.015409,[30 83] ; [31 89],[29.58369099 83.41630901] ; [31.41630901 88.58369099],0
s4,1,0.934558,0.006742,[  7 108] ; [  7 113],[  6.85106383 108.14893617] ; [  7.14893617 112.85106383],0
d3,1,0.947177,0.004389,[80 35] ; [83 37],[79.76595745 35.23404255] ; [83.23404255 36.76595745],0
u4,1,0.975887,0.000914,[  1 114] ; [  1 119],[  0.9787234 114.0212766] ; [  1.0212766 118.9787234],0
