Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.01623,5.777778,[3 1] ; [10 38],[1. 3.] ; [12. 36.],0
p11,1,0.046051,3.979745,[3 1] ; [13 35],[1.23076923 2.76923077] ; [14.76923077 33.23076923],0
s5,1,0.077046,3.12614,[2 2] ; [ 7 40],[0.70588235 3.29411765] ; [ 8.29411765 38.70588235],0
d1,1,0.096378,2.764487,[3 1] ; [16 32],[1.46153846 2.53846154] ; [17.53846154 30.46153846],0
a7,1,0.141951,2.156682,[3 1] ; [18 30],[1.61538462 2.38461538] ; [19.38461538 28.61538462],0
r1,1,0.168361,1.897475,[3 1] ; [19 29],[1.69230769 2.30769231] ; [20.30769231 27.69230769],0
s1,1,0.176349,1.828125,[1 3] ; [ 3 45],[0.30769231 3.69230769] ; [ 3.69230769 44.30769231],0
a6,1,0.197176,1.663168,[3 1] ; [20 28],[1.76923077 2.23076923] ; [21.23076923 26.76923077],0
d3,1,0.197176,1.663168,[3 1] ; [20 28],[1.76923077 2.23076923] ; [21.23076923 26.76923077],0
n3,1,0.236377,1.402074,[2 1] ; [ 8 17],[1.07142857 1.92857143] ; [ 8.92857143 16.07142857],0
d2,1,0.243511,1.360151,[3 1] ; [21 26],[1.88235294 2.11764706] ; [22.11764706 24.88235294],0
p9,1,0.281159,1.161481,[2 1] ; [16 29],[1.125 1.875] ; [16.875 28.125],0
p7,1,0.306934,1.043823,[2 2] ; [12 34],[1.12 2.88] ; [12.88 33.12],0
p4,1,0.346517,0.88617,[2 2] ; [13 34],[1.17647059 2.82352941] ; [13.82352941 33.17647059],0
n1,1,0.347627,0.882102,[2 1] ; [10 16],[1.24137931 1.75862069] ; [10.75862069 15.24137931],0
a4,1,0.40295,0.699506,[2 2] ; [14 33],[1.25490196 2.74509804] ; [14.74509804 32.25490196],0
d5,1,0.420229,0.649675,[3 1] ; [26 22],[2.23076923 1.76923077] ; [26.76923077 21.23076923],0
d4,1,0.420229,0.649675,[3 1] ; [26 22],[2.23076923 1.76923077] ; [26.76923077 21.23076923],0
b4,1,0.465843,0.531818,[3 1] ; [27 21],[2.30769231 1.69230769] ; [27.69230769 20.30769231],0
p1,1,0.4816,0.495238,[1 3] ; [ 6 42],[0.53846154 3.46153846] ; [ 6.46153846 41.53846154],0
n2,1,0.500802,0.453236,[2 1] ; [12 14],[1.44827586 1.55172414] ; [12.55172414 13.44827586],0
s8,1,0.537098,0.380945,[1 2] ; [ 9 39],[0.58823529 2.41176471] ; [ 9.41176471 38.58823529],0
p10,1,0.582871,0.301617,[2 2] ; [17 30],[1.49019608 2.50980392] ; [17.50980392 29.49019608],0
v4,1,0.621511,0.24375,[2 2] ; [30 18],[2.46153846 1.53846154] ; [29.53846154 18.46153846],0
r2,1,0.670817,0.180647,[3 1] ; [29 16],[2.6122449 1.3877551] ; [29.3877551 15.6122449],0
r4,1,0.6721,0.179156,[1 3] ; [ 8 40],[0.69230769 3.30769231] ; [ 8.30769231 39.69230769],0
s7,1,0.674632,0.176232,[1 2] ; [10 34],[0.70212766 2.29787234] ; [10.29787234 33.70212766],0
s6,1,0.67987,0.170272,[1 2] ; [11 37],[0.70588235 2.29411765] ; [11.29411765 36.70588235],0
p2,1,0.745851,0.105051,[2 2] ; [20 28],[1.69230769 2.30769231] ; [20.30769231 27.69230769],0
p8,1,0.747977,0.103239,[1 2] ; [12 36],[0.76470588 2.23529412] ; [12.23529412 35.76470588],0
s3,1,0.820029,0.05176,[1 3] ; [14 32],[1.2 2.8] ; [13.8 32.2],0
a3,1,0.837384,0.042124,[2 2] ; [26 21],[2.19607843 1.80392157] ; [25.80392157 21.19607843],0
b1,1,0.872405,0.025794,[2 2] ; [26 22],[2.15384615 1.84615385] ; [25.84615385 22.15384615],0
b5,1,0.936139,0.00642,[2 2] ; [23 25],[1.92307692 2.07692308] ; [23.07692308 24.92307692],0
