Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.0006,11.776494,[11  4] ; [27 69],[5.13513514 9.86486486] ; [32.86486486 63.13513514],1
n4,1,0.00327,8.650215,[7 8] ; [78 18],[11.48648649  3.51351351] ; [73.51351351 22.48648649],0
n5,1,0.007226,7.216022,[6 8] ; [74 22],[10.18181818  3.81818182] ; [69.81818182 26.18181818],0
r2,1,0.011495,6.387108,[11  4] ; [88  6],[13.62385321  1.37614679] ; [85.37614679  8.62385321],0
r3,1,0.01897,5.504258,[12  3] ; [92  4],[14.05405405  0.94594595] ; [89.94594595  6.05405405],0
p3,1,0.040345,4.203322,[ 5 10] ; [59 37],[8.64864865 6.35135135] ; [55.35135135 40.64864865],0
a6,1,0.077248,3.121875,[13  2] ; [61 35],[10.  5.] ; [64. 32.],0
b5,1,0.083012,3.004916,[6 9] ; [61 35],[9.05405405 5.94594595] ; [57.94594595 38.05405405],0
b4,1,0.098104,2.736107,[ 5 10] ; [54 42],[7.97297297 7.02702703] ; [51.02702703 44.97297297],0
d4,1,0.125347,2.349206,[10  5] ; [80 16],[12.16216216  2.83783784] ; [77.83783784 18.16216216],0
p11,1,0.156552,2.007218,[9 6] ; [74 22],[11.21621622  3.78378378] ; [71.78378378 24.21621622],0
p6,1,0.201996,1.627884,[ 5 10] ; [48 46],[7.29357798 7.70642202] ; [45.70642202 48.29357798],0
v3,1,0.230084,1.44034,[ 5 10] ; [47 47],[7.1559633 7.8440367] ; [44.8440367 49.1559633],0
a5,1,0.236092,1.403781,[10  5] ; [77 19],[11.75675676  3.24324324] ; [75.24324324 20.75675676],0
d1,1,0.240214,1.379338,[6 9] ; [54 42],[8.10810811 6.89189189] ; [51.89189189 44.10810811],0
u1,1,0.254152,1.300333,[ 2 13] ; [26 70],[ 3.78378378 11.21621622] ; [24.21621622 71.78378378],0
a3,1,0.291542,1.112487,[10  5] ; [75 20],[11.59090909  3.40909091] ; [73.40909091 21.59090909],0
n1,1,0.317311,1.0,[3 2] ; [ 9 16],[2. 3.] ; [10. 15.],0
v4,1,0.323866,0.973271,[13  2] ; [90  6],[13.91891892  1.08108108] ; [89.08108108  6.91891892],0
p7,1,0.328675,0.95411,[8 7] ; [63 32],[9.68181818 5.31818182] ; [61.31818182 33.68181818],0
r1,1,0.329824,0.94959,[10  5] ; [75 21],[11.48648649  3.51351351] ; [73.51351351 22.48648649],0
u2,1,0.34509,0.891429,[4 1] ; [12  9],[3.07692308 1.92307692] ; [12.92307692  8.07692308],0
r4,1,0.354086,0.858758,[12  3] ; [85 11],[13.10810811  1.89189189] ; [83.89189189 12.10810811],0
a4,1,0.386596,0.749623,[ 5 10] ; [43 52],[6.54545455 8.45454545] ; [41.45454545 53.54545455],0
p5,1,0.40424,0.695677,[ 1 14] ; [14 82],[ 2.02702703 12.97297297] ; [12.97297297 83.02702703],0
u3,1,0.444651,0.584251,[4 1] ; [13  8],[3.26923077 1.73076923] ; [13.73076923  7.26923077],0
s8,1,0.461198,0.542985,[7 8] ; [54 41],[8.31818182 6.68181818] ; [52.68181818 42.31818182],0
v1,1,0.480514,0.497696,[10  5] ; [53 40],[8.75 6.25] ; [54.25 38.75],0
n3,1,0.488422,0.48,[4 1] ; [16  9],[3.33333333 1.66666667] ; [16.66666667  8.33333333],0
b2,1,0.488489,0.479853,[2 4] ; [36 39],[2.81481481 3.18518519] ; [35.18518519 39.81481481],0
b3,1,0.488489,0.479853,[2 4] ; [36 39],[2.81481481 3.18518519] ; [35.18518519 39.81481481],0
p10,1,0.519074,0.415733,[12  3] ; [82 13],[12.81818182  2.18181818] ; [81.18181818 13.81818182],0
s5,1,0.644843,0.212464,[ 4 11] ; [31 64],[ 4.77272727 10.22727273] ; [30.22727273 64.77272727],0
v2,1,0.650239,0.205599,[9 5] ; [55 40],[8.22018349 5.77981651] ; [55.77981651 39.22018349],0
p2,1,0.675684,0.175025,[13  2] ; [79 17],[12.43243243  2.56756757] ; [79.56756757 16.43243243],0
p8,1,0.69434,0.154428,[7 8] ; [49 45],[7.70642202 7.29357798] ; [48.29357798 45.70642202],0
n2,1,0.729034,0.12,[3 2] ; [17  8],[3.33333333 1.66666667] ; [16.66666667  8.33333333],0
s2,1,0.749789,0.101708,[ 4 11] ; [22 74],[ 3.51351351 11.48648649] ; [22.48648649 73.51351351],0
d2,1,0.752632,0.099332,[7 8] ; [49 47],[7.56756757 7.43243243] ; [48.43243243 47.56756757],0
d3,1,0.807092,0.059623,[10  5] ; [67 29],[10.40540541  4.59459459] ; [66.59459459 29.40540541],0
d5,1,0.829952,0.046123,[12  3] ; [79 17],[12.2972973  2.7027027] ; [78.7027027 17.2972973],0
a7,1,0.842427,0.039517,[11  4] ; [68 28],[10.67567568  4.32432432] ; [68.32432432 27.67567568],0
a8,1,0.847734,0.036868,[ 2 11] ; [11 71],[ 1.77894737 11.22105263] ; [11.22105263 70.77894737],0
p9,1,0.874007,0.025145,[13  2] ; [80 14],[12.79816514  2.20183486] ; [80.20183486 13.79816514],0
s4,1,0.886067,0.02053,[ 2 13] ; [14 81],[ 2.18181818 12.81818182] ; [13.81818182 81.18181818],0
s6,1,0.914136,0.011626,[9 6] ; [59 37],[9.18918919 5.81081081] ; [58.81081081 37.18918919],0
a2,1,0.959134,0.002626,[ 4 11] ; [25 71],[ 3.91891892 11.08108108] ; [25.08108108 70.91891892],0
p4,1,1.0,0.0,[10  5] ; [64 32],[10.  5.] ; [64. 32.],0
