Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,80.698368,[184  45] ; [28 70],[148.4648318  80.5351682] ; [63.5351682 34.4648318],1
a5,1,1e-06,23.304879,[177  53] ; [49 49],[158.47560976  71.52439024] ; [67.52439024 30.47560976],1
n6,1,3e-06,21.586354,[197  32] ; [62 36],[181.37920489  47.62079511] ; [77.62079511 20.37920489],1
p11,1,0.000101,15.109026,[178  52] ; [55 43],[163.38414634  66.61585366] ; [69.61585366 28.38414634],1
s7,1,0.00015,14.373374,[ 97 118] ; [21 73],[ 82.10355987 132.89644013] ; [35.89644013 58.10355987],1
p4,1,0.000263,13.314102,[113 116] ; [27 71],[ 98.04281346 130.95718654] ; [41.95718654 56.04281346],1
a4,1,0.001546,10.023101,[114 116] ; [30 68],[100.97560976 129.02439024] ; [43.02439024 54.97560976],0
p3,1,0.003023,8.793578,[ 83 146] ; [19 78],[ 71.65030675 157.34969325] ; [30.34969325 66.65030675],0
p2,1,0.006094,7.522339,[169  61] ; [57 41],[158.47560976  71.52439024] ; [67.52439024 30.47560976],0
u1,1,0.0061,7.520395,[ 44 186] ; [ 7 91],[ 35.76219512 194.23780488] ; [15.23780488 82.76219512],0
d2,1,0.006797,7.325817,[121 107] ; [36 62],[109.80368098 118.19631902] ; [47.19631902 50.80368098],0
a3,1,0.007354,7.184485,[162  68] ; [54 44],[151.46341463  78.53658537] ; [64.53658537 33.46341463],0
a8,1,0.007943,7.046193,[ 28 182] ; [ 3 89],[ 21.55629139 188.44370861] ; [ 9.44370861 82.55629139],0
v3,1,0.008149,7.000494,[ 81 137] ; [20 72],[ 71.02580645 146.97419355] ; [29.97419355 62.02580645],0
n3,1,0.011686,6.357895,[42 10] ; [27 20],[36.24242424 15.75757576] ; [32.75757576 14.24242424],0
s8,1,0.016945,5.70208,[ 87 141] ; [24 74],[ 77.63190184 150.36809816] ; [33.36809816 64.63190184],0
p6,1,0.024813,5.036858,[ 41 187] ; [ 8 89],[ 34.37538462 193.62461538] ; [14.62461538 82.37538462],0
r1,1,0.025114,5.015993,[179  51] ; [64 33],[170.91743119  59.08256881] ; [72.08256881 24.91743119],0
p12,1,0.027568,4.854889,[ 20 208] ; [ 2 95],[ 15.43384615 212.56615385] ; [ 6.56615385 90.43384615],0
r4,1,0.027878,4.835584,[206  24] ; [79 19],[199.84756098  30.15243902] ; [85.15243902 12.84756098],0
p10,1,0.029865,4.71707,[167  61] ; [58 37],[158.82352941  69.17647059] ; [66.17647059 28.82352941],0
n1,1,0.033621,4.513889,[26 26] ; [14 34],[20.8 31.2] ; [19.2 28.8],0
a2,1,0.05201,3.77544,[ 52 178] ; [13 85],[ 45.57926829 184.42073171] ; [19.42073171 78.57926829],0
s4,1,0.064139,3.426993,[ 30 196] ; [21 77],[ 35.57407407 190.42592593] ; [15.42592593 82.57407407],0
b1,1,0.107876,2.585063,[ 87 143] ; [28 70],[ 80.6402439 149.3597561] ; [34.3597561 63.6402439],0
s6,1,0.116366,2.465562,[140  86] ; [51 46],[133.64086687  92.35913313] ; [57.35913313 39.64086687],0
s3,1,0.140468,2.17282,[117 109] ; [42 56],[110.90740741 115.09259259] ; [48.09259259 49.90740741],0
v1,1,0.148561,2.086963,[105 114] ; [38 59],[ 99.10443038 119.89556962] ; [43.89556962 53.10443038],0
s5,1,0.238063,1.392028,[ 45 167] ; [26 69],[ 49.02931596 162.97068404] ; [21.97068404 73.02931596],0
s2,1,0.239482,1.383642,[106 118] ; [39 58],[101.18380062 122.81619938] ; [43.81619938 53.18380062],0
p9,1,0.241896,1.369509,[178  49] ; [68 26],[173.96261682  53.03738318] ; [72.03738318 21.96261682],0
r2,1,0.254638,1.297678,[214  15] ; [88 10],[211.49235474  17.50764526] ; [90.50764526  7.49235474],0
v4,1,0.260452,1.266354,[212  17] ; [87 11],[209.39143731  19.60856269] ; [89.60856269  8.39143731],0
b5,1,0.273341,1.199903,[153  77] ; [59 39],[148.65853659  81.34146341] ; [63.34146341 34.65853659],0
u4,1,0.276954,1.181979,[  7 223] ; [ 1 97],[  5.6097561 224.3902439] ; [ 2.3902439 95.6097561],0
d4,1,0.284237,1.146717,[190  40] ; [76 22],[186.52439024  43.47560976] ; [79.47560976 18.52439024],0
p1,1,0.31014,1.030079,[ 19 210] ; [ 5 93],[ 16.80733945 212.19266055] ; [ 7.19266055 90.80733945],0
n2,1,0.373243,0.792838,[40 14] ; [31 16],[37.96039604 16.03960396] ; [33.03960396 13.96039604],0
p5,1,0.467038,0.528976,[ 14 214] ; [ 4 93],[ 12.62769231 215.37230769] ; [ 5.37230769 91.62769231],0
a1,1,0.488251,0.480378,[  8 222] ; [ 2 96],[  7.01219512 222.98780488] ; [ 2.98780488 95.01219512],0
u3,1,0.507693,0.438818,[39 29] ; [28 16],[40.67857143 27.32142857] ; [26.32142857 17.67857143],0
v2,1,0.520144,0.413608,[114 106] ; [44 48],[111.41025641 108.58974359] ; [46.58974359 45.41025641],0
a6,1,0.569991,0.322697,[153  77] ; [62 36],[150.76219512  79.23780488] ; [64.23780488 33.76219512],0
p8,1,0.611612,0.257834,[ 58 171] ; [22 75],[ 56.19631902 172.80368098] ; [23.80368098 73.19631902],0
d1,1,0.614004,0.254386,[129 101] ; [52 46],[126.92073171 103.07926829] ; [54.07926829 43.92073171],0
a7,1,0.632529,0.228646,[163  67] ; [72 26],[164.78658537  65.21341463] ; [70.21341463 27.78658537],0
u2,1,0.689565,0.159557,[39 29] ; [23 20],[37.98198198 30.01801802] ; [24.01801802 18.98198198],0
b2,1,0.716349,0.132018,[51 84] ; [16 30],[49.97237569 85.02762431] ; [17.02762431 28.97237569],0
b3,1,0.716349,0.132018,[51 84] ; [16 30],[49.97237569 85.02762431] ; [17.02762431 28.97237569],0
d3,1,0.871416,0.026199,[150  80] ; [63 35],[149.3597561  80.6402439] ; [63.6402439 34.3597561],0
d5,1,0.881338,0.022283,[179  51] ; [77 21],[179.51219512  50.48780488] ; [76.48780488 21.51219512],0
b4,1,0.950329,0.003881,[144  86] ; [61 37],[143.75  86.25] ; [61.25 36.75],0
s1,1,0.96662,0.001751,[  9 217] ; [ 4 94],[  9.06790123 216.93209877] ; [ 3.93209877 94.06790123],0
