Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.001931,9.61392,[13  6] ; [32 71],[ 7.00819672 11.99180328] ; [37.99180328 65.00819672],0
n5,1,0.00219,9.383374,[ 8 11] ; [79 24],[13.54918033  5.45081967] ; [73.45081967 29.54918033],0
r3,1,0.013069,6.1598,[15  4] ; [98  5],[17.59836066  1.40163934] ; [95.40163934  7.59836066],0
r2,1,0.052544,3.758369,[15  4] ; [93  7],[17.24369748  1.75630252] ; [90.75630252  9.24369748],0
p6,1,0.085641,2.954465,[ 4 15] ; [42 58],[ 7.34453782 11.65546218] ; [38.65546218 61.34453782],0
n4,1,0.117091,2.455811,[12  7] ; [82 21],[14.63934426  4.36065574] ; [79.36065574 23.63934426],0
d4,1,0.122694,2.382594,[13  6] ; [86 17],[15.41803279  3.58196721] ; [83.58196721 19.41803279],0
n1,1,0.132985,2.257311,[5 2] ; [12 18],[3.21621622 3.78378378] ; [13.78378378 16.21621622],0
a6,1,0.133513,2.251169,[16  3] ; [69 34],[13.23770492  5.76229508] ; [71.76229508 31.23770492],0
p3,1,0.166621,1.913082,[ 8 11] ; [61 42],[10.74590164  8.25409836] ; [58.25409836 44.74590164],0
v4,1,0.225591,1.468447,[15  3] ; [95  8],[16.36363636  1.63636364] ; [93.63636364  9.36363636],0
b4,1,0.253566,1.303547,[ 8 11] ; [58 45],[10.27868852  8.72131148] ; [55.72131148 47.27868852],0
u3,1,0.27198,1.206734,[5 1] ; [13  9],[3.85714286 2.14285714] ; [14.14285714  7.85714286],0
u1,1,0.275077,1.191251,[ 2 17] ; [22 81],[ 3.73770492 15.26229508] ; [20.26229508 82.73770492],0
a3,1,0.290762,1.11609,[13  6] ; [81 21],[14.76033058  4.23966942] ; [79.23966942 22.76033058],0
v3,1,0.29918,1.077844,[ 6 12] ; [47 54],[8.01680672 9.98319328] ; [44.98319328 56.01680672],0
n2,1,0.3208,0.985681,[6 1] ; [20 10],[4.91891892 2.08108108] ; [21.08108108  8.91891892],0
