Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,25.924138,[ 1 34] ; [29 23],[12.06896552 22.93103448] ; [17.93103448 34.06896552],1
d5,1,8e-06,20.009742,[10 25] ; [40 12],[20.11494253 14.88505747] ; [29.88505747 22.11494253],1
d3,1,0.000289,13.141024,[ 8 26] ; [33 19],[16.20930233 17.79069767] ; [24.79069767 27.20930233],1
p3,1,0.000307,13.029847,[ 1 34] ; [18 32],[ 7.82352941 27.17647059] ; [11.17647059 38.82352941],1
a5,1,0.004379,8.119682,[12 23] ; [34 18],[18.50574713 16.49425287] ; [27.49425287 24.50574713],0
a3,1,0.006232,7.482068,[12 22] ; [34 18],[18.18604651 15.81395349] ; [27.81395349 24.18604651],0
n6,1,0.017685,5.627128,[15 19] ; [35 15],[20.23809524 13.76190476] ; [29.76190476 20.23809524],0
s7,1,0.018711,5.528327,[ 2 31] ; [13 36],[ 6.03658537 26.96341463] ; [ 8.96341463 40.03658537],0
p4,1,0.021623,5.275862,[ 7 28] ; [22 28],[11.94117647 23.05882353] ; [17.05882353 32.94117647],0
n1,1,0.023884,5.103012,[ 9 10] ; [ 4 21],[ 5.61363636 13.38636364] ; [ 7.38636364 17.61363636],0
s2,1,0.038246,4.294065,[ 1 34] ; [ 9 43],[ 4.02298851 30.97701149] ; [ 5.97701149 46.02298851],0
a7,1,0.042187,4.127666,[12 22] ; [30 22],[16.60465116 17.39534884] ; [25.39534884 26.60465116],0
a4,1,0.043607,4.071733,[ 6 29] ; [19 32],[10.1744186 24.8255814] ; [14.8255814 36.1744186],0
b3,1,0.045341,4.005926,[10  8] ; [ 8 22],[ 6.75 11.25] ; [11.25 18.75],0
b2,1,0.045341,4.005926,[10  8] ; [ 8 22],[ 6.75 11.25] ; [11.25 18.75],0
v3,1,0.061928,3.484991,[ 4 30] ; [15 37],[ 7.51162791 26.48837209] ; [11.48837209 40.51162791],0
s6,1,0.078098,3.104039,[ 5 30] ; [16 36],[ 8.44827586 26.55172414] ; [12.55172414 39.44827586],0
s5,1,0.093249,2.81738,[ 1 34] ; [ 7 45],[ 3.2183908 31.7816092] ; [ 4.7816092 47.2183908],0
d2,1,0.098288,2.733107,[ 9 26] ; [22 29],[12.61627907 22.38372093] ; [18.38372093 32.61627907],0
b5,1,0.124658,2.357794,[15 20] ; [31 21],[18.50574713 16.49425287] ; [27.49425287 24.50574713],0
n5,1,0.16456,1.931818,[25  9] ; [30 21],[22. 12.] ; [33. 18.],0
a2,1,0.165525,1.923014,[ 2 33] ; [ 8 44],[ 4.02298851 30.97701149] ; [ 5.97701149 46.02298851],0
r3,1,0.193764,1.688762,[13 20] ; [28 24],[15.91764706 17.08235294] ; [25.08235294 26.91764706],0
p5,1,0.214121,1.543343,[ 1 34] ; [ 5 46],[ 2.44186047 32.55813953] ; [ 3.55813953 47.44186047],0
b4,1,0.231788,1.429856,[17 18] ; [32 20],[19.71264368 15.28735632] ; [29.28735632 22.71264368],0
r1,1,0.237217,1.397056,[ 6 28] ; [15 37],[ 8.30232558 25.69767442] ; [12.69767442 39.30232558],0
p10,1,0.248457,1.33196,[14 20] ; [27 23],[16.5952381 17.4047619] ; [24.4047619 25.5952381],0
v2,1,0.260852,1.264231,[ 9 24] ; [20 31],[11.39285714 21.60714286] ; [17.60714286 33.39285714],0
a1,1,0.322061,0.980558,[ 5 30] ; [ 4 48],[ 3.62068966 31.37931034] ; [ 5.37931034 46.62068966],0
v4,1,0.331568,0.942766,[18 16] ; [33 19],[20.1627907 13.8372093] ; [30.8372093 21.1627907],0
n3,1,0.361209,0.833684,[11  8] ; [11 14],[9.5 9.5] ; [12.5 12.5],0
p7,1,0.39211,0.732387,[12 22] ; [13 36],[10.24096386 23.75903614] ; [14.75903614 34.24096386],0
