Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,61.230126,[128   6] ; [14 20],[113.26190476  20.73809524] ; [28.73809524  5.26190476],1
p2,1,3e-06,21.873253,[112  20] ; [16 18],[101.78313253  30.21686747] ; [26.21686747  7.78313253],1
p11,1,4.5e-05,16.631495,[114  20] ; [18 16],[105.28571429  28.71428571] ; [26.71428571  7.28571429],1
r1,1,0.001322,10.311647,[107  27] ; [18 16],[99.70238095 34.29761905] ; [25.29761905  8.70238095],0
r4,1,0.00135,10.273315,[120  14] ; [23 11],[114.05952381  19.94047619] ; [28.94047619  5.05952381],0
n6,1,0.002114,9.447825,[116  18] ; [21 12],[109.92814371  24.07185629] ; [27.07185629  5.92814371],0
a3,1,0.002767,8.955224,[102  32] ; [17 17],[94.91666667 39.08333333] ; [24.08333333  9.91666667],0
p7,1,0.011336,6.411947,[88 42] ; [15 19],[81.64634146 48.35365854] ; [21.35365854 12.64634146],0
n5,1,0.015209,5.892114,[111  23] ; [21 12],[105.91616766  28.08383234] ; [26.08383234  6.91616766],0
v4,1,0.016164,5.784927,[126   7] ; [28  6],[122.64670659  10.35329341] ; [31.35329341  2.64670659],0
p8,1,0.016995,5.696873,[73 59] ; [11 23],[66.79518072 65.20481928] ; [17.20481928 16.79518072],0
s8,1,0.026507,4.922641,[87 47] ; [15 19],[81.35714286 52.64285714] ; [20.64285714 13.35714286],0
u3,1,0.027423,4.863971,[12 20] ; [12  5],[15.67346939 16.32653061] ; [8.32653061 8.67346939],0
s1,1,0.033963,4.496559,[  4 128] ; [ 4 30],[  6.36144578 125.63855422] ; [ 1.63855422 32.36144578],0
d5,1,0.050668,3.819202,[107  26] ; [22 12],[102.73652695  30.26347305] ; [26.26347305  7.73652695],0
d4,1,0.065168,3.400719,[106  27] ; [22 12],[101.94011976  31.05988024] ; [26.05988024  7.94011976],0
r2,1,0.075991,3.148624,[122  10] ; [28  6],[119.27710843  12.72289157] ; [30.72289157  3.27710843],0
n4,1,0.089524,2.882911,[111  23] ; [23 10],[107.52095808  26.47904192] ; [26.47904192  6.52095808],0
b5,1,0.090618,2.863365,[61 73] ; [21 13],[65.4047619 68.5952381] ; [16.5952381 17.4047619],0
b1,1,0.106515,2.605181,[62 72] ; [21 13],[66.20238095 67.79761905] ; [16.79761905 17.20238095],0
d3,1,0.16723,1.907599,[69 65] ; [13 21],[65.4047619 68.5952381] ; [16.5952381 17.4047619],0
p12,1,0.167449,1.905633,[ 14 119] ; [ 1 33],[ 11.94610778 121.05389222] ; [ 3.05389222 30.94610778],0
v3,1,0.169952,1.883365,[58 72] ; [10 22],[54.56790123 75.43209877] ; [13.43209877 18.56790123],0
s7,1,0.175004,1.839543,[88 43] ; [18 15],[84.67073171 46.32926829] ; [21.32926829 11.67073171],0
b3,1,0.185754,1.750977,[38 48] ; [ 7 17],[35.18181818 50.81818182] ; [ 9.81818182 14.18181818],0
b2,1,0.185754,1.750977,[38 48] ; [ 7 17],[35.18181818 50.81818182] ; [ 9.81818182 14.18181818],0
a5,1,0.192701,1.696844,[98 36] ; [21 13],[94.91666667 39.08333333] ; [24.08333333  9.91666667],0
v1,1,0.223528,1.481579,[75 56] ; [15 18],[71.8902439 59.1097561] ; [18.1097561 14.8902439],0
r3,1,0.24132,1.372864,[126   8] ; [30  4],[124.42857143   9.57142857] ; [31.57142857  2.42857143],0
p6,1,0.257394,1.28272,[56 74] ; [11 23],[53.1097561 76.8902439] ; [13.8902439 20.1097561],0
a6,1,0.279918,1.167489,[57 77] ; [11 23],[54.23809524 79.76190476] ; [13.76190476 20.23809524],0
a8,1,0.298362,1.081499,[ 14 113] ; [ 6 28],[ 15.77639752 111.22360248] ; [ 4.22360248 29.77639752],0
d1,1,0.397612,0.715537,[70 64] ; [15 19],[67.79761905 66.20238095] ; [17.20238095 16.79761905],0
a4,1,0.400049,0.70818,[62 72] ; [13 21],[59.82142857 74.17857143] ; [15.17857143 18.82142857],0
b4,1,0.444628,0.584308,[73 61] ; [21 13],[74.97619048 59.02380952] ; [19.02380952 14.97619048],0
s2,1,0.515421,0.423046,[86 47] ; [24 10],[87.60479042 45.39520958] ; [22.39520958 11.60479042],0
p5,1,0.553185,0.351642,[ 18 114] ; [ 6 28],[ 19.08433735 112.91566265] ; [ 4.91566265 29.08433735],0
n2,1,0.649887,0.206042,[25  8] ; [9 4],[24.39130435  8.60869565] ; [9.60869565 3.39130435],0
v2,1,0.656285,0.198068,[61 65] ; [15 19],[59.85 66.15] ; [16.15 17.85],0
p3,1,0.717818,0.130593,[75 58] ; [18 16],[74.06586826 58.93413174] ; [18.93413174 15.06586826],0
n1,1,0.743325,0.107226,[17 16] ; [6 7],[16.5 16.5] ; [6.5 6.5],0
a1,1,0.749308,0.102114,[ 10 124] ; [ 2 32],[  9.57142857 124.42857143] ; [ 2.42857143 31.57142857],0
p4,1,0.800451,0.063889,[82 52] ; [20 14],[81.35714286 52.64285714] ; [20.64285714 13.35714286],0
d2,1,0.819126,0.052289,[66 68] ; [16 18],[65.4047619 68.5952381] ; [16.5952381 17.4047619],0
a2,1,0.824521,0.049166,[ 14 120] ; [ 4 30],[ 14.35714286 119.64285714] ; [ 3.64285714 30.35714286],0
u2,1,0.824582,0.049131,[18 14] ; [9 8],[17.63265306 14.36734694] ; [9.36734694 7.63265306],0
s4,1,0.842327,0.039568,[ 33 100] ; [ 9 25],[33.4491018 99.5508982] ; [ 8.5508982 25.4491018],0
s3,1,0.863853,0.029402,[92 41] ; [23 11],[91.58682635 41.41317365] ; [23.41317365 10.58682635],0
p1,1,0.917323,0.010776,[ 11 122] ; [ 3 31],[ 11.1497006 121.8502994] ; [ 2.8502994 31.1497006],0
n3,1,0.951917,0.003636,[20 12] ; [8 5],[19.91111111 12.08888889] ; [8.08888889 4.91111111],0
s5,1,0.965398,0.001882,[62 67] ; [16 17],[62.11111111 66.88888889] ; [15.88888889 17.11111111],0
u4,1,0.989267,0.000181,[  4 130] ; [ 1 33],[  3.98809524 130.01190476] ; [ 1.01190476 32.98809524],0
