Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,21.544582,[100  20] ; [15 19],[89.61038961 30.38961039] ; [25.38961039  8.61038961],1
p10,1,0.000141,14.494118,[96 24] ; [16 18],[87.27272727 32.72727273] ; [24.72727273  9.27272727],1
p8,1,0.003368,8.596459,[80 41] ; [13 21],[72.6 48.4] ; [20.4 13.6],0
v2,1,0.007701,7.101664,[64 53] ; [ 9 23],[57.32214765 59.67785235] ; [15.67785235 16.32214765],0
d5,1,0.007735,7.09387,[82 39] ; [14 19],[75.42857143 45.57142857] ; [20.57142857 12.42857143],0
s8,1,0.008447,6.93626,[47 74] ; [ 5 29],[40.59354839 80.40645161] ; [11.40645161 22.59354839],0
r4,1,0.009363,6.752166,[105  16] ; [23 11],[99.92258065 21.07741935] ; [28.07741935  5.92258065],0
r3,1,0.010129,6.612005,[117   4] ; [28  5],[113.92857143   7.07142857] ; [31.07142857  1.92857143],0
b1,1,0.015444,5.865099,[40 81] ; [19 15],[46.05806452 74.94193548] ; [12.94193548 21.05806452],0
v4,1,0.01915,5.487762,[117   3] ; [29  4],[114.50980392   5.49019608] ; [31.49019608  1.50980392],0
s7,1,0.031402,4.630858,[54 63] ; [ 7 22],[48.88356164 68.11643836] ; [12.11643836 16.88356164],0
n6,1,0.035311,4.43009,[98 22] ; [22 12],[93.50649351 26.49350649] ; [26.49350649  7.50649351],0
a7,1,0.044619,4.032983,[81 39] ; [16 17],[76.07843137 43.92156863] ; [20.92156863 12.07843137],0
n1,1,0.05156,3.789978,[12 17] ; [ 1 10],[ 9.425 19.575] ; [3.575 7.425],0
a3,1,0.053229,3.73673,[61 60] ; [10 22],[56.1503268 64.8496732] ; [14.8496732 17.1503268],0
r1,1,0.063356,3.447272,[84 36] ; [18 16],[79.48051948 40.51948052] ; [22.51948052 11.48051948],0
r2,1,0.081186,3.040994,[110   9] ; [28  6],[107.33333333  11.66666667] ; [30.66666667  3.33333333],0
s6,1,0.090674,2.862375,[77 42] ; [16 17],[72.80921053 46.19078947] ; [20.19078947 12.80921053],0
n4,1,0.145076,2.123278,[87 34] ; [20 14],[83.52903226 37.47096774] ; [23.47096774 10.52903226],0
b5,1,0.147486,2.098066,[65 56] ; [23 11],[68.69677419 52.30322581] ; [19.30322581 14.69677419],0
p1,1,0.15764,1.996716,[ 13 107] ; [ 1 33],[ 10.90909091 109.09090909] ; [ 3.09090909 30.90909091],0
a8,1,0.160993,1.964878,[18 95] ; [ 2 30],[15.5862069 97.4137931] ; [ 4.4137931 27.5862069],0
v3,1,0.169117,1.890756,[43 76] ; [ 8 26],[39.66666667 79.33333333] ; [11.33333333 22.66666667],0
b3,1,0.179994,1.797673,[18 58] ; [ 2 18],[15.83333333 60.16666667] ; [ 4.16666667 15.83333333],0
b2,1,0.179994,1.797673,[18 58] ; [ 2 18],[15.83333333 60.16666667] ; [ 4.16666667 15.83333333],0
