Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,49.767826,[54 34] ; [ 23 119],[29.46086957 58.53913043] ; [47.53913043 94.46086957],1
s2,1,0.0,47.113963,[67 22] ; [40 99],[41.76754386 47.23245614] ; [65.23245614 73.76754386],1
s6,1,0.0,27.732745,[72 16] ; [66 75],[53.03056769 34.96943231] ; [84.96943231 56.03056769],1
s3,1,1e-06,24.212824,[64 25] ; [54 86],[45.86026201 43.13973799] ; [72.13973799 67.86026201],1
n4,1,0.000287,13.153953,[77 12] ; [92 50],[65.11255411 23.88744589] ; [103.88744589  38.11255411],1
d2,1,0.000332,12.88273,[54 35] ; [51 89],[40.80786026 48.19213974] ; [64.19213974 75.80786026],1
u1,1,0.000334,12.870905,[22 67] ; [ 11 131],[12.71428571 76.28571429] ; [ 20.28571429 121.71428571],1
s5,1,0.002352,9.252011,[29 54] ; [ 23 113],[19.70776256 63.29223744] ; [ 32.29223744 103.70776256],0
a3,1,0.002583,9.080615,[67 22] ; [79 63],[56.25108225 32.74891775] ; [89.74891775 52.25108225],0
s1,1,0.003822,8.366449,[ 7 81] ; [  1 139],[ 3.0877193 84.9122807] ; [  4.9122807 135.0877193],0
n5,1,0.004162,8.211886,[72 17] ; [89 52],[62.3 26.7] ; [98.7 42.3],0
p6,1,0.004327,8.141157,[23 66] ; [ 16 125],[15.09130435 73.90869565] ; [ 23.90869565 117.09130435],0
p11,1,0.006165,7.501377,[57 32] ; [114  28],[65.88311688 23.11688312] ; [105.11688312  36.88311688],0
p4,1,0.00674,7.340864,[52 37] ; [57 85],[41.995671 47.004329] ; [67.004329 74.995671],0
a2,1,0.02039,5.378192,[21 68] ; [ 17 125],[14.64069264 74.35930736] ; [ 23.35930736 118.64069264],0
b5,1,0.027894,4.834586,[67 22] ; [87 55],[59.33333333 29.66666667] ; [94.66666667 47.33333333],0
a6,1,0.035451,4.423326,[52 37] ; [102  40],[59.33333333 29.66666667] ; [94.66666667 47.33333333],0
a5,1,0.036155,4.389755,[67 22] ; [88 54],[59.71861472 29.28138528] ; [95.28138528 46.71861472],0
v4,1,0.039925,4.221084,[86  2] ; [129  13],[82.26086957  5.73913043] ; [132.73913043   9.26086957],0
d1,1,0.042966,4.096756,[56 33] ; [70 72],[48.54545455 40.45454545] ; [77.45454545 64.54545455],0
p9,1,0.08636,2.940955,[79 10] ; [113  28],[74.29565217 14.70434783] ; [117.70434783  23.29565217],0
u3,1,0.123767,2.368996,[16  6] ; [34 29],[12.94117647  9.05882353] ; [37.05882353 25.94117647],0
s4,1,0.127098,2.327594,[17 71] ; [ 17 125],[13.00869565 74.99130435] ; [ 20.99130435 121.00869565],0
a4,1,0.138019,2.199905,[42 47] ; [53 89],[36.6017316 52.3982684] ; [58.3982684 83.6017316],0
r1,1,0.157938,1.993857,[70 19] ; [99 42],[65.39565217 23.60434783] ; [103.60434783  37.39565217],0
n1,1,0.164775,1.929846,[12 13] ; [12 27],[ 9.375 15.625] ; [14.625 24.375],0
v1,1,0.166752,1.9119,[46 39] ; [62 77],[40.98214286 44.01785714] ; [67.01785714 71.98214286],0
n6,1,0.185932,1.749558,[75 13] ; [111  31],[71.16521739 16.83478261] ; [114.83478261  27.16521739],0
p1,1,0.187303,1.738703,[10 79] ; [  9 133],[ 7.32034632 81.67965368] ; [ 11.67965368 130.32034632],0
p5,1,0.223049,1.484647,[ 8 81] ; [  7 135],[ 5.77922078 83.22077922] ; [  9.22077922 132.77922078],0
p3,1,0.235559,1.406974,[32 56] ; [ 41 101],[27.93043478 60.06956522] ; [45.06956522 96.93043478],0
p8,1,0.249996,1.323324,[30 58] ; [ 38 103],[26.13100437 61.86899563] ; [41.86899563 99.13100437],0
d4,1,0.284614,1.144927,[74 15] ; [109  32],[70.81304348 18.18695652] ; [112.18695652  28.81304348],0
b4,1,0.306784,1.044469,[53 36] ; [94 48],[56.63636364 32.36363636] ; [90.36363636 51.63636364],0
u4,1,0.31344,1.016124,[ 2 87] ; [  1 141],[ 1.15584416 87.84415584] ; [  1.84415584 140.15584416],0
a1,1,0.31344,1.016124,[ 2 87] ; [  1 141],[ 1.15584416 87.84415584] ; [  1.84415584 140.15584416],0
v2,1,0.324953,0.968908,[47 41] ; [63 72],[43.40807175 44.59192825] ; [66.59192825 68.40807175],0
r2,1,0.340511,0.908506,[83  5] ; [129  13],[81.11304348  6.88695652] ; [130.88695652  11.11304348],0
v3,1,0.374626,0.788263,[28 58] ; [ 37 100],[25.06726457 60.93273543] ; [39.93273543 97.06726457],0
d5,1,0.406036,0.690377,[73 16] ; [110  32],[70.50649351 18.49350649] ; [112.49350649  29.50649351],0
d3,1,0.531623,0.391289,[60 29] ; [90 52],[57.79220779 31.20779221] ; [92.20779221 49.79220779],0
a7,1,0.539979,0.375579,[63 26] ; [105  36],[65.00869565 23.99130435] ; [102.99130435  38.00869565],0
a8,1,0.565951,0.329505,[10 66] ; [ 14 119],[ 8.72727273 67.27272727] ; [ 15.27272727 117.72727273],0
n2,1,0.580926,0.304739,[17  8] ; [29 10],[17.96875  7.03125] ; [28.03125 10.96875],0
n3,1,0.614798,0.253247,[16  9] ; [28 12],[16.92307692  8.07692308] ; [27.07692308 12.92307692],0
r4,1,0.643531,0.214154,[76 13] ; [118  24],[74.74458874 14.25541126] ; [119.25541126  22.74458874],0
r3,1,0.677642,0.172792,[82  7] ; [131   9],[82.78165939  6.21834061] ; [130.21834061   9.78165939],0
b2,1,0.683919,0.165747,[22 37] ; [23 45],[20.90551181 38.09448819] ; [24.09448819 43.90551181],0
b3,1,0.683919,0.165747,[22 37] ; [23 45],[20.90551181 38.09448819] ; [24.09448819 43.90551181],0
b1,1,0.702169,0.146226,[31 58] ; [46 96],[29.66666667 59.33333333] ; [47.33333333 94.66666667],0
p12,1,0.715013,0.133321,[ 6 82] ; [  8 134],[ 5.35652174 82.64347826] ; [  8.64347826 133.35652174],0
p10,1,0.763128,0.090827,[68 21] ; [106  36],[67.03896104 21.96103896] ; [106.96103896  35.03896104],0
u2,1,1.0,0.0,[11 10] ; [33 30],[11. 10.] ; [33. 30.],0
