Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-05,18.180972,[44 26] ; [75  7],[54.80263158 15.19736842] ; [64.19736842 17.80263158],1
v4,1,2e-05,18.180972,[44 26] ; [75  7],[54.80263158 15.19736842] ; [64.19736842 17.80263158],1
p7,1,5.3e-05,16.351643,[12 57] ; [40 42],[23.7615894 45.2384106] ; [28.2384106 53.7615894],1
p11,1,0.00011,14.957373,[24 47] ; [54 29],[35.96103896 35.03896104] ; [42.03896104 40.96103896],1
p8,1,0.000207,13.76836,[ 7 63] ; [29 52],[16.68874172 53.31125828] ; [19.31125828 61.68874172],1
r4,1,0.000316,12.975435,[37 34] ; [66 17],[47.48701299 23.51298701] ; [55.51298701 27.48701299],1
p9,1,0.001061,10.717457,[14 54] ; [37 43],[23.43243243 44.56756757] ; [27.56756757 52.43243243],0
s3,1,0.0035,8.526353,[18 51] ; [40 41],[26.68 42.32] ; [31.32 49.68],0
p6,1,0.003801,8.376731,[ 6 64] ; [22 60],[12.89473684 57.10526316] ; [15.10526316 66.89473684],0
p4,1,0.005274,7.783009,[11 60] ; [29 53],[18.5620915 52.4379085] ; [21.4379085 60.5620915],0
v2,1,0.009295,6.765304,[19 49] ; [40 42],[26.74666667 41.25333333] ; [32.25333333 49.74666667],0
b1,1,0.019454,5.460237,[39 32] ; [30 53],[31.81168831 39.18831169] ; [37.18831169 45.81168831],0
b5,1,0.023775,5.110955,[37 34] ; [58 25],[43.7987013 27.2012987] ; [51.2012987 31.7987013],0
r1,1,0.037883,4.310265,[40 30] ; [60 22],[46.05263158 23.94736842] ; [53.94736842 28.05263158],0
a6,1,0.043498,4.075956,[36 34] ; [56 27],[42.09150327 27.90849673] ; [49.90849673 33.09150327],0
n3,1,0.043871,4.061538,[16 17] ; [24  9],[20. 13.] ; [20. 13.],0
a8,1,0.058644,3.575336,[ 5 63] ; [13 59],[ 8.74285714 59.25714286] ; [ 9.25714286 62.74285714],0
n6,1,0.067605,3.340229,[38 32] ; [57 26],[43.46405229 26.53594771] ; [51.53594771 31.46405229],0
a1,1,0.080429,3.056214,[ 9 62] ; [ 4 79],[ 5.99350649 65.00649351] ; [ 7.00649351 75.99350649],0
s1,1,0.095038,2.786892,[ 6 64] ; [ 2 79],[ 3.70860927 66.29139073] ; [ 4.29139073 76.70860927],0
s5,1,0.107347,2.592857,[ 8 62] ; [17 63],[11.66666667 58.33333333] ; [13.33333333 66.66666667],0
a7,1,0.140849,2.168657,[37 33] ; [53 29],[41.44736842 28.55263158] ; [48.55263158 33.44736842],0
s8,1,0.1535,2.037116,[ 9 61] ; [18 65],[12.35294118 57.64705882] ; [14.64705882 68.35294118],0
u3,1,0.166904,1.910534,[16 15] ; [11 21],[13.28571429 17.71428571] ; [13.71428571 18.28571429],0
s2,1,0.188804,1.726926,[15 56] ; [25 57],[18.5620915 52.4379085] ; [21.4379085 60.5620915],0
s7,1,0.194296,1.684737,[15 52] ; [25 53],[18.48275862 48.51724138] ; [21.51724138 56.48275862],0
u4,1,0.240104,1.379981,[ 3 68] ; [ 1 82],[ 1.84415584 69.15584416] ; [ 2.15584416 80.84415584],0
s6,1,0.26587,1.237932,[25 45] ; [37 46],[28.36601307 41.63398693] ; [33.63398693 49.36601307],0
v1,1,0.270339,1.215024,[20 50] ; [30 51],[23.17880795 46.82119205] ; [26.82119205 54.17880795],0
n1,1,0.28218,1.156563,[15 21] ; [ 9 22],[12.89552239 23.10447761] ; [11.10447761 19.89552239],0
n2,1,0.282627,1.154415,[19 17] ; [21 11],[21.17647059 14.82352941] ; [18.82352941 13.17647059],0
d3,1,0.294926,1.096995,[38 32] ; [52 31],[41.17647059 28.82352941] ; [48.82352941 34.17647059],0
b2,1,0.311961,1.022355,[17 31] ; [13 37],[14.69387755 33.30612245] ; [15.30612245 34.69387755],0
b3,1,0.311961,1.022355,[17 31] ; [13 37],[14.69387755 33.30612245] ; [15.30612245 34.69387755],0
r2,1,0.342894,0.899582,[55 13] ; [71 11],[57.12 10.88] ; [68.88 13.12],0
p12,1,0.384368,0.756686,[ 1 70] ; [ 3 79],[ 1.85620915 69.14379085] ; [ 2.14379085 79.85620915],0
b4,1,0.413401,0.668997,[39 32] ; [51 32],[41.49350649 29.50649351] ; [48.50649351 34.49350649],0
n4,1,0.518954,0.415972,[42 28] ; [54 29],[43.92156863 26.07843137] ; [52.07843137 30.92156863],0
d5,1,0.582236,0.302633,[46 24] ; [58 25],[47.58169935 22.41830065] ; [56.41830065 26.58169935],0
v3,1,0.595375,0.282029,[20 47] ; [21 60],[18.56081081 48.43918919] ; [22.43918919 58.56081081],0
a3,1,0.597225,0.279201,[40 29] ; [51 31],[41.58278146 27.41721854] ; [49.41721854 32.58278146],0
d2,1,0.677811,0.1726,[36 33] ; [40 42],[34.72847682 34.27152318] ; [41.27152318 40.72847682],0
d4,1,0.699833,0.148646,[49 21] ; [59 22],[50.06622517 19.93377483] ; [57.93377483 23.06622517],0
a2,1,0.764085,0.090072,[14 57] ; [18 65],[14.75324675 56.24675325] ; [17.24675325 65.75324675],0
u1,1,0.784169,0.075016,[10 61] ; [13 70],[10.6038961 60.3961039] ; [12.3961039 70.6038961],0
u2,1,0.817609,0.053186,[14 16] ; [14 18],[13.5483871 16.4516129] ; [14.4516129 17.5483871],0
p1,1,0.84806,0.036709,[ 4 67] ; [ 4 77],[ 3.73684211 67.26315789] ; [ 4.26315789 76.73684211],0
s4,1,0.884087,0.021255,[ 8 62] ; [10 72],[ 8.28947368 61.71052632] ; [ 9.71052632 72.28947368],0
a4,1,0.891818,0.018497,[30 39] ; [37 46],[30.41447368 38.58552632] ; [36.58552632 46.41447368],0
p5,1,0.903379,0.014737,[ 1 69] ; [ 1 82],[ 0.91503268 69.08496732] ; [ 1.08496732 81.91503268],0
d1,1,0.931197,0.007454,[33 38] ; [38 45],[32.73376623 38.26623377] ; [38.26623377 44.73376623],0
n5,1,0.948774,0.004128,[40 30] ; [47 36],[39.80392157 30.19607843] ; [47.19607843 35.80392157],0
a5,1,0.971286,0.001296,[40 31] ; [47 36],[40.11038961 30.88961039] ; [46.88961039 36.11038961],0
