Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,27.412587,[ 8 47] ; [40 25],[22. 33.] ; [26. 39.],1
s7,1,0.0,25.508159,[ 7 45] ; [36 24],[19.96428571 32.03571429] ; [23.03571429 36.96428571],1
s8,1,3e-06,21.703174,[ 5 50] ; [31 33],[16.63865546 38.36134454] ; [19.36134454 44.63865546],1
s5,1,2e-05,18.195229,[ 3 50] ; [25 38],[12.79310345 40.20689655] ; [15.20689655 47.79310345],1
r4,1,3.3e-05,17.263055,[32 23] ; [59  6],[41.70833333 13.29166667] ; [49.29166667 15.70833333],1
s3,1,3.5e-05,17.117323,[14 41] ; [40 23],[25.16949153 29.83050847] ; [28.83050847 34.16949153],1
p6,1,8.3e-05,15.477763,[ 2 52] ; [21 44],[10.43697479 43.56302521] ; [12.56302521 52.43697479],1
n6,1,0.000117,14.836124,[29 25] ; [55  9],[38.44067797 15.55932203] ; [45.55932203 18.44067797],1
v4,1,0.001591,9.970665,[40 15] ; [61  4],[46.29166667  8.70833333] ; [54.70833333 10.29166667],0
v1,1,0.002545,9.108288,[12 42] ; [31 32],[19.84615385 34.15384615] ; [23.15384615 39.84615385],0
v2,1,0.00416,8.212619,[20 33] ; [40 22],[27.65217391 25.34782609] ; [32.34782609 29.65217391],0
r1,1,0.005035,7.866675,[32 23] ; [53 12],[38.95833333 16.04166667] ; [46.04166667 18.95833333],0
v3,1,0.006757,7.336501,[13 40] ; [30 31],[19.99122807 33.00877193] ; [23.00877193 37.99122807],0
s4,1,0.008852,6.852389,[ 4 51] ; [16 47],[ 9.3220339 45.6779661] ; [10.6779661 52.3220339],0
r3,1,0.017496,5.645874,[41 14] ; [59  6],[45.83333333  9.16666667] ; [54.16666667 10.83333333],0
u1,1,0.022013,5.244755,[ 6 49] ; [18 47],[11. 44.] ; [13. 52.],0
p4,1,0.026927,4.895458,[10 45] ; [23 40],[15.38135593 39.61864407] ; [17.61864407 45.38135593],0
r2,1,0.033635,4.513149,[43 10] ; [61  4],[46.71186441  6.28813559] ; [57.28813559  7.71186441],0
b5,1,0.069724,3.28951,[32 23] ; [48 17],[36.66666667 18.33333333] ; [43.33333333 21.66666667],0
p11,1,0.073688,3.198906,[24 31] ; [39 26],[28.875 26.125] ; [34.125 30.875],0
p9,1,0.081563,3.03348,[29 24] ; [45 19],[33.52136752 19.47863248] ; [40.47863248 23.52136752],0
p5,1,0.09284,2.824423,[ 2 51] ; [ 8 56],[ 4.52991453 48.47008547] ; [ 5.47008547 58.52991453],0
n2,1,0.152594,2.046131,[13 11] ; [15  5],[15.27272727  8.72727273] ; [12.72727273  7.27272727],0
p10,1,0.194968,1.679674,[30 24] ; [43 21],[33.40677966 20.59322034] ; [39.59322034 24.40677966],0
n5,1,0.221561,1.494232,[34 21] ; [47 18],[37.125 17.875] ; [43.875 21.125],0
n4,1,0.308937,1.035216,[35 20] ; [47 18],[37.58333333 17.41666667] ; [44.41666667 20.58333333],0
s1,1,0.347687,0.881882,[ 6 49] ; [ 4 61],[ 4.58333333 50.41666667] ; [ 5.41666667 59.58333333],0
p7,1,0.359221,0.840616,[16 39] ; [23 39],[18.33333333 36.66666667] ; [20.66666667 41.33333333],0
a6,1,0.451583,0.566674,[41 14] ; [43 20],[39.15254237 15.84745763] ; [44.84745763 18.15254237],0
u3,1,0.454812,0.558633,[8 9] ; [13  9],[9.15384615 7.84615385] ; [11.84615385 10.15384615],0
b1,1,0.51927,0.415342,[23 32] ; [31 34],[24.75 30.25] ; [29.25 35.75],0
p1,1,0.542874,0.370239,[ 6 49] ; [ 5 60],[ 5.04166667 49.95833333] ; [ 5.95833333 59.04166667],0
d4,1,0.551089,0.35537,[43 12] ; [52 11],[44.27966102 10.72033898] ; [50.72033898 12.27966102],0
n3,1,0.570603,0.321675,[13 10] ; [13  7],[13.90697674  9.09302326] ; [12.09302326  7.90697674],0
b4,1,0.602816,0.270769,[33 22] ; [42 23],[34.375 20.625] ; [40.625 24.375],0
d3,1,0.624774,0.239214,[37 18] ; [45 18],[38.22033898 16.77966102] ; [43.77966102 19.22033898],0
a2,1,0.644365,0.213078,[14 41] ; [19 46],[15.125 39.875] ; [17.875 47.125],0
b3,1,0.688736,0.160457,[12 22] ; [13 29],[11.18421053 22.81578947] ; [13.81578947 28.18421053],0
b2,1,0.688736,0.160457,[12 22] ; [13 29],[11.18421053 22.81578947] ; [13.81578947 28.18421053],0
a4,1,0.700362,0.148095,[26 29] ; [28 36],[24.95798319 30.04201681] ; [29.04201681 34.95798319],0
p3,1,0.710428,0.13785,[16 38] ; [21 43],[16.93220339 37.06779661] ; [20.06779661 43.93220339],0
a3,1,0.710428,0.13785,[38 16] ; [43 21],[37.06779661 16.93220339] ; [43.93220339 20.06779661],0
a8,1,0.7206,0.127918,[ 6 47] ; [ 8 51],[ 6.625 46.375] ; [ 7.375 51.625],0
d2,1,0.721377,0.127177,[27 28] ; [33 30],[27.96610169 27.03389831] ; [32.03389831 30.96610169],0
n1,1,0.759047,0.094085,[ 9 15] ; [ 8 11],[ 9.48837209 14.51162791] ; [ 7.51162791 11.48837209],0
a1,1,0.760098,0.09324,[ 6 49] ; [ 6 59],[ 5.5 49.5] ; [ 6.5 58.5],0
d5,1,0.824643,0.049096,[42 13] ; [47 16],[41.48305085 13.51694915] ; [47.51694915 15.48305085],0
d1,1,0.86435,0.029186,[33 22] ; [38 27],[32.54166667 22.45833333] ; [38.45833333 26.54166667],0
p8,1,0.945405,0.004689,[13 41] ; [16 49],[13.15966387 40.84033613] ; [15.84033613 49.15966387],0
u2,1,0.98657,0.000283,[10  7] ; [13  9],[10.02564103  6.97435897] ; [12.97435897  9.02564103],0
a5,1,0.986811,0.000273,[38 17] ; [45 20],[38.04166667 16.95833333] ; [44.95833333 20.04166667],0
