Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000241,13.480066,[54  7] ; [10 10],[48.19753086 12.80246914] ; [15.80246914  4.19753086],1
d2,1,0.000394,12.56006,[37 24] ; [ 3 17],[30.12345679 30.87654321] ; [ 9.87654321 10.12345679],1
a4,1,0.005132,7.832457,[24 37] ; [ 1 18],[19.0625 41.9375] ; [ 5.9375 13.0625],0
r4,1,0.016127,5.788922,[52  9] ; [12  8],[48.19753086 12.80246914] ; [15.80246914  4.19753086],0
s8,1,0.018687,5.530574,[27 34] ; [ 3 17],[22.59259259 38.40740741] ; [ 7.40740741 12.59259259],0
r3,1,0.03724,4.339414,[58  3] ; [16  4],[55.72839506  5.27160494] ; [18.27160494  1.72839506],0
a3,1,0.043389,4.080179,[40 21] ; [ 8 12],[36.14814815 24.85185185] ; [11.85185185  8.14814815],0
p2,1,0.043389,4.080179,[40 21] ; [ 8 12],[36.14814815 24.85185185] ; [11.85185185  8.14814815],0
r1,1,0.044222,4.048084,[50 11] ; [12  8],[46.69135802 14.30864198] ; [15.30864198  4.69135802],0
d3,1,0.055245,3.674682,[42 19] ; [ 9 11],[38.40740741 22.59259259] ; [12.59259259  7.40740741],0
v3,1,0.061948,3.484444,[19 41] ; [11  9],[22.5 37.5] ; [ 7.5 12.5],0
u3,1,0.062719,3.463975,[17  4] ; [6 6],[14.63636364  6.36363636] ; [8.36363636 3.63636364],0
a7,1,0.068455,3.319672,[44 17] ; [10 10],[40.66666667 20.33333333] ; [13.33333333  6.66666667],0
a5,1,0.080689,3.050964,[38 23] ; [ 8 12],[34.64197531 26.35802469] ; [11.35802469  8.64197531],0
p4,1,0.090497,2.865515,[36 25] ; [ 7 12],[32.7875 28.2125] ; [10.2125  8.7875],0
a8,1,0.108022,2.58292,[ 4 49] ; [ 4 15],[ 5.88888889 47.11111111] ; [ 2.11111111 16.88888889],0
s1,1,0.116177,2.468111,[ 3 58] ; [ 3 16],[ 4.575 56.425] ; [ 1.425 17.575],0
p1,1,0.135166,2.232148,[ 3 58] ; [ 3 17],[ 4.51851852 56.48148148] ; [ 1.48148148 18.51851852],0
a6,1,0.138454,2.195062,[36 25] ; [ 8 12],[33.13580247 27.86419753] ; [10.86419753  9.13580247],0
v4,1,0.230489,1.437839,[55  6] ; [16  4],[53.4691358  7.5308642] ; [17.5308642  2.4691358],0
n5,1,0.245568,1.348342,[37 24] ; [15  5],[39.16049383 21.83950617] ; [12.83950617  7.16049383],0
p10,1,0.278499,1.174399,[18 43] ; [ 3 15],[16.21518987 44.78481013] ; [ 4.78481013 13.21518987],0
r2,1,0.334185,0.932612,[54  7] ; [16  4],[52.71604938  8.28395062] ; [17.28395062  2.71604938],0
n4,1,0.362296,0.829918,[39 22] ; [15  5],[40.66666667 20.33333333] ; [13.33333333  6.66666667],0
p6,1,0.448197,0.575209,[13 47] ; [ 6 14],[14.25 45.75] ; [ 4.75 15.25],0
b1,1,0.475608,0.508916,[39 22] ; [11  9],[37.65432099 23.34567901] ; [12.34567901  7.65432099],0
n3,1,0.492519,0.471018,[9 7] ; [5 2],[9.73913043 6.26086957] ; [4.26086957 2.73913043],0
s7,1,0.54156,0.372656,[26 32] ; [ 7 12],[24.85714286 33.14285714] ; [ 8.14285714 10.85714286],0
p8,1,0.547108,0.362523,[26 35] ; [ 7 13],[24.85185185 36.14814815] ; [ 8.14814815 11.85185185],0
v2,1,0.562777,0.334919,[28 31] ; [ 8 12],[26.88607595 32.11392405] ; [ 9.11392405 10.88607595],0
p5,1,0.60994,0.260262,[ 4 57] ; [ 2 18],[ 4.51851852 56.48148148] ; [ 1.48148148 18.51851852],0
n6,1,0.631871,0.229532,[46 15] ; [14  6],[45.18518519 15.81481481] ; [14.81481481  5.18518519],0
b4,1,0.651844,0.203583,[40 21] ; [12  8],[39.16049383 21.83950617] ; [12.83950617  7.16049383],0
s3,1,0.687073,0.162272,[39 21] ; [12  8],[38.25 21.75] ; [12.75  7.25],0
p3,1,0.751853,0.099981,[22 39] ; [ 8 12],[22.59259259 38.40740741] ; [ 7.40740741 12.59259259],0
s5,1,0.755032,0.097351,[17 44] ; [ 6 13],[17.5375 43.4625] ; [ 5.4625 13.5375],0
b2,1,0.780958,0.077324,[10 33] ; [3 8],[10.35185185 32.64814815] ; [2.64814815 8.35185185],0
b3,1,0.780958,0.077324,[10 33] ; [3 8],[10.35185185 32.64814815] ; [2.64814815 8.35185185],0
n1,1,0.856417,0.032738,[ 6 10] ; [2 4],[ 5.81818182 10.18181818] ; [2.18181818 3.81818182],0
n2,1,0.857561,0.032213,[12  4] ; [5 2],[11.82608696  4.17391304] ; [5.17391304 1.82608696],0
u2,1,0.888126,0.01979,[12  9] ; [6 5],[11.8125  9.1875] ; [6.1875 4.8125],0
s2,1,0.896471,0.016931,[34 26] ; [11  9],[33.75 26.25] ; [11.25  8.75],0
b5,1,0.93126,0.007441,[39 22] ; [13  7],[39.16049383 21.83950617] ; [12.83950617  7.16049383],0
v1,1,0.938074,0.006036,[25 36] ; [ 8 12],[24.85185185 36.14814815] ; [ 8.14814815 11.85185185],0
p7,1,0.941518,0.005382,[31 29] ; [10  9],[31.13924051 28.86075949] ; [9.86075949 9.13924051],0
p11,1,0.949267,0.004048,[31 30] ; [10 10],[30.87654321 30.12345679] ; [10.12345679  9.87654321],0
s4,1,0.969957,0.001418,[15 44] ; [ 5 15],[14.93670886 44.06329114] ; [ 5.06329114 14.93670886],0
