Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,28.676186,[16 77] ; [13  3],[24.74311927 68.25688073] ; [ 4.25688073 11.74311927],1
p10,1,0.000245,13.45243,[42 53] ; [15  1],[48.78378378 46.21621622] ; [8.21621622 7.78378378],1
p4,1,0.002456,9.173151,[22 74] ; [10  7],[27.18584071 68.81415929] ; [ 4.81415929 12.18584071],0
s2,1,0.003687,8.432104,[21 76] ; [9 7],[25.75221239 71.24778761] ; [ 4.24778761 11.75221239],0
s6,1,0.011037,6.459389,[29 68] ; [10  6],[33.47787611 63.52212389] ; [ 5.52212389 10.47787611],0
u3,1,0.011488,6.388271,[13 30] ; [5 1],[15.79591837 27.20408163] ; [2.20408163 3.79591837],0
n2,1,0.012799,6.196667,[21 24] ; [9 1],[24.54545455 20.45454545] ; [5.45454545 4.54545455],0
p9,1,0.014956,5.921655,[45 48] ; [13  3],[49.48623853 43.51376147] ; [8.51376147 7.48623853],0
p8,1,0.016296,5.770663,[19 76] ; [8 9],[22.90178571 72.09821429] ; [ 4.09821429 12.90178571],0
r3,1,0.026942,4.894541,[44 49] ; [13  4],[48.19090909 44.80909091] ; [8.80909091 8.19090909],0
s3,1,0.027806,4.840041,[29 65] ; [9 6],[32.7706422 61.2293578] ; [5.2293578 9.7706422],0
p2,1,0.032898,4.551075,[46 49] ; [13  4],[50.04464286 44.95535714] ; [8.95535714 8.04464286],0
p11,1,0.037649,4.3208,[42 55] ; [12  5],[45.94736842 51.05263158] ; [8.05263158 8.94736842],0
n1,1,0.061285,3.502274,[13 32] ; [6 4],[15.54545455 29.45454545] ; [3.45454545 6.54545455],0
p7,1,0.063011,3.456312,[25 68] ; [8 8],[28.1559633 64.8440367] ; [ 4.8440367 11.1559633],0
v4,1,0.066619,3.364424,[51 42] ; [12  3],[54.25 38.75] ; [8.75 6.25],0
v1,1,0.111191,2.537218,[28 66] ; [8 8],[30.76363636 63.23636364] ; [ 5.23636364 10.76363636],0
v3,1,0.130332,2.288545,[18 77] ; [ 6 11],[20.35714286 74.64285714] ; [ 3.64285714 13.35714286],0
n5,1,0.149001,2.082447,[53 42] ; [12  4],[55.63063063 39.36936937] ; [9.36936937 6.63063063],0
s5,1,0.163096,1.94528,[15 82] ; [ 5 12],[17.01754386 79.98245614] ; [ 2.98245614 14.01754386],0
v2,1,0.170808,1.875842,[28 65] ; [8 9],[30.43636364 62.56363636] ; [ 5.56363636 11.43636364],0
d4,1,0.172438,1.861617,[63 33] ; [14  3],[65.4159292 30.5840708] ; [11.5840708  5.4159292],0
r2,1,0.18761,1.736289,[53 38] ; [6 9],[50.6509434 40.3490566] ; [8.3490566 6.6509434],0
d1,1,0.187812,1.734695,[35 62] ; [9 8],[37.43859649 59.56140351] ; [ 6.56140351 10.43859649],0
p5,1,0.207655,1.587699,[ 4 90] ; [ 2 15],[ 5.08108108 88.91891892] ; [ 0.91891892 16.08108108],0
r1,1,0.208227,1.58371,[27 69] ; [7 9],[29.14285714 66.85714286] ; [ 4.85714286 11.14285714],0
n4,1,0.268926,1.222217,[54 42] ; [12  5],[56.07079646 39.92920354] ; [9.92920354 7.07079646],0
b3,1,0.405416,0.692204,[20 37] ; [ 3 10],[18.72857143 38.27142857] ; [4.27142857 8.72857143],0
b2,1,0.405416,0.692204,[20 37] ; [ 3 10],[18.72857143 38.27142857] ; [4.27142857 8.72857143],0
b5,1,0.477404,0.504789,[49 48] ; [ 7 10],[47.64912281 49.35087719] ; [8.35087719 8.64912281],0
a3,1,0.545118,0.366135,[54 41] ; [11  6],[55.13392857 39.86607143] ; [9.86607143 7.13392857],0
