Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.004038,8.266667,[38 24] ; [22 40],[30. 32.] ; [30. 32.],0
b5,1,0.005087,7.848101,[47 15] ; [32 30],[39.5 22.5] ; [39.5 22.5],0
d5,1,0.010794,6.498952,[58  4] ; [48 14],[53.  9.] ; [53.  9.],0
d4,1,0.021243,5.306769,[59  3] ; [50 11],[54.94308943  7.05691057] ; [54.05691057  6.94308943],0
v4,1,0.0282,4.815789,[60  1] ; [54  7],[57.  4.] ; [57.  4.],0
u1,1,0.031729,4.613095,[19 43] ; [ 9 53],[14. 48.] ; [14. 48.],0
s2,1,0.038446,4.285193,[47 14] ; [37 25],[41.65853659 19.34146341] ; [42.34146341 19.65853659],0
a2,1,0.081745,3.029864,[24 38] ; [15 47],[19.5 42.5] ; [19.5 42.5],0
v2,1,0.083172,3.001793,[36 24] ; [27 34],[31.23966942 28.76033058] ; [31.76033058 29.23966942],0
a5,1,0.093434,2.814184,[51 11] ; [43 19],[47. 15.] ; [47. 15.],0
p3,1,0.100485,2.697824,[30 32] ; [21 41],[25.5 36.5] ; [25.5 36.5],0
p12,1,0.114283,2.493966,[ 8 54] ; [ 3 59],[ 5.5 56.5] ; [ 5.5 56.5],0
u3,1,0.128872,2.306043,[10  2] ; [9 7],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
v3,1,0.140395,2.17362,[22 39] ; [14 45],[18.3 42.7] ; [17.7 41.3],0
n2,1,0.143389,2.141204,[14  2] ; [14  7],[12.10810811  3.89189189] ; [15.89189189  5.10810811],0
a4,1,0.149912,2.073145,[37 25] ; [29 33],[33. 29.] ; [33. 29.],0
p9,1,0.171779,1.867347,[52  9] ; [46 15],[49. 12.] ; [49. 12.],0
p2,1,0.21818,1.516304,[49 13] ; [43 19],[46. 16.] ; [46. 16.],0
p5,1,0.224372,1.47619,[ 8 54] ; [ 4 58],[ 6. 56.] ; [ 6. 56.],0
a6,1,0.254915,1.296167,[44 18] ; [38 24],[41. 21.] ; [41. 21.],0
p7,1,0.267099,1.231588,[31 31] ; [24 36],[27.95081967 34.04918033] ; [27.04918033 32.95081967],0
d2,1,0.269361,1.22,[39 22] ; [33 28],[36. 25.] ; [36. 25.],0
r3,1,0.275577,1.188772,[59  3] ; [54  6],[57.42622951  4.57377049] ; [55.57377049  4.42622951],0
r4,1,0.283937,1.148148,[56  6] ; [52 10],[54.  8.] ; [54.  8.],0
s4,1,0.288908,1.124703,[15 46] ; [20 40],[17.6446281 43.3553719] ; [17.3553719 42.6446281],0
n6,1,0.307186,1.042735,[50 11] ; [54  7],[52.  9.] ; [52.  9.],0
d3,1,0.326424,0.963032,[46 16] ; [41 21],[43.5 18.5] ; [43.5 18.5],0
a8,1,0.340356,0.909091,[ 7 48] ; [ 4 51],[ 5.5 49.5] ; [ 5.5 49.5],0
s3,1,0.343523,0.897238,[41 18] ; [38 24],[38.52066116 20.47933884] ; [40.47933884 21.52066116],0
d1,1,0.358387,0.843537,[40 22] ; [35 27],[37.5 24.5] ; [37.5 24.5],0
r1,1,0.376515,0.782051,[50 11] ; [46 15],[48. 13.] ; [48. 13.],0
a3,1,0.390272,0.738095,[50 12] ; [46 16],[48. 14.] ; [48. 14.],0
u2,1,0.391153,0.735354,[8 4] ; [7 7],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
a1,1,0.402594,0.700565,[ 2 60] ; [ 4 58],[ 3. 59.] ; [ 3. 59.],0
b2,1,0.478695,0.501834,[16 22] ; [13 25],[14.5 23.5] ; [14.5 23.5],0
b3,1,0.478695,0.501834,[16 22] ; [13 25],[14.5 23.5] ; [14.5 23.5],0
p10,1,0.512937,0.42807,[49 12] ; [46 15],[47.5 13.5] ; [47.5 13.5],0
a7,1,0.523736,0.406531,[43 19] ; [39 22],[41.33333333 20.66666667] ; [40.66666667 20.33333333],0
p1,1,0.570362,0.322078,[ 6 56] ; [ 8 54],[ 7. 55.] ; [ 7. 55.],0
b1,1,0.581589,0.303673,[23 39] ; [26 36],[24.5 37.5] ; [24.5 37.5],0
n4,1,0.627173,0.235914,[44 16] ; [43 19],[42.78688525 17.21311475] ; [44.21311475 17.78688525],0
p4,1,0.649188,0.206926,[31 31] ; [33 28],[32.2601626 29.7398374] ; [31.7398374 29.2601626],0
n5,1,0.695796,0.152882,[43 18] ; [41 20],[42. 19.] ; [42. 19.],0
r2,1,0.697056,0.151553,[58  3] ; [57  4],[57.5  3.5] ; [57.5  3.5],0
n1,1,0.708959,0.139319,[7 9] ; [10 10],[7.55555556 8.44444444] ; [ 9.44444444 10.55555556],0
n3,1,0.73173,0.117529,[11  6] ; [14  6],[11.48648649  5.51351351] ; [13.51351351  6.48648649],0
s1,1,0.747518,0.103628,[ 3 56] ; [ 4 58],[ 3.41322314 55.58677686] ; [ 3.58677686 58.41322314],0
p6,1,0.797402,0.0659,[18 43] ; [17 45],[17.35772358 43.64227642] ; [17.64227642 44.35772358],0
s6,1,0.803121,0.062155,[52 10] ; [53  9],[52.5  9.5] ; [52.5  9.5],0
b4,1,0.850341,0.035601,[41 21] ; [40 22],[40.5 21.5] ; [40.5 21.5],0
s7,1,0.850841,0.035361,[35 24] ; [36 23],[35.5 23.5] ; [35.5 23.5],0
p11,1,0.851846,0.03488,[39 23] ; [40 22],[39.5 22.5] ; [39.5 22.5],0
u4,1,1.0,0.0,[ 1 61] ; [ 1 61],[ 1. 61.] ; [ 1. 61.],0
