Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,101.188137,[372  91] ; [59 98],[321.85967742 141.14032258] ; [109.14032258  47.85967742],1
d3,1,0.0,87.838322,[405  59] ; [81 76],[363.13043478 100.86956522] ; [122.86956522  34.13043478],1
a2,1,0.0,33.080071,[150 314] ; [ 14 143],[122.53784219 341.46215781] ; [ 41.46215781 115.53784219],1
u1,1,0.0,26.047821,[118 346] ; [ 10 147],[ 95.63929147 368.36070853] ; [ 32.36070853 124.63929147],1
b5,1,5e-06,20.986958,[303 161] ; [70 87],[278.69887279 185.30112721] ; [94.30112721 62.69887279],1
v4,1,2.2e-05,18.014724,[450   9] ; [142  15],[441.11688312  17.88311688] ; [150.88311688   6.11688312],1
d1,1,0.002649,9.03452,[345 119] ; [97 60],[330.25442834 133.74557166] ; [111.74557166  45.25442834],0
r2,1,0.003646,8.452278,[441  17] ; [139  15],[434.05228758  23.94771242] ; [145.94771242   8.05228758],0
a3,1,0.011751,6.348007,[343 119] ; [132  25],[354.52342488 107.47657512] ; [120.47657512  36.52342488],0
r4,1,0.021131,5.315986,[430  34] ; [136  21],[422.90499195  41.09500805] ; [143.09500805  13.90499195],0
b1,1,0.022814,5.182625,[157 307] ; [69 88],[168.86312399 295.13687601] ; [57.13687601 99.86312399],0
b2,1,0.033985,4.49548,[100 166] ; [53 54],[109.10991957 156.89008043] ; [43.89008043 63.10991957],0
b3,1,0.033985,4.49548,[100 166] ; [53 54],[109.10991957 156.89008043] ; [43.89008043 63.10991957],0
s5,1,0.038279,4.292603,[161 285] ; [68 81],[171.65378151 274.34621849] ; [57.34621849 91.65378151],0
u3,1,0.053538,3.727059,[77 42] ; [11 14],[72.72222222 46.27777778] ; [15.27777778  9.72222222],0
n5,1,0.079408,3.076979,[350 111] ; [129  27],[357.89141005 103.10858995] ; [121.10858995  34.89141005],0
b4,1,0.079531,3.074453,[288 176] ; [85 72],[278.69887279 185.30112721] ; [94.30112721 62.69887279],0
s7,1,0.088035,2.909943,[222 223] ; [88 64],[231.0720268 213.9279732] ; [78.9279732 73.0720268],0
r3,1,0.088066,2.909368,[445  15] ; [147  10],[441.36142626  18.63857374] ; [150.63857374   6.36142626],0
a1,1,0.096508,2.762321,[ 22 442] ; [ 13 144],[ 26.15136876 437.84863124] ; [  8.84863124 148.15136876],0
a8,1,0.121572,2.396956,[ 65 350] ; [ 16 136],[ 59.28571429 355.71428571] ; [ 21.71428571 130.28571429],0
s8,1,0.125061,2.352767,[214 247] ; [84 73],[222.29449838 238.70550162] ; [75.70550162 81.29449838],0
