Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,60.230769,[ 8 50] ; [88 28],[32. 26.] ; [64. 52.],1
d4,1,0.0,38.99225,[39 19] ; [116   1],[51.37142857  6.62857143] ; [103.62857143  13.37142857],1
d5,1,0.0,35.709042,[39 19] ; [116   2],[51.07954545  6.92045455] ; [103.92045455  14.07954545],1
d3,1,0.0,35.132207,[24 34] ; [100  18],[40.86363636 17.13636364] ; [83.13636364 34.86363636],1
a2,1,3e-06,21.836959,[ 3 55] ; [46 73],[16.05649718 41.94350282] ; [32.94350282 86.05649718],1
a3,1,2.6e-05,17.680509,[36 22] ; [105  13],[46.46590909 11.53409091] ; [94.53409091 23.46590909],1
a4,1,6.2e-05,16.054315,[16 42] ; [71 48],[28.50847458 29.49152542] ; [58.49152542 60.50847458],1
a5,1,0.000282,13.184873,[41 17] ; [109  10],[49.15254237  8.84745763] ; [100.84745763  18.15254237],1
u1,1,0.000923,10.976409,[ 6 52] ; [40 79],[15.07344633 42.92655367] ; [30.92655367 88.07344633],1
p4,1,0.008172,6.99538,[32 25] ; [88 28],[39.53757225 17.46242775] ; [80.46242775 35.53757225],0
v1,1,0.013816,6.061507,[32 25] ; [88 30],[39.08571429 17.91428571] ; [80.91428571 37.08571429],0
a6,1,0.022264,5.225056,[31 27] ; [83 34],[37.78285714 20.21714286] ; [76.21714286 40.78285714],0
b4,1,0.04594,3.983808,[30 28] ; [80 39],[36.04519774 21.95480226] ; [73.95480226 45.04519774],0
n5,1,0.137626,2.204309,[41 15] ; [97 20],[44.67052023 11.32947977] ; [93.32947977 23.67052023],0
s8,1,0.17459,1.843087,[31 27] ; [75 42],[35.13142857 22.86857143] ; [70.86857143 46.13142857],0
p3,1,0.176556,1.826376,[32 25] ; [78 39],[36.03448276 20.96551724] ; [73.96551724 43.03448276],0
r2,1,0.176724,1.82496,[53  3] ; [116   2],[54.3908046  1.6091954] ; [114.6091954   3.3908046],0
a7,1,0.21034,1.569081,[38 20] ; [88 30],[41.52272727 16.47727273] ; [84.47727273 33.52272727],0
b5,1,0.22241,1.488752,[27 31] ; [67 52],[30.80225989 27.19774011] ; [63.19774011 55.80225989],0
u3,1,0.226765,1.461039,[13  9] ; [11  3],[14.66666667  7.33333333] ; [9.33333333 4.66666667],0
n1,1,0.269887,1.217321,[5 9] ; [12 10],[6.61111111 7.38888889] ; [10.38888889 11.61111111],0
p10,1,0.283645,1.149542,[48  9] ; [106  12],[50.16  6.84] ; [103.84  14.16],0
s2,1,0.3075,1.041383,[39 19] ; [88 30],[41.85227273 16.14772727] ; [85.14772727 32.85227273],0
n4,1,0.321826,0.981511,[44 14] ; [97 21],[46.46590909 11.53409091] ; [94.53409091 23.46590909],0
p12,1,0.323265,0.975691,[ 6 51] ; [19 99],[ 8.14285714 48.85714286] ; [ 16.85714286 101.14285714],0
p2,1,0.324648,0.970131,[46 11] ; [102  16],[48.20571429  8.79428571] ; [99.79428571 18.20571429],0
s3,1,0.340983,0.906731,[35 22] ; [79 36],[37.77906977 19.22093023] ; [76.22093023 38.77906977],0
p1,1,0.421476,0.646196,[ 5 53] ; [ 15 103],[ 6.59090909 51.40909091] ; [ 13.40909091 104.59090909],0
n6,1,0.435241,0.608797,[49  7] ; [105  10],[50.43274854  5.56725146] ; [103.56725146  11.43274854],0
p8,1,0.435521,0.608055,[33 24] ; [73 41],[35.33333333 21.66666667] ; [70.66666667 43.33333333],0
p11,1,0.460085,0.545688,[44 14] ; [96 23],[45.87570621 12.12429379] ; [94.12429379 24.87570621],0
b3,1,0.510205,0.433647,[11 18] ; [36 44],[12.50458716 16.49541284] ; [34.49541284 45.50458716],0
b2,1,0.510205,0.433647,[11 18] ; [36 44],[12.50458716 16.49541284] ; [34.49541284 45.50458716],0
a8,1,0.517459,0.418955,[ 9 46] ; [13 90],[ 7.65822785 47.34177215] ; [14.34177215 88.65822785],0
v3,1,0.526758,0.400642,[33 25] ; [73 45],[34.93181818 23.06818182] ; [71.06818182 46.93181818],0
s6,1,0.557026,0.34488,[46 10] ; [101  17],[47.31034483  8.68965517] ; [99.68965517 18.31034483],0
p9,1,0.684267,0.165362,[51  6] ; [106  10],[51.7283237  5.2716763] ; [105.2716763  10.7283237],0
n3,1,0.693012,0.155844,[10  4] ; [17  5],[10.5  3.5] ; [16.5  5.5],0
p7,1,0.699037,0.149476,[43 14] ; [89 25],[44. 13.] ; [88. 26.],0
p6,1,0.707981,0.140302,[27 30] ; [51 64],[25.84883721 31.15116279] ; [52.15116279 62.84883721],0
u2,1,0.724159,0.124542,[10 11] ; [7 6],[10.5 10.5] ; [6.5 6.5],0
r1,1,0.73143,0.117802,[50  8] ; [103  14],[50.70857143  7.29142857] ; [102.29142857  14.70857143],0
b1,1,0.731808,0.117458,[22 36] ; [42 77],[20.97175141 37.02824859] ; [43.02824859 75.97175141],0
n2,1,0.759766,0.093506,[12  2] ; [18  4],[11.66666667  2.33333333] ; [18.33333333  3.66666667],0
v4,1,0.834584,0.043608,[54  2] ; [113   5],[53.74712644  2.25287356] ; [113.25287356   4.74712644],0
r4,1,0.873245,0.025452,[54  4] ; [110   9],[53.74011299  4.25988701] ; [110.25988701   8.74011299],0
s7,1,0.885571,0.02071,[38 17] ; [80 34],[38.40236686 16.59763314] ; [79.59763314 34.40236686],0
p5,1,0.892672,0.018204,[13 44] ; [28 90],[13.35428571 43.64571429] ; [27.64571429 90.35428571],0
s4,1,0.917663,0.010687,[12 46] ; [25 92],[12.26285714 45.73714286] ; [24.73714286 92.26285714],0
a1,1,0.965553,0.001865,[ 4 54] ; [  8 111],[ 3.93220339 54.06779661] ; [  8.06779661 110.93220339],0
s1,1,0.994359,5e-05,[ 1 57] ; [  2 115],[ 0.99428571 57.00571429] ; [  2.00571429 114.99428571],0
