Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.002558,9.098465,[54  9] ; [108  57],[44.76315789 18.23684211] ; [117.23684211  47.76315789],0
a8,1,0.003217,8.680271,[ 3 56] ; [ 34 119],[10.29716981 48.70283019] ; [ 26.70283019 126.29716981],0
n4,1,0.003889,8.335004,[42 21] ; [137  26],[49.89823009 13.10176991] ; [129.10176991  33.89823009],0
s5,1,0.004961,7.893715,[33 24] ; [ 58 101],[24.01388889 32.98611111] ; [66.98611111 92.01388889],0
b3,1,0.014827,5.936937,[ 9 32] ; [52 68],[15.53416149 25.46583851] ; [45.46583851 74.53416149],0
b2,1,0.014827,5.936937,[ 9 32] ; [52 68],[15.53416149 25.46583851] ; [45.46583851 74.53416149],0
r3,1,0.02791,4.83363,[55  7] ; [158   6],[58.43362832  3.56637168] ; [154.56637168   9.43362832],0
r4,1,0.039895,4.22233,[49 14] ; [146  19],[53.88157895  9.11842105] ; [141.11842105  23.88157895],0
r1,1,0.040465,4.198288,[45 18] ; [137  27],[50.51101322 12.48898678] ; [131.48898678  32.51101322],0
p6,1,0.043384,4.080384,[34 28] ; [65 98],[27.28 34.72] ; [71.72 91.28],0
n6,1,0.046301,3.970616,[48 15] ; [141  21],[52.92 10.08] ; [136.08  25.92],0
d3,1,0.098475,2.730071,[47 16] ; [104  61],[41.72368421 21.27631579] ; [109.27631579  55.72368421],0
v2,1,0.110524,2.546719,[21 40] ; [75 87],[26.26008969 34.73991031] ; [69.73991031 92.26008969],0
r2,1,0.11138,2.534531,[57  5] ; [155   5],[59.20720721  2.79279279] ; [152.79279279   7.20720721],0
n5,1,0.111999,2.525783,[43 20] ; [127  35],[47.6 15.4] ; [122.4  39.6],0
a5,1,0.126754,2.33182,[44 19] ; [131  34],[48.35526316 14.64473684] ; [126.64473684  38.35526316],0
a3,1,0.141772,2.15862,[46 17] ; [135  30],[50.01315789 12.98684211] ; [130.98684211  34.01315789],0
n1,1,0.152927,2.04281,[5 9] ; [27 20],[7.3442623 6.6557377] ; [24.6557377 22.3442623],0
u3,1,0.170693,1.876848,[14  3] ; [19 11],[11.93617021  5.06382979] ; [21.06382979  8.93617021],0
v4,1,0.173074,1.856112,[57  5] ; [157   6],[58.96888889  3.03111111] ; [155.03111111   7.96888889],0
a2,1,0.197122,1.663573,[13 50] ; [ 48 117],[16.85526316 46.14473684] ; [ 44.14473684 120.85526316],0
s3,1,0.199638,1.645022,[51 12] ; [120  45],[47.25 15.75] ; [123.75  41.25],0
p5,1,0.206522,1.595642,[ 5 58] ; [ 23 140],[ 7.80530973 55.19469027] ; [ 20.19469027 142.80530973],0
d4,1,0.23776,1.393829,[48 15] ; [137  28],[51.11842105 11.88157895] ; [133.88157895  31.11842105],0
p1,1,0.27152,1.209053,[ 7 56] ; [ 11 153],[ 4.99559471 58.00440529] ; [ 13.00440529 150.99559471],0
p8,1,0.279733,1.168385,[36 25] ; [83 80],[32.40625 28.59375] ; [86.59375 76.40625],0
a4,1,0.328693,0.954041,[26 37] ; [80 85],[29.28947368 33.71052632] ; [76.71052632 88.28947368],0
a7,1,0.344185,0.89478,[41 22] ; [118  47],[43.93421053 19.06578947] ; [115.06578947  49.93421053],0
s1,1,0.364578,0.822064,[ 5 57] ; [  8 155],[ 3.58222222 58.41777778] ; [  9.41777778 153.58222222],0
d2,1,0.374824,0.787608,[31 32] ; [92 73],[33.98684211 29.01315789] ; [89.01315789 75.98684211],0
s6,1,0.384516,0.756214,[53  9] ; [132  32],[50.75221239 11.24778761] ; [134.24778761  29.75221239],0
b5,1,0.416292,0.66076,[40 23] ; [95 70],[37.30263158 25.69736842] ; [97.69736842 67.30263158],0
d1,1,0.510396,0.433254,[34 29] ; [97 68],[36.19736842 26.80263158] ; [94.80263158 70.19736842],0
p7,1,0.598568,0.27716,[40 19] ; [103  58],[38.35 20.65] ; [104.65  56.35],0
p4,1,0.638183,0.221127,[39 24] ; [107  57],[40.51982379 22.48017621] ; [105.48017621  58.51982379],0
p9,1,0.641576,0.216687,[53  9] ; [144  20],[54.04424779  7.95575221] ; [142.95575221  21.04424779],0
v1,1,0.651935,0.203469,[27 36] ; [73 85],[28.50678733 34.49321267] ; [71.49321267 86.50678733],0
u1,1,0.697916,0.150649,[13 50] ; [ 38 127],[14.09210526 48.90789474] ; [ 36.90789474 128.09210526],0
n3,1,0.701884,0.146519,[10  4] ; [31 16],[9.40983607 4.59016393] ; [31.59016393 15.40983607],0
s8,1,0.705483,0.142831,[38 25] ; [104  61],[39.23684211 23.76315789] ; [102.76315789  62.23684211],0
d5,1,0.710698,0.137581,[49 14] ; [132  33],[50.01315789 12.98684211] ; [130.98684211  34.01315789],0
p3,1,0.723341,0.125314,[32 31] ; [79 85],[30.8061674 32.1938326] ; [80.1938326 83.8061674],0
p2,1,0.723465,0.125197,[53 10] ; [141  23],[53.84140969  9.15859031] ; [140.15859031  23.84140969],0
p10,1,0.83317,0.044368,[51 11] ; [136  27],[51.52888889 10.47111111] ; [135.47111111  27.52888889],0
b4,1,0.872455,0.025773,[34 29] ; [91 74],[34.53947368 28.46052632] ; [90.46052632 74.53947368],0
n2,1,0.906723,0.013729,[11  3] ; [37 11],[10.83870968  3.16129032] ; [37.16129032 10.83870968],0
b1,1,0.927333,0.008317,[26 37] ; [67 98],[25.69736842 37.30263158] ; [67.30263158 97.69736842],0
u2,1,0.955526,0.00311,[11  6] ; [19 10],[11.08695652  5.91304348] ; [18.91304348 10.08695652],0
a6,1,0.983844,0.00041,[40 23] ; [105  60],[40.06578947 22.93421053] ; [104.93421053  60.06578947],0
p12,1,0.992262,9.4e-05,[ 5 58] ; [ 13 150],[ 5.01769912 57.98230088] ; [ 12.98230088 150.01769912],0
p11,1,0.99286,8e-05,[47 16] ; [123  42],[46.97368421 16.02631579] ; [123.02631579  41.97368421],0
