Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-05,19.550501,[10 23] ; [34  8],[19.36 13.64] ; [24.64 17.36],1
d4,1,0.005934,7.570241,[26  7] ; [20 22],[20.24 12.76] ; [25.76 16.24],0
d3,1,0.011341,6.411148,[19 14] ; [12 30],[13.64 19.36] ; [17.36 24.64],0
u2,1,0.027199,4.878144,[14  5] ; [11 16],[10.32608696  8.67391304] ; [14.67391304 12.32608696],0
d5,1,0.028082,4.823022,[21 12] ; [16 26],[16.28 16.72] ; [20.72 21.28],0
n6,1,0.048398,3.896104,[18 15] ; [32 10],[22. 11.] ; [28. 14.],0
r4,1,0.07585,3.151658,[26  7] ; [25 17],[22.44 10.56] ; [28.56 13.44],0
a7,1,0.083478,2.995857,[20 13] ; [17 25],[16.28 16.72] ; [20.72 21.28],0
b5,1,0.110335,2.549417,[24  9] ; [23 19],[20.68 12.32] ; [26.32 15.68],0
r3,1,0.111734,2.529525,[28  5] ; [29 13],[25.08  7.92] ; [31.92 10.08],0
v3,1,0.12609,2.34,[ 6 26] ; [14 26],[ 8.88888889 23.11111111] ; [11.11111111 28.88888889],0
v4,1,0.140779,2.169421,[27  6] ; [28 14],[24.2  8.8] ; [30.8 11.2],0
a4,1,0.168514,1.896112,[ 7 26] ; [ 4 37],[ 4.90540541 28.09459459] ; [ 6.09459459 34.90540541],0
u3,1,0.210916,1.565125,[12  7] ; [12 15],[9.91304348 9.08695652] ; [14.08695652 12.91304348],0
p7,1,0.221963,1.491635,[ 9 24] ; [16 23],[11.45833333 21.54166667] ; [13.54166667 25.45833333],0
a8,1,0.229435,1.444359,[ 1 32] ; [ 4 35],[ 2.29166667 30.70833333] ; [ 2.70833333 36.29166667],0
s3,1,0.234346,1.414286,[10 22] ; [18 22],[12.44444444 19.55555556] ; [15.55555556 24.44444444],0
p3,1,0.246705,1.341865,[ 5 28] ; [11 31],[ 7.04 25.96] ; [ 8.96 33.04],0
p1,1,0.26311,1.252319,[ 1 32] ; [ 4 38],[ 2.2 30.8] ; [ 2.8 39.2],0
s6,1,0.283851,1.148559,[12 20] ; [21 21],[14.27027027 17.72972973] ; [18.72972973 23.27027027],0
s2,1,0.288045,1.128735,[ 9 24] ; [16 25],[11.14864865 21.85135135] ; [13.85135135 27.14864865],0
n1,1,0.301941,1.065601,[4 7] ; [8 6],[5.28 5.72] ; [6.72 7.28],0
d1,1,0.361855,0.831444,[11 22] ; [10 32],[ 9.24 23.76] ; [11.76 30.24],0
n2,1,0.382677,0.762085,[6 5] ; [10  4],[7.04 3.96] ; [8.96 5.04],0
a1,1,0.431399,0.619055,[ 1 32] ; [ 3 39],[ 1.76 31.24] ; [ 2.24 39.76],0
p10,1,0.434598,0.610504,[13 18] ; [21 20],[14.63888889 16.36111111] ; [19.36111111 21.63888889],0
r2,1,0.457869,0.5511,[28  5] ; [32  9],[26.75675676  6.24324324] ; [33.24324324  7.75675676],0
a6,1,0.481518,0.495423,[10 23] ; [16 26],[11.44 21.56] ; [14.56 27.44],0
p11,1,0.487952,0.48104,[17 16] ; [25 17],[18.48 14.52] ; [23.52 18.48],0
d2,1,0.520594,0.412716,[ 8 25] ; [13 29],[ 9.24 23.76] ; [11.76 30.24],0
s8,1,0.554821,0.348751,[ 6 27] ; [10 32],[ 7.04 25.96] ; [ 8.96 33.04],0
r1,1,0.568811,0.324675,[21 12] ; [24 18],[19.8 13.2] ; [25.2 16.8],0
p6,1,0.589957,0.290412,[ 5 28] ; [ 8 32],[ 5.87671233 27.12328767] ; [ 7.12328767 32.87671233],0
a3,1,0.609048,0.261564,[14 19] ; [15 26],[12.93243243 20.06756757] ; [16.06756757 24.93243243],0
s4,1,0.616028,0.25149,[ 7 26] ; [ 7 35],[ 6.16 26.84] ; [ 7.84 34.16],0
v1,1,0.621685,0.243506,[10 23] ; [15 27],[11. 22.] ; [14. 28.],0
s5,1,0.664442,0.188172,[ 4 26] ; [ 4 36],[ 3.42857143 26.57142857] ; [ 4.57142857 35.42857143],0
b4,1,0.704043,0.1443,[19 14] ; [26 16],[19.8 13.2] ; [25.2 16.8],0
s7,1,0.706186,0.142116,[ 6 25] ; [ 9 30],[ 6.64285714 24.35714286] ; [ 8.35714286 30.64285714],0
s1,1,0.721817,0.126758,[ 4 29] ; [ 6 34],[ 4.52054795 28.47945205] ; [ 5.47945205 34.52054795],0
n3,1,0.742174,0.108225,[7 4] ; [8 6],[6.6 4.4] ; [8.4 5.6],0
b2,1,0.743552,0.107029,[ 4 12] ; [ 8 19],[ 4.46511628 11.53488372] ; [ 7.53488372 19.46511628],0
b3,1,0.743552,0.107029,[ 4 12] ; [ 8 19],[ 4.46511628 11.53488372] ; [ 7.53488372 19.46511628],0
p9,1,0.7605,0.092918,[15 15] ; [19 22],[14.36619718 15.63380282] ; [19.63380282 21.36619718],0
p4,1,0.81584,0.054242,[ 8 25] ; [ 9 32],[ 7.58108108 25.41891892] ; [ 9.41891892 31.58108108],0
p8,1,0.816056,0.054113,[ 7 26] ; [ 8 34],[ 6.6 26.4] ; [ 8.4 33.6],0
b1,1,0.852043,0.034787,[15 18] ; [20 22],[15.4 17.6] ; [19.6 22.4],0
v2,1,0.954745,0.00322,[12 20] ; [14 24],[11.88571429 20.11428571] ; [14.11428571 23.88571429],0
