Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9.2e-05,15.300514,[27 47] ; [61 30],[39.46666667 34.53333333] ; [48.53333333 42.46666667],1
v3,1,0.000184,13.991324,[20 55] ; [51 41],[31.88622754 43.11377246] ; [39.11377246 52.88622754],1
a3,1,0.00024,13.490265,[40 36] ; [73 19],[51.11904762 24.88095238] ; [61.88095238 30.11904762],1
d4,1,0.001131,10.599156,[48 27] ; [78 13],[56.92771084 18.07228916] ; [69.07228916 21.92771084],0
b2,1,0.002221,9.356905,[11 37] ; [32 30],[18.76363636 29.23636364] ; [24.23636364 37.76363636],0
b3,1,0.002221,9.356905,[11 37] ; [32 30],[18.76363636 29.23636364] ; [24.23636364 37.76363636],0
n5,1,0.004284,8.159157,[51 25] ; [78 13],[58.70658683 17.29341317] ; [70.29341317 20.70658683],0
p10,1,0.005027,7.869569,[52 24] ; [77 12],[59.41818182 16.58181818] ; [69.58181818 19.41818182],0
n1,1,0.013979,6.040813,[ 5 17] ; [12  8],[ 8.9047619 13.0952381] ; [ 8.0952381 11.9047619],0
r1,1,0.019976,5.41399,[48 28] ; [73 19],[54.73809524 21.26190476] ; [66.26190476 25.73809524],0
a6,1,0.037417,4.33135,[35 41] ; [28 64],[28.5 47.5] ; [34.5 57.5],0
s5,1,0.043331,4.08246,[25 48] ; [45 45],[31.34969325 41.65030675] ; [38.65030675 51.34969325],0
p9,1,0.05282,3.749612,[55 21] ; [77 14],[60.07185629 15.92814371] ; [71.92814371 19.07185629],0
s2,1,0.067087,3.352887,[33 43] ; [53 39],[38.9047619 37.0952381] ; [47.0952381 44.9047619],0
s8,1,0.077335,3.120047,[33 43] ; [52 39],[38.68263473 37.31736527] ; [46.31736527 44.68263473],0
u2,1,0.103854,2.645344,[21 14] ; [ 7 12],[18.14814815 16.85185185] ; [9.85185185 9.14814815],0
u1,1,0.104749,2.631706,[ 7 69] ; [ 3 89],[ 4.52380952 71.47619048] ; [ 5.47619048 86.52380952],0
s4,1,0.110901,2.541329,[21 55] ; [16 76],[16.73809524 59.26190476] ; [20.26190476 71.73809524],0
p8,1,0.11985,2.419277,[42 33] ; [61 29],[46.81818182 28.18181818] ; [56.18181818 33.81818182],0
n2,1,0.138089,2.199129,[15  8] ; [17  3],[17.11627907  5.88372093] ; [14.88372093  5.11627907],0
