Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.016942,5.702352,[5 8] ; [18  5],[8.30555556 4.69444444] ; [14.69444444  8.30555556],0
s5,1,0.020058,5.406866,[ 1 12] ; [10 12],[4.08571429 8.91428571] ; [ 6.91428571 15.08571429],0
v3,1,0.088961,2.893072,[ 3 10] ; [12 11],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
p7,1,0.101848,2.67637,[5 9] ; [14  8],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
d3,1,0.108543,2.575306,[6 8] ; [16  7],[8.32432432 5.67567568] ; [13.67567568  9.32432432],0
a4,1,0.108815,2.571342,[ 2 12] ; [ 9 14],[4.16216216 9.83783784] ; [ 6.83783784 16.16216216],0
v2,1,0.120714,2.408027,[5 8] ; [15  8],[7.22222222 5.77777778] ; [12.77777778 10.22222222],0
d2,1,0.137618,2.204397,[9 5] ; [ 9 14],[6.81081081 7.18918919] ; [11.18918919 11.81081081],0
p10,1,0.159886,1.975303,[ 4 10] ; [12 11],[6.05405405 7.94594595] ; [ 9.94594595 13.05405405],0
b5,1,0.18303,1.772848,[6 8] ; [15  8],[7.94594595 6.05405405] ; [13.05405405  9.94594595],0
s6,1,0.207717,1.587265,[9 5] ; [19  4],[10.59459459  3.40540541] ; [17.40540541  5.59459459],0
v1,1,0.2473,1.33849,[ 4 10] ; [11 12],[5.67567568 8.32432432] ; [ 9.32432432 13.67567568],0
b1,1,0.290588,1.116894,[8 6] ; [17  6],[9.45945946 4.54054054] ; [15.54054054  7.45945946],0
n3,1,0.303052,1.060714,[4 1] ; [3 3],[3.18181818 1.81818182] ; [3.81818182 2.18181818],0
d4,1,0.353235,0.861801,[9 5] ; [18  5],[10.21621622  3.78378378] ; [16.78378378  6.21621622],0
n4,1,0.353235,0.861801,[9 5] ; [18  5],[10.21621622  3.78378378] ; [16.78378378  6.21621622],0
n5,1,0.353235,0.861801,[9 5] ; [18  5],[10.21621622  3.78378378] ; [16.78378378  6.21621622],0
r1,1,0.423026,0.641893,[10  4] ; [19  4],[10.97297297  3.02702703] ; [18.02702703  4.97297297],0
n6,1,0.423026,0.641893,[10  4] ; [19  4],[10.97297297  3.02702703] ; [18.02702703  4.97297297],0
s3,1,0.438815,0.59938,[8 5] ; [17  6],[9.02777778 3.97222222] ; [15.97222222  7.02777778],0
a6,1,0.442703,0.589266,[8 6] ; [16  7],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
p6,1,0.497465,0.46034,[ 3 11] ; [ 7 15],[ 3.88888889 10.11111111] ; [ 6.11111111 15.88888889],0
p3,1,0.514084,0.425745,[ 4 10] ; [ 9 14],[4.91891892 9.08108108] ; [ 8.08108108 14.91891892],0
n1,1,0.527089,0.4,[3 2] ; [2 3],[2.5 2.5] ; [2.5 2.5],0
p2,1,0.549667,0.357914,[11  3] ; [16  7],[10.21621622  3.78378378] ; [16.78378378  6.21621622],0
r4,1,0.575082,0.314253,[13  1] ; [20  3],[12.48648649  1.51351351] ; [20.51351351  2.48648649],0
p8,1,0.640854,0.217627,[5 9] ; [10 13],[5.67567568 8.32432432] ; [ 9.32432432 13.67567568],0
a3,1,0.695487,0.153209,[10  4] ; [15  8],[9.45945946 4.54054054] ; [15.54054054  7.45945946],0
p4,1,0.699454,0.149041,[7 7] ; [13 10],[7.56756757 6.43243243] ; [12.43243243 10.56756757],0
r3,1,0.715379,0.132964,[13  1] ; [22  1],[13.24324324  0.75675676] ; [21.75675676  1.24324324],0
s4,1,0.759766,0.093506,[ 2 12] ; [ 4 18],[ 2.33333333 11.66666667] ; [ 3.66666667 18.33333333],0
d5,1,0.761057,0.092473,[11  3] ; [19  4],[11.35135135  2.64864865] ; [18.64864865  4.35135135],0
d1,1,0.768651,0.086518,[8 6] ; [12 11],[7.56756757 6.43243243] ; [12.43243243 10.56756757],0
a5,1,0.822818,0.050141,[8 6] ; [14  9],[8.32432432 5.67567568] ; [13.67567568  9.32432432],0
a7,1,0.835388,0.043179,[9 5] ; [14  9],[8.7027027 5.2972973] ; [14.2972973  8.7027027],0
b4,1,0.868915,0.027237,[10  4] ; [17  6],[10.21621622  3.78378378] ; [16.78378378  6.21621622],0
p11,1,0.954089,0.003315,[9 5] ; [15  8],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
n2,1,1.0,0.0,[5 1] ; [5 1],[5. 1.] ; [5. 1.],0
b2,1,1.0,0.0,[2 6] ; [ 5 15],[2. 6.] ; [ 5. 15.],0
u2,1,1.0,0.0,[3 1] ; [6 2],[3. 1.] ; [6. 2.],0
b3,1,1.0,0.0,[2 6] ; [ 5 15],[2. 6.] ; [ 5. 15.],0
