Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.012724,6.207131,[8 3] ; [27 53],[4.23076923 6.76923077] ; [30.76923077 49.23076923],0
d1,1,0.04901,3.875,[7 5] ; [24 57],[4. 8.] ; [27. 54.],0
p5,1,0.05102,3.807622,[2 9] ; [ 3 76],[ 0.61111111 10.38888889] ; [ 4.38888889 74.61111111],0
p1,1,0.062496,3.469864,[3 8] ; [ 7 74],[1.19565217 9.80434783] ; [ 8.80434783 72.19565217],0
d4,1,0.112181,2.523222,[9 2] ; [46 35],[6.57608696 4.42391304] ; [48.42391304 32.57608696],0
a4,1,0.114202,2.495089,[6 6] ; [22 58],[3.65217391 8.34782609] ; [24.34782609 55.65217391],0
p2,1,0.116265,2.466931,[8 3] ; [37 41],[5.56179775 5.43820225] ; [39.43820225 38.56179775],0
r1,1,0.122066,2.390606,[5 7] ; [17 63],[2.86956522 9.13043478] ; [19.13043478 60.86956522],0
p8,1,0.147243,2.100583,[ 1 11] ; [22 57],[3.03296703 8.96703297] ; [19.96703297 59.03296703],0
d3,1,0.161179,1.963131,[8 4] ; [36 44],[5.73913043 6.26086957] ; [38.26086957 41.73913043],0
b4,1,0.176914,1.823362,[9 3] ; [44 37],[6.83870968 5.16129032] ; [46.16129032 34.83870968],0
d5,1,0.176914,1.823362,[9 3] ; [44 37],[6.83870968 5.16129032] ; [46.16129032 34.83870968],0
n5,1,0.24495,1.351881,[5 7] ; [47 32],[6.85714286 5.14285714] ; [45.14285714 33.85714286],0
r2,1,0.254791,1.296842,[8 3] ; [42 35],[6.25 4.75] ; [43.75 33.25],0
p11,1,0.286807,1.13455,[7 5] ; [34 47],[5.29032258 6.70967742] ; [35.70967742 45.29032258],0
s6,1,0.301522,1.067449,[5 7] ; [22 59],[3.48387097 8.51612903] ; [23.51612903 57.48387097],0
p3,1,0.319984,0.989011,[4 8] ; [16 62],[2.66666667 9.33333333] ; [17.33333333 60.66666667],0
s3,1,0.326193,0.963951,[4 7] ; [18 61],[2.68888889 8.31111111] ; [19.31111111 59.68888889],0
n6,1,0.339001,0.914205,[8 4] ; [41 38],[6.46153846 5.53846154] ; [42.53846154 36.46153846],0
b5,1,0.367811,0.811047,[5 7] ; [45 36],[6.4516129 5.5483871] ; [43.5483871 37.4516129],0
v3,1,0.384091,0.757566,[ 1 10] ; [16 64],[2.05494505 8.94505495] ; [14.94505495 65.05494505],0
n4,1,0.388001,0.745199,[5 7] ; [44 36],[6.39130435 5.60869565] ; [42.60869565 37.39130435],0
a3,1,0.396123,0.720063,[4 7] ; [40 40],[5.31868132 5.68131868] ; [38.68131868 41.31868132],0
u3,1,0.467671,0.527473,[3 5] ; [10 30],[2.16666667 5.83333333] ; [10.83333333 29.16666667],0
p10,1,0.490381,0.475691,[4 7] ; [37 41],[5.06741573 5.93258427] ; [35.93258427 42.06741573],0
n1,1,0.550457,0.356499,[1 1] ; [12 28],[0.61904762 1.38095238] ; [12.38095238 27.61904762],0
b1,1,0.56275,0.334965,[5 7] ; [41 40],[5.93548387 6.06451613] ; [40.06451613 40.93548387],0
s2,1,0.595853,0.281296,[3 9] ; [15 66],[2.32258065 9.67741935] ; [15.67741935 65.32258065],0
p7,1,0.610052,0.260099,[3 8] ; [27 50],[3.75 7.25] ; [26.25 50.75],0
a1,1,0.612861,0.25603,[ 1 11] ; [11 70],[ 1.5483871 10.4516129] ; [10.4516129 70.5483871],0
p9,1,0.618941,0.247359,[7 5] ; [40 39],[6.1978022 5.8021978] ; [40.8021978 38.1978022],0
s8,1,0.626523,0.236806,[ 1 11] ; [ 4 77],[ 0.64516129 11.35483871] ; [ 4.35483871 76.64516129],0
s4,1,0.687927,0.161339,[ 1 11] ; [10 71],[ 1.41935484 10.58064516] ; [ 9.58064516 71.41935484],0
p4,1,0.695131,0.153586,[4 8] ; [22 57],[3.42857143 8.57142857] ; [22.57142857 56.42857143],0
v1,1,0.712599,0.135695,[4 7] ; [25 56],[3.4673913 7.5326087] ; [25.5326087 55.4673913],0
a6,1,0.718171,0.130252,[6 6] ; [36 45],[5.41935484 6.58064516] ; [36.58064516 44.41935484],0
a5,1,0.718171,0.130252,[6 6] ; [36 45],[5.41935484 6.58064516] ; [36.58064516 44.41935484],0
u1,1,0.776173,0.080832,[ 1 11] ; [ 5 76],[ 0.77419355 11.22580645] ; [ 5.22580645 75.77419355],0
r3,1,0.807841,0.059152,[6 5] ; [40 39],[5.62222222 5.37777778] ; [40.37777778 38.62222222],0
a7,1,0.837517,0.042054,[6 5] ; [41 39],[5.68131868 5.31868132] ; [41.31868132 38.68131868],0
v4,1,0.880048,0.022773,[6 4] ; [46 34],[5.77777778 4.22222222] ; [46.22222222 33.77777778],0
u2,1,0.894988,0.017423,[3 5] ; [16 24],[3.16666667 4.83333333] ; [15.83333333 24.16666667],0
v2,1,0.976036,0.000902,[4 8] ; [25 51],[3.95454545 8.04545455] ; [25.04545455 50.95454545],0
n2,1,1.0,0.0,[1 1] ; [20 20],[1. 1.] ; [20. 20.],0
