Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.1e-05,16.812921,[25  5] ; [ 8 19],[17.36842105 12.63157895] ; [15.63157895 11.36842105],1
s2,1,0.000769,11.315136,[20 10] ; [ 6 21],[13.68421053 16.31578947] ; [12.31578947 14.68421053],1
s7,1,0.004639,8.014985,[16 13] ; [ 5 22],[10.875 18.125] ; [10.125 16.875],0
s4,1,0.007622,7.120262,[ 9 20] ; [ 1 26],[ 5.17857143 23.82142857] ; [ 4.82142857 22.17857143],0
p4,1,0.049986,3.841937,[23  7] ; [14 13],[19.47368421 10.52631579] ; [17.52631579  9.47368421],0
r3,1,0.069537,3.293926,[29  1] ; [23  5],[26.89655172  3.10344828] ; [25.10344828  2.89655172],0
n1,1,0.105645,2.618182,[4 1] ; [4 7],[2.5 2.5] ; [5.5 5.5],0
s8,1,0.127881,2.318039,[11 19] ; [ 5 22],[ 8.42105263 21.57894737] ; [ 7.57894737 19.42105263],0
b2,1,0.166485,1.914312,[ 4 13] ; [ 1 15],[ 2.57575758 14.42424242] ; [ 2.42424242 13.57575758],0
b3,1,0.166485,1.914312,[ 4 13] ; [ 1 15],[ 2.57575758 14.42424242] ; [ 2.42424242 13.57575758],0
r4,1,0.168715,1.894326,[25  5] ; [19  9],[22.75862069  7.24137931] ; [21.24137931  6.75862069],0
r1,1,0.180889,1.790306,[24  6] ; [18 10],[21.72413793  8.27586207] ; [20.27586207  7.72413793],0
b1,1,0.197806,1.658497,[20 10] ; [14 14],[17.5862069 12.4137931] ; [16.4137931 11.5862069],0
s5,1,0.203428,1.617591,[ 7 22] ; [ 3 24],[ 5.17857143 23.82142857] ; [ 4.82142857 22.17857143],0
d4,1,0.277295,1.180301,[25  5] ; [20  8],[23.27586207  6.72413793] ; [21.72413793  6.27586207],0
p6,1,0.283989,1.147902,[13 16] ; [ 8 18],[11.07272727 17.92727273] ; [ 9.92727273 16.07272727],0
d2,1,0.293223,1.104762,[13 17] ; [16 12],[15. 15.] ; [14. 14.],0
v2,1,0.293223,1.104762,[13 17] ; [16 12],[15. 15.] ; [14. 14.],0
a7,1,0.306202,1.046989,[22  8] ; [17 11],[20.17241379  9.82758621] ; [18.82758621  9.17241379],0
p5,1,0.334307,0.932143,[ 3 27] ; [ 1 27],[ 2.06896552 27.93103448] ; [ 1.93103448 26.06896552],0
p3,1,0.345901,0.888437,[15 14] ; [11 17],[13.22807018 15.77192982] ; [12.77192982 15.22807018],0
