Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.002055,9.5,[7 2] ; [12 36],[3. 6.] ; [16. 32.],0
s6,1,0.003015,8.798391,[6 2] ; [11 37],[2.42857143 5.57142857] ; [14.57142857 33.42857143],0
p2,1,0.006557,7.390355,[8 1] ; [19 29],[4.26315789 4.73684211] ; [22.73684211 25.26315789],0
p8,1,0.007371,7.18035,[5 4] ; [ 7 39],[1.96363636 7.03636364] ; [10.03636364 35.96363636],0
p4,1,0.008471,6.931158,[6 3] ; [11 37],[2.68421053 6.31578947] ; [14.31578947 33.68421053],0
s8,1,0.015119,5.902574,[3 6] ; [ 3 45],[0.94736842 8.05263158] ; [ 5.05263158 42.94736842],0
p3,1,0.029948,4.712302,[5 4] ; [10 38],[2.36842105 6.63157895] ; [12.63157895 35.36842105],0
b5,1,0.046478,3.964198,[7 2] ; [20 28],[4.26315789 4.73684211] ; [22.73684211 25.26315789],0
s3,1,0.048511,3.892199,[6 3] ; [15 32],[3.375 5.625] ; [17.625 29.375],0
s2,1,0.060687,3.518519,[4 5] ; [ 8 40],[1.89473684 7.10526316] ; [10.10526316 37.89473684],0
u2,1,0.087169,2.9259,[3 3] ; [ 3 16],[1.44 4.56] ; [ 4.56 14.44],0
v2,1,0.100665,2.69498,[5 4] ; [13 34],[2.89285714 6.10714286] ; [15.10714286 31.89285714],0
b4,1,0.103884,2.644886,[3 6] ; [30 18],[5.21052632 3.78947368] ; [27.78947368 20.21052632],0
a3,1,0.115136,2.48227,[3 6] ; [29 18],[5.14285714 3.85714286] ; [26.85714286 20.14285714],0
a6,1,0.132948,2.257734,[6 3] ; [19 29],[3.94736842 5.05263158] ; [21.05263158 26.94736842],0
v1,1,0.14143,2.162333,[4 5] ; [10 37],[2.25 6.75] ; [11.75 35.25],0
p10,1,0.146846,2.104708,[6 3] ; [19 28],[4.01785714 4.98214286] ; [20.98214286 26.01785714],0
r1,1,0.167027,1.909429,[6 3] ; [20 28],[4.10526316 4.89473684] ; [21.89473684 26.10526316],0
r4,1,0.178339,1.811409,[4 5] ; [11 37],[2.36842105 6.63157895] ; [12.63157895 35.36842105],0
u3,1,0.184023,1.764829,[2 4] ; [ 2 17],[0.96 5.04] ; [ 3.04 15.96],0
p9,1,0.24879,1.330084,[6 3] ; [21 25],[4.41818182 4.58181818] ; [22.58181818 23.41818182],0
a7,1,0.251276,1.316195,[6 3] ; [22 26],[4.42105263 4.57894737] ; [23.57894737 24.42105263],0
s5,1,0.259143,1.273329,[3 6] ; [ 8 39],[1.76785714 7.23214286] ; [ 9.23214286 37.76785714],0
b1,1,0.301824,1.066118,[6 3] ; [23 25],[4.57894737 4.42105263] ; [24.42105263 23.57894737],0
d5,1,0.310974,1.026535,[4 5] ; [30 18],[5.36842105 3.63157895] ; [28.63157895 19.36842105],0
a2,1,0.391905,0.733025,[1 8] ; [ 2 46],[0.47368421 8.52631579] ; [ 2.52631579 45.47368421],0
r2,1,0.392906,0.729931,[6 3] ; [23 22],[4.83333333 4.16666667] ; [24.16666667 20.83333333],0
n2,1,0.411314,0.675,[2 1] ; [10 14],[1.33333333 1.66666667] ; [10.66666667 13.33333333],0
d3,1,0.420207,0.649736,[3 6] ; [23 25],[4.10526316 4.89473684] ; [21.89473684 26.10526316],0
d4,1,0.440973,0.59375,[5 4] ; [33 15],[6. 3.] ; [32. 16.],0
n3,1,0.448599,0.574189,[2 1] ; [10 13],[1.38461538 1.61538462] ; [10.61538462 12.38461538],0
a4,1,0.486673,0.483873,[2 7] ; [16 31],[2.89285714 6.10714286] ; [15.10714286 31.89285714],0
a5,1,0.487998,0.480937,[6 3] ; [26 22],[5.05263158 3.94736842] ; [26.94736842 21.05263158],0
s7,1,0.54927,0.358627,[1 7] ; [10 36],[1.62962963 6.37037037] ; [ 9.37037037 36.62962963],0
u1,1,0.600349,0.274469,[1 8] ; [ 3 45],[0.63157895 8.36842105] ; [ 3.36842105 44.63157895],0
p5,1,0.61386,0.254592,[1 8] ; [ 3 44],[0.64285714 8.35714286] ; [ 3.35714286 43.64285714],0
d2,1,0.630438,0.231467,[5 4] ; [22 25],[4.33928571 4.66071429] ; [22.66071429 24.33928571],0
p11,1,0.674003,0.176955,[5 4] ; [23 25],[4.42105263 4.57894737] ; [23.57894737 24.42105263],0
s4,1,0.674898,0.175926,[1 8] ; [ 8 40],[1.42105263 7.57894737] ; [ 7.57894737 40.42105263],0
n5,1,0.72376,0.124919,[6 3] ; [29 19],[5.52631579 3.47368421] ; [29.47368421 18.52631579],0
d1,1,0.72376,0.124919,[3 6] ; [19 29],[3.47368421 5.52631579] ; [18.52631579 29.47368421],0
a8,1,0.749311,0.102111,[1 8] ; [ 7 39],[1.30909091 7.69090909] ; [ 6.69090909 39.30909091],0
n6,1,0.760447,0.09296,[5 4] ; [23 23],[4.58181818 4.41818182] ; [23.41818182 22.58181818],0
b2,1,0.857942,0.032039,[2 4] ; [13 22],[2.19512195 3.80487805] ; [12.80487805 22.19512195],0
b3,1,0.857942,0.032039,[2 4] ; [13 22],[2.19512195 3.80487805] ; [12.80487805 22.19512195],0
n4,1,0.904343,0.014443,[6 3] ; [31 17],[5.84210526 3.15789474] ; [31.15789474 16.84210526],0
s1,1,0.950328,0.003881,[1 8] ; [ 5 43],[0.94736842 8.05263158] ; [ 5.05263158 42.94736842],0
