Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.405875,[28 20] ; [ 3 35],[17.30232558 30.69767442] ; [13.69767442 24.30232558],1
v1,1,0.000161,14.240893,[29 17] ; [ 8 29],[20.5060241 25.4939759] ; [16.4939759 20.5060241],1
p11,1,0.015234,5.889147,[40  9] ; [22 16],[34.91954023 14.08045977] ; [27.08045977 10.91954023],0
p9,1,0.026783,4.904767,[41  7] ; [24 13],[36.70588235 11.29411765] ; [28.29411765  8.70588235],0
r3,1,0.043999,4.056581,[45  4] ; [29  9],[41.67816092  7.32183908] ; [32.32183908  5.67816092],0
p6,1,0.05622,3.645514,[21 23] ; [10 27],[16.83950617 27.16049383] ; [14.16049383 22.83950617],0
s6,1,0.065697,3.387396,[31 17] ; [17 21],[26.79069767 21.20930233] ; [21.20930233 16.79069767],0
n4,1,0.085325,2.960431,[38 11] ; [23 15],[34.35632184 14.64367816] ; [26.64367816 11.35632184],0
s4,1,0.094043,2.803776,[ 7 42] ; [11 27],[10.13793103 38.86206897] ; [ 7.86206897 30.13793103],0
r2,1,0.119228,2.427438,[37 10] ; [32  3],[39.54878049  7.45121951] ; [29.45121951  5.54878049],0
p7,1,0.122192,2.388991,[27 21] ; [15 23],[23.44186047 24.55813953] ; [18.55813953 19.44186047],0
p2,1,0.127057,2.328104,[36 12] ; [22 15],[32.75294118 15.24705882] ; [25.24705882 11.75294118],0
n6,1,0.137983,2.200315,[41  8] ; [26 11],[38.1744186 10.8255814] ; [28.8255814  8.1744186],0
n3,1,0.154044,2.031746,[11  5] ; [7 9],[9. 7.] ; [9. 7.],0
s1,1,0.20377,1.615145,[ 1 47] ; [ 3 35],[ 2.23255814 45.76744186] ; [ 1.76744186 36.23255814],0
s3,1,0.244312,1.355537,[25 23] ; [15 23],[22.3255814 25.6744186] ; [17.6744186 20.3255814],0
a3,1,0.25394,1.301499,[41  8] ; [28 10],[38.86206897 10.13793103] ; [30.13793103  7.86206897],0
a8,1,0.254043,1.300931,[ 4 42] ; [ 1 36],[ 2.77108434 43.22891566] ; [ 2.22891566 34.77108434],0
s2,1,0.283793,1.148838,[25 24] ; [15 23],[22.52873563 26.47126437] ; [17.47126437 20.52873563],0
b1,1,0.317869,0.997694,[18 31] ; [18 20],[20.27586207 28.72413793] ; [15.72413793 22.27586207],0
n5,1,0.388416,0.743895,[34 15] ; [23 15],[32.10344828 16.89655172] ; [24.89655172 13.10344828],0
u1,1,0.448017,0.575663,[ 4 45] ; [ 5 33],[ 5.06896552 43.93103448] ; [ 3.93103448 34.06896552],0
a1,1,0.453849,0.561021,[ 3 46] ; [ 4 34],[ 3.94252874 45.05747126] ; [ 3.05747126 34.94252874],0
p8,1,0.45498,0.558217,[19 26] ; [13 25],[17.34939759 27.65060241] ; [14.65060241 23.34939759],0
n1,1,0.474381,0.511753,[ 3 12] ; [ 5 11],[ 3.87096774 11.12903226] ; [ 4.12903226 11.87096774],0
b5,1,0.479793,0.499333,[32 17] ; [22 16],[30.4137931 18.5862069] ; [23.5862069 14.4137931],0
s7,1,0.49315,0.469647,[21 26] ; [13 22],[19.48780488 27.51219512] ; [14.51219512 20.48780488],0
v4,1,0.543707,0.368713,[40  9] ; [29  9],[38.86206897 10.13793103] ; [30.13793103  7.86206897],0
p3,1,0.561644,0.336867,[24 23] ; [17 21],[22.67058824 24.32941176] ; [18.32941176 19.67058824],0
r4,1,0.575507,0.313554,[30 19] ; [21 17],[28.72413793 20.27586207] ; [22.27586207 15.72413793],0
u2,1,0.595883,0.28125,[3 5] ; [5 5],[3.55555556 4.44444444] ; [4.44444444 5.55555556],0
p5,1,0.635487,0.224693,[ 5 44] ; [ 5 32],[ 5.69767442 43.30232558] ; [ 4.30232558 32.69767442],0
b4,1,0.646545,0.210284,[32 17] ; [23 15],[30.97701149 18.02298851] ; [24.02298851 13.97701149],0
p10,1,0.648427,0.207889,[35 13] ; [26 12],[34.04651163 13.95348837] ; [26.95348837 11.04651163],0
u3,1,0.671373,0.18,[4 4] ; [6 4],[4.44444444 3.55555556] ; [5.55555556 4.44444444],0
s5,1,0.694817,0.15392,[14 30] ; [10 26],[13.2 30.8] ; [10.8 25.2],0
a5,1,0.705492,0.142822,[37 12] ; [30  8],[37.73563218 11.26436782] ; [29.26436782  8.73563218],0
n2,1,0.709749,0.138528,[11  5] ; [10  6],[10.5  5.5] ; [10.5  5.5],0
d2,1,0.716965,0.131419,[34 15] ; [27 10],[34.75581395 14.24418605] ; [26.24418605 10.75581395],0
a2,1,0.752217,0.099678,[ 9 40] ; [ 6 32],[ 8.44827586 40.55172414] ; [ 6.55172414 31.44827586],0
a6,1,0.753413,0.098685,[30 19] ; [22 16],[29.28735632 19.71264368] ; [22.71264368 15.28735632],0
a7,1,0.835606,0.043064,[32 17] ; [24 14],[31.54022989 17.45977011] ; [24.45977011 13.54022989],0
