Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,54.365591,[128  64] ; [30 94],[96. 96.] ; [62. 62.],1
p4,1,0.0,29.967357,[126  68] ; [42 83],[102.169279  91.830721] ; [65.830721 59.169279],1
p6,1,0.0,29.92475,[ 78 114] ; [ 15 110],[ 56.32807571 135.67192429] ; [36.67192429 88.32807571],1
p3,1,0.0,25.601787,[106  88] ; [32 92],[ 84.18867925 109.81132075] ; [53.81132075 70.18867925],1
p2,1,1e-06,23.221034,[175  18] ; [87 38],[159.01257862  33.98742138] ; [102.98742138  22.01257862],1
s7,1,2.6e-05,17.65735,[98 87] ; [35 87],[ 80.1465798 104.8534202] ; [52.8534202 69.1465798],1
p5,1,0.001233,10.440484,[ 25 169] ; [  3 122],[ 17.02821317 176.97178683] ; [ 10.97178683 114.02821317],0
s2,1,0.001919,9.625461,[97 96] ; [40 83],[ 83.67405063 109.32594937] ; [53.32594937 69.67405063],0
s6,1,0.002642,9.039384,[126  62] ; [62 62],[113.28205128  74.71794872] ; [74.71794872 49.28205128],0
r1,1,0.012974,6.172682,[154  40] ; [83 41],[144.58490566  49.41509434] ; [92.41509434 31.58490566],0
s3,1,0.013187,6.143822,[111  81] ; [54 70],[100.25316456  91.74683544] ; [64.74683544 59.25316456],0
b4,1,0.016002,5.802621,[104  90] ; [84 41],[114.3322884  79.6677116] ; [73.6677116 51.3322884],0
v4,1,0.016161,5.785267,[183   9] ; [110  15],[177.4637224  14.5362776] ; [115.5362776   9.4637224],0
s8,1,0.020115,5.401925,[ 80 112] ; [36 89],[ 70.25867508 121.74132492] ; [45.74132492 79.25867508],0
n1,1,0.02905,4.764625,[ 9 35] ; [17 23],[13.61904762 30.38095238] ; [12.38095238 27.61904762],0
s5,1,0.050572,3.822398,[ 60 128] ; [26 94],[ 52.49350649 135.50649351] ; [33.50649351 86.49350649],0
a8,1,0.053627,3.724275,[ 28 155] ; [  9 107],[ 22.64548495 160.35451505] ; [ 14.35451505 101.64548495],0
b1,1,0.05411,3.709308,[ 78 116] ; [37 88],[ 69.93730408 124.06269592] ; [45.06269592 79.93730408],0
r4,1,0.060108,3.534389,[174  20] ; [103  22],[168.45768025  25.54231975] ; [108.54231975  16.45768025],0
v2,1,0.12439,2.361151,[ 87 102] ; [43 73],[ 80.55737705 108.44262295] ; [49.44262295 66.55737705],0
a5,1,0.126349,2.336801,[137  57] ; [78 47],[130.7523511  63.2476489] ; [84.2476489 40.7523511],0
p9,1,0.127337,2.32467,[162  30] ; [97 28],[156.87066246  35.12933754] ; [102.12933754  22.87066246],0
b5,1,0.142116,2.154893,[97 97] ; [73 52],[103.38557994  90.61442006] ; [66.61442006 58.38557994],0
p10,1,0.172624,1.860011,[161  33] ; [96 29],[156.29467085  37.70532915] ; [100.70532915  24.29467085],0
a2,1,0.223677,1.480622,[ 40 154] ; [ 19 106],[ 35.88087774 158.11912226] ; [ 23.11912226 101.88087774],0
a1,1,0.224465,1.475595,[ 10 184] ; [  3 122],[  7.90595611 186.09404389] ; [  5.09404389 119.90595611],0
v3,1,0.230196,1.43965,[ 55 137] ; [27 93],[ 50.46153846 141.53846154] ; [31.53846154 88.46153846],0
d5,1,0.236534,1.401136,[151  43] ; [90 35],[146.56426332  47.43573668] ; [94.43573668 30.56426332],0
n6,1,0.241304,1.372958,[158  34] ; [109  16],[161.71608833  30.28391167] ; [105.28391167  19.71608833],0
d2,1,0.300441,1.072234,[ 80 114] ; [58 65],[ 84.45425868 109.54574132] ; [53.54574132 69.45425868],0
a4,1,0.321052,0.984656,[ 73 121] ; [54 71],[ 77.23510972 116.76489028] ; [49.76489028 75.23510972],0
u3,1,0.442322,0.59025,[31 35] ; [25 21],[33. 33.] ; [23. 23.],0
a7,1,0.487831,0.481307,[137  57] ; [83 41],[134.21383648  59.78616352] ; [85.78616352 38.21383648],0
d3,1,0.515944,0.421993,[131  63] ; [80 45],[128.31974922  65.68025078] ; [82.68025078 42.31974922],0
r2,1,0.532792,0.389064,[176  16] ; [112  13],[174.43533123  17.56466877] ; [113.56466877  11.43533123],0
r3,1,0.546159,0.364243,[184   8] ; [117   7],[182.88607595   9.11392405] ; [118.11392405   5.88607595],0
u2,1,0.557263,0.344465,[37 27] ; [24 22],[35.49090909 28.50909091] ; [25.50909091 20.49090909],0
n5,1,0.561005,0.337966,[131  62] ; [88 36],[133.33438486  59.66561514] ; [85.66561514 38.33438486],0
n4,1,0.587226,0.294697,[145  49] ; [90 35],[142.9153605  51.0846395] ; [92.0846395 32.9153605],0
p1,1,0.602156,0.271756,[ 14 179] ; [ 11 113],[ 15.22082019 177.77917981] ; [  9.77917981 114.22082019],0
a3,1,0.611665,0.257757,[128  66] ; [79 46],[125.88714734  68.11285266] ; [81.11285266 43.88714734],0
b2,1,0.631796,0.229634,[34 84] ; [20 42],[35.4 82.6] ; [18.6 43.4],0
b3,1,0.631796,0.229634,[34 84] ; [20 42],[35.4 82.6] ; [18.6 43.4],0
d4,1,0.641674,0.21656,[149  45] ; [98 26],[150.68553459  43.31446541] ; [96.31446541 27.68553459],0
s1,1,0.657494,0.196582,[  6 186] ; [  5 118],[  6.7047619 185.2952381] ; [  4.2952381 118.7047619],0
u1,1,0.699214,0.149291,[ 25 169] ; [ 18 107],[ 26.15047022 167.84952978] ; [ 16.84952978 108.15047022],0
a6,1,0.73859,0.11137,[130  64] ; [86 39],[131.36050157  62.63949843] ; [84.63949843 40.36050157],0
s4,1,0.752724,0.099257,[ 35 156] ; [ 21 103],[ 33.95555556 157.04444444] ; [ 22.04444444 101.95555556],0
n2,1,0.887092,0.02016,[32 13] ; [29 11],[32.29411765 12.70588235] ; [28.70588235 11.29411765],0
n3,1,0.952733,0.003514,[34 11] ; [30 10],[33.88235294 11.11764706] ; [30.11764706  9.88235294],0
d1,1,0.968982,0.001512,[102  92] ; [66 59],[102.169279  91.830721] ; [65.830721 59.169279],0
p12,1,0.985543,0.000328,[ 14 179] ; [  9 116],[ 13.9591195 179.0408805] ; [  9.0408805 115.9591195],0
