Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,99.387871,[ 98 135] ; [483 138],[158.51639344  74.48360656] ; [422.48360656 198.51639344],1
d3,1,0.0,93.946985,[102 131] ; [486 135],[160.42622951  72.57377049] ; [427.57377049 193.42622951],1
a2,1,0.0,39.560663,[ 21 212] ; [185 439],[ 56.00700117 176.99299883] ; [149.99299883 474.00700117],1
u1,1,0.0,29.30832,[ 15 218] ; [140 484],[ 42.1411902 190.8588098] ; [112.8588098 511.1411902],1
b5,1,0.0,26.360809,[109 124] ; [412 212],[141.6487748  91.3512252] ; [379.3512252 244.6487748],1
d1,1,2.5e-05,17.774082,[110 123] ; [394 230],[137.02683781  95.97316219] ; [366.97316219 257.02683781],1
d4,1,0.00021,13.743678,[171  61] ; [527  95],[189.6206089  42.3793911] ; [508.3793911 113.6206089],1
r4,1,0.000348,12.790116,[207  26] ; [596  28],[218.31855309  14.68144691] ; [584.68144691  39.31855309],1
r1,1,0.000588,11.812105,[175  58] ; [528  92],[192.02696366  40.97303634] ; [510.97303634 109.02696366],1
p2,1,0.005352,7.75651,[174  54] ; [525  96],[187.71731449  40.28268551] ; [511.28268551 109.71731449],0
d5,1,0.005743,7.629177,[173  59] ; [516 106],[187.17564403  44.82435597] ; [501.82435597 120.17564403],0
b1,1,0.006974,7.279741,[104 129] ; [216 408],[ 87.00116686 145.99883314] ; [232.99883314 391.00116686],0
v2,1,0.009389,6.747356,[108 115] ; [349 247],[124.43345543  98.56654457] ; [332.56654457 263.43345543],0
p10,1,0.010281,6.585461,[170  57] ; [509 106],[183.05581948  43.94418052] ; [495.94418052 119.05581948],0
r3,1,0.012737,6.205263,[215  17] ; [601  21],[221.67681499  10.32318501] ; [594.32318501  27.67681499],0
p4,1,0.015411,5.868902,[118 110] ; [377 241],[133.40425532  94.59574468] ; [361.59574468 256.40425532],0
u3,1,0.020097,5.403457,[33 35] ; [114  62],[40.96721311 27.03278689] ; [106.03278689  69.96721311],0
s5,1,0.032317,4.581587,[ 88 132] ; [192 408],[ 75.12195122 144.87804878] ; [204.87804878 395.12195122],0
b3,1,0.046163,3.975625,[66 82] ; [128 236],[56.078125 91.921875] ; [137.921875 226.078125],0
b2,1,0.046163,3.975625,[66 82] ; [128 236],[56.078125 91.921875] ; [137.921875 226.078125],0
a5,1,0.106263,2.608936,[162  71] ; [468 156],[171.28354726  61.71645274] ; [458.71645274 165.28354726],0
p8,1,0.108059,2.582375,[107 119] ; [328 284],[117.3150358 108.6849642] ; [317.6849642 294.3150358],0
p9,1,0.108087,2.581977,[184  44] ; [521  90],[191.5852205  36.4147795] ; [513.4147795  97.5852205],0
s8,1,0.132237,2.266047,[112 119] ; [264 354],[102.30388693 128.69611307] ; [273.69611307 344.30388693],0
a1,1,0.133277,2.253913,[ 15 218] ; [ 25 599],[ 10.87514586 222.12485414] ; [ 29.12485414 594.87514586],0
b4,1,0.261234,1.262204,[129 104] ; [372 252],[136.21120187  96.78879813] ; [364.78879813 259.21120187],0
n6,1,0.310687,1.027752,[189  41] ; [528  93],[193.78378378  36.21621622] ; [523.21621622  97.78378378],0
p12,1,0.313362,1.01645,[ 14 213] ; [ 51 567],[ 17.46153846 209.53846154] ; [ 47.53846154 570.46153846],0
u2,1,0.32877,0.953738,[34 33] ; [101  74],[37.37603306 29.62396694] ; [97.62396694 77.37603306],0
p3,1,0.383191,0.760439,[108 122] ; [312 308],[113.64705882 116.35294118] ; [306.35294118 313.64705882],0
s7,1,0.427647,0.629205,[115 109] ; [286 307],[109.94369645 114.05630355] ; [291.05630355 301.94369645],0
p1,1,0.434705,0.610221,[ 17 214] ; [ 56 563],[ 19.83882353 211.16117647] ; [ 53.16117647 565.83882353],0
s6,1,0.437017,0.604104,[146  78] ; [417 196],[150.67144564  73.32855436] ; [412.32855436 200.67144564],0
a8,1,0.44474,0.584022,[ 26 198] ; [ 76 481],[ 29.25480154 194.74519846] ; [ 72.74519846 484.25480154],0
