Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.008601,6.903948,[26 58] ; [14  9],[31.40186916 52.59813084] ; [ 8.59813084 14.40186916],0
n2,1,0.030599,4.675325,[27  6] ; [3 4],[24.75  8.25] ; [5.25 1.75],0
r1,1,0.032812,4.55557,[72 15] ; [15  9],[68.18918919 18.81081081] ; [18.81081081  5.18918919],0
s6,1,0.111242,2.536491,[74 10] ; [18  6],[71.55555556 12.44444444] ; [20.44444444  3.55555556],0
s7,1,0.117608,2.448891,[57 21] ; [11  9],[54.12244898 23.87755102] ; [13.87755102  6.12244898],0
p9,1,0.144138,2.133219,[67 17] ; [15  8],[64.37383178 19.62616822] ; [17.62616822  5.37383178],0
a1,1,0.153576,2.036364,[ 4 84] ; [ 3 21],[ 5.5 82.5] ; [ 1.5 22.5],0
a4,1,0.155529,2.017163,[37 51] ; [14 10],[40.07142857 47.92857143] ; [10.92857143 13.07142857],0
p1,1,0.159202,1.981791,[13 74] ; [ 1 23],[10.97297297 76.02702703] ; [ 3.02702703 20.97297297],0
n1,1,0.162486,1.950938,[14 19] ; [1 6],[12.375 20.625] ; [2.625 4.375],0
a7,1,0.178651,1.80881,[66 22] ; [14  9],[63.42342342 24.57657658] ; [16.57657658  6.42342342],0
n3,1,0.229654,1.443001,[26  7] ; [4 3],[24.75  8.25] ; [5.25 1.75],0
p6,1,0.284398,1.145954,[31 56] ; [11 12],[33.21818182 53.78181818] ; [ 8.78181818 14.21818182],0
p2,1,0.288549,1.126381,[67 21] ; [15  8],[65.00900901 22.99099099] ; [16.99099099  6.00900901],0
d1,1,0.289683,1.121095,[51 37] ; [11 13],[48.71428571 39.28571429] ; [13.28571429 10.71428571],0
s4,1,0.295397,1.094861,[28 60] ; [ 5 19],[25.92857143 62.07142857] ; [ 7.07142857 16.92857143],0
r4,1,0.301071,1.069444,[77 11] ; [19  5],[75.42857143 12.57142857] ; [20.57142857  3.42857143],0
p3,1,0.331569,0.942758,[36 52] ; [12 11],[38.05405405 49.94594595] ; [ 9.94594595 13.05405405],0
a5,1,0.345045,0.891597,[57 31] ; [18  6],[58.92857143 29.07142857] ; [16.07142857  7.92857143],0
u1,1,0.363586,0.825468,[18 70] ; [ 7 17],[19.64285714 68.35714286] ; [ 5.35714286 18.64285714],0
d4,1,0.364457,0.822475,[69 18] ; [21  3],[70.54054054 16.45945946] ; [19.45945946  4.54054054],0
u3,1,0.378369,0.775993,[15 11] ; [6 2],[16.05882353  9.94117647] ; [4.94117647 3.05882353],0
n5,1,0.38898,0.742129,[54 33] ; [12 11],[52.2 34.8] ; [13.8  9.2],0
a6,1,0.420313,0.64944,[55 32] ; [13 11],[53.2972973 33.7027027] ; [14.7027027  9.2972973],0
p5,1,0.458085,0.55057,[ 8 80] ; [ 1 22],[ 7.13513514 80.86486486] ; [ 1.86486486 21.13513514],0
r2,1,0.473678,0.513383,[83  4] ; [22  2],[82.2972973  4.7027027] ; [22.7027027  1.2972973],0
b4,1,0.486234,0.484848,[48 40] ; [15  9],[49.5 38.5] ; [13.5 10.5],0
v4,1,0.48881,0.479144,[81  7] ; [21  3],[80.14285714  7.85714286] ; [21.85714286  2.14285714],0
r3,1,0.507529,0.439158,[79  7] ; [23  1],[79.74545455  6.25454545] ; [22.25454545  1.74545455],0
b2,1,0.52052,0.412863,[13 31] ; [4 6],[13.85185185 30.14814815] ; [3.14814815 6.85185185],0
b3,1,0.52052,0.412863,[13 31] ; [4 6],[13.85185185 30.14814815] ; [3.14814815 6.85185185],0
n4,1,0.54134,0.373062,[56 30] ; [14 10],[54.72727273 31.27272727] ; [15.27272727  8.72727273],0
n6,1,0.552119,0.353535,[62 24] ; [18  5],[63.11926606 22.88073394] ; [16.88073394  6.11926606],0
s1,1,0.596749,0.279927,[ 8 78] ; [ 3 20],[ 8.67889908 77.32110092] ; [ 2.32110092 20.67889908],0
s5,1,0.620008,0.245856,[37 41] ; [10 14],[35.94117647 42.05882353] ; [11.05882353 12.94117647],0
s8,1,0.620288,0.245463,[49 39] ; [12 12],[47.92857143 40.07142857] ; [13.07142857 10.92857143],0
p10,1,0.637162,0.222473,[54 30] ; [16  7],[54.95327103 29.04672897] ; [15.04672897  7.95327103],0
u2,1,0.66641,0.18583,[14 12] ; [5 3],[14.52941176 11.47058824] ; [4.47058824 3.52941176],0
b1,1,0.667644,0.18437,[47 41] ; [14 10],[47.92857143 40.07142857] ; [13.07142857 10.92857143],0
v2,1,0.685725,0.163752,[44 38] ; [14 10],[44.86792453 37.13207547] ; [13.13207547 10.86792453],0
d5,1,0.725068,0.123688,[69 18] ; [19  4],[69.6 17.4] ; [18.4  4.6],0
v1,1,0.755276,0.097151,[44 43] ; [13 11],[44.67567568 42.32432432] ; [12.32432432 11.67567568],0
p7,1,0.776186,0.080822,[44 42] ; [11 12],[43.39449541 42.60550459] ; [11.60550459 11.39449541],0
d3,1,0.787117,0.07293,[63 24] ; [16  7],[62.48181818 24.51818182] ; [16.51818182  6.48181818],0
p8,1,0.792187,0.069417,[29 58] ; [ 7 16],[28.47272727 58.52727273] ; [ 7.52727273 15.47272727],0
a3,1,0.887964,0.019848,[60 28] ; [16  8],[59.71428571 28.28571429] ; [16.28571429  7.71428571],0
b5,1,0.918411,0.010493,[56 32] ; [15  9],[55.78571429 32.21428571] ; [15.21428571  8.78571429],0
d2,1,0.930137,0.007687,[48 39] ; [13 11],[47.81081081 39.18918919] ; [13.18918919 10.81081081],0
p4,1,0.979615,0.000653,[50 38] ; [13 10],[49.94594595 38.05405405] ; [13.05405405  9.94594595],0
a2,1,1.0,0.0,[22 66] ; [ 6 18],[22. 66.] ; [ 6. 18.],0
