Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.632066,[ 2 20] ; [20  5],[10.29787234 11.70212766] ; [11.70212766 13.29787234],1
p8,1,0.004957,7.895108,[ 4 17] ; [15 10],[ 8.67391304 12.32608696] ; [10.32608696 14.67391304],0
p11,1,0.014205,6.012494,[ 8 14] ; [18  7],[12.17021277  9.82978723] ; [13.82978723 11.17021277],0
p3,1,0.015313,5.880087,[ 2 20] ; [10 15],[ 5.61702128 16.38297872] ; [ 6.38297872 18.61702128],0
s6,1,0.016055,5.796834,[ 4 18] ; [13 12],[ 7.95744681 14.04255319] ; [ 9.04255319 15.95744681],0
p2,1,0.031466,4.627364,[ 9 13] ; [18  7],[12.63829787  9.36170213] ; [14.36170213 10.63829787],0
s8,1,0.05551,3.666693,[ 2 20] ; [ 8 17],[ 4.68085106 17.31914894] ; [ 5.31914894 19.68085106],0
v1,1,0.055587,3.664392,[ 5 17] ; [12 12],[ 8.13043478 13.86956522] ; [ 8.86956522 15.13043478],0
u2,1,0.065952,3.380994,[5 9] ; [8 3],[7.28 6.72] ; [5.72 5.28],0
v2,1,0.082239,3.020093,[ 4 17] ; [10 13],[ 6.68181818 14.31818182] ; [ 7.31818182 15.68181818],0
v4,1,0.10487,2.62987,[13  8] ; [20  4],[15.4  5.6] ; [17.6  6.4],0
n2,1,0.106345,2.60771,[8 8] ; [6 1],[9.73913043 6.26086957] ; [4.26086957 2.73913043],0
r3,1,0.121418,2.39893,[12 10] ; [19  6],[14.5106383  7.4893617] ; [16.4893617  8.5106383],0
n5,1,0.148111,2.091601,[11 11] ; [17  7],[13.39130435  8.60869565] ; [14.60869565  9.39130435],0
v3,1,0.160622,1.968356,[ 3 18] ; [ 8 17],[ 5.02173913 15.97826087] ; [ 5.97826087 19.02173913],0
a8,1,0.170481,1.878706,[ 1 21] ; [ 4 19],[ 2.44444444 19.55555556] ; [ 2.55555556 20.44444444],0
b5,1,0.191405,1.706769,[ 9 13] ; [15 10],[11.23404255 10.76595745] ; [12.76595745 12.23404255],0
a2,1,0.203778,1.615091,[ 1 21] ; [ 4 21],[ 2.34042553 19.65957447] ; [ 2.65957447 22.34042553],0
d3,1,0.207079,1.591728,[ 6 16] ; [ 3 21],[ 4.30434783 17.69565217] ; [ 4.69565217 19.30434783],0
b1,1,0.20958,1.574323,[11 11] ; [17  8],[13.10638298  8.89361702] ; [14.89361702 10.10638298],0
a6,1,0.20958,1.574323,[11 11] ; [17  8],[13.10638298  8.89361702] ; [14.89361702 10.10638298],0
a3,1,0.225932,1.466291,[ 8 13] ; [14 11],[10.04347826 10.95652174] ; [11.95652174 13.04347826],0
p6,1,0.229911,1.44141,[ 3 19] ; [ 7 18],[ 4.68085106 17.31914894] ; [ 5.31914894 19.68085106],0
s1,1,0.237463,1.395592,[ 3 19] ; [ 1 24],[ 1.87234043 20.12765957] ; [ 2.12765957 22.87234043],0
s7,1,0.26419,1.246667,[ 3 17] ; [ 7 17],[ 4.54545455 15.45454545] ; [ 5.45454545 18.54545455],0
a7,1,0.281974,1.157549,[ 8 14] ; [13 12],[ 9.82978723 12.17021277] ; [11.17021277 13.82978723],0
s4,1,0.29661,1.089372,[ 4 18] ; [ 2 23],[ 2.80851064 19.19148936] ; [ 3.19148936 21.80851064],0
n3,1,0.350122,0.873016,[10  5] ; [6 1],[10.90909091  4.09090909] ; [5.09090909 1.90909091],0
d2,1,0.355061,0.855285,[ 8 14] ; [ 6 19],[ 6.55319149 15.44680851] ; [ 7.44680851 17.55319149],0
r2,1,0.383666,0.758923,[16  6] ; [20  4],[17.2173913  4.7826087] ; [18.7826087  5.2173913],0
p4,1,0.391307,0.734876,[ 7 15] ; [11 14],[ 8.42553191 13.57446809] ; [ 9.57446809 15.42553191],0
p7,1,0.47051,0.520777,[10 12] ; [14 11],[11.23404255 10.76595745] ; [12.76595745 12.23404255],0
r4,1,0.47051,0.520777,[10 12] ; [14 11],[11.23404255 10.76595745] ; [12.76595745 12.23404255],0
b4,1,0.491407,0.473443,[11 11] ; [10 15],[ 9.82978723 12.17021277] ; [11.17021277 13.82978723],0
a1,1,0.531745,0.391056,[ 3 19] ; [ 2 23],[ 2.34042553 19.65957447] ; [ 2.65957447 22.34042553],0
s3,1,0.539368,0.376712,[ 8 14] ; [ 7 18],[ 7.0212766 14.9787234] ; [ 7.9787234 17.0212766],0
u3,1,0.561471,0.337163,[6 8] ; [6 5],[6.72 7.28] ; [5.28 5.72],0
p1,1,0.562427,0.335519,[ 3 19] ; [ 5 20],[ 3.74468085 18.25531915] ; [ 4.25531915 20.74468085],0
s2,1,0.626745,0.236501,[ 4 18] ; [ 6 19],[ 4.68085106 17.31914894] ; [ 5.31914894 19.68085106],0
a5,1,0.654211,0.200632,[10 12] ; [13 12],[10.76595745 11.23404255] ; [12.23404255 12.76595745],0
a4,1,0.723634,0.125037,[ 6 16] ; [ 8 17],[ 6.55319149 15.44680851] ; [ 7.44680851 17.55319149],0
b2,1,0.785351,0.074176,[5 9] ; [4 9],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
b3,1,0.785351,0.074176,[5 9] ; [4 9],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
d5,1,0.83066,0.045734,[ 9 13] ; [11 14],[ 9.36170213 12.63829787] ; [10.63829787 14.36170213],0
n4,1,0.861467,0.030453,[12 10] ; [13 12],[11.70212766 10.29787234] ; [13.29787234 11.70212766],0
r1,1,0.891138,0.018732,[11 11] ; [13 12],[11.23404255 10.76595745] ; [12.76595745 12.23404255],0
n1,1,0.898977,0.016117,[6 9] ; [3 4],[6.13636364 8.86363636] ; [2.86363636 4.13636364],0
s5,1,0.927422,0.008297,[ 2 20] ; [ 2 22],[ 1.91304348 20.08695652] ; [ 2.08695652 21.91304348],0
