Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.336276,[92 18] ; [ 8 15],[82.70676692 27.29323308] ; [17.29323308  5.70676692],1
p2,1,0.007057,7.258365,[103   8] ; [17  6],[99.40298507 11.59701493] ; [20.59701493  2.40298507],0
r3,1,0.009626,6.702828,[109   2] ; [20  3],[106.85820896   4.14179104] ; [22.14179104  0.85820896],0
v1,1,0.012322,6.263913,[70 41] ; [ 8 15],[64.6119403 46.3880597] ; [13.3880597  9.6119403],0
v3,1,0.012854,6.18904,[52 59] ; [ 4 18],[46.73684211 64.26315789] ; [ 9.26315789 12.73684211],0
n6,1,0.014069,6.029454,[99 12] ; [16  7],[95.26119403 15.73880597] ; [19.73880597  3.26119403],0
r1,1,0.015432,5.866482,[89 22] ; [13 10],[84.49253731 26.50746269] ; [17.50746269  5.49253731],0
r4,1,0.018318,5.565515,[104   7] ; [18  5],[101.05970149   9.94029851] ; [20.94029851  2.05970149],0
s8,1,0.019757,5.433218,[44 67] ; [ 3 19],[39.22556391 71.77443609] ; [ 7.77443609 14.22556391],0
p10,1,0.02215,5.233979,[89 19] ; [14  9],[84.91603053 23.08396947] ; [18.08396947  4.91603053],0
p9,1,0.023111,5.160176,[97 13] ; [16  7],[93.45864662 16.54135338] ; [19.54135338  3.45864662],0
s4,1,0.035607,4.415837,[11 99] ; [ 6 17],[14.06015038 95.93984962] ; [ 2.93984962 20.06015038],0
n2,1,0.040572,4.193787,[11 11] ; [11  2],[13.82857143  8.17142857] ; [8.17142857 4.82857143],0
p3,1,0.055413,3.669628,[72 39] ; [10 13],[67.92537313 43.07462687] ; [14.07462687  8.92537313],0
a6,1,0.05901,3.564988,[76 35] ; [11 12],[72.06716418 38.93283582] ; [14.93283582  8.06716418],0
s6,1,0.067514,3.342439,[59 48] ; [ 7 14],[55.171875 51.828125] ; [10.828125 10.171875],0
p11,1,0.085228,2.96227,[94 17] ; [16  7],[91.11940299 19.88059701] ; [18.88059701  4.11940299],0
b4,1,0.087726,2.915608,[74 37] ; [11 12],[70.41044776 40.58955224] ; [14.58955224  8.41044776],0
b1,1,0.097344,2.748533,[42 69] ; [13 10],[45.55970149 65.44029851] ; [ 9.44029851 13.55970149],0
d4,1,0.145522,2.118576,[88 23] ; [15  8],[85.32089552 25.67910448] ; [17.67910448  5.32089552],0
v2,1,0.196765,1.666224,[64 46] ; [10 13],[61.20300752 48.79699248] ; [12.79699248 10.20300752],0
a5,1,0.19861,1.652564,[78 33] ; [13 10],[75.38059701 35.61940299] ; [15.61940299  7.38059701],0
s3,1,0.200437,1.639187,[28 82] ; [ 3 20],[25.63909774 84.36090226] ; [ 5.36090226 17.63909774],0
u2,1,0.202087,1.627231,[17 19] ; [7 3],[18.7826087 17.2173913] ; [5.2173913 4.7826087],0
d1,1,0.213264,1.549131,[64 47] ; [10 13],[61.29850746 49.70149254] ; [12.70149254 10.29850746],0
s7,1,0.238252,1.390908,[40 62] ; [ 6 17],[37.536 64.464] ; [ 8.464 14.536],0
p4,1,0.260534,1.265917,[89 22] ; [16  7],[86.97761194 24.02238806] ; [18.02238806  4.97761194],0
a8,1,0.276828,1.182596,[12 83] ; [ 1 21],[10.55555556 84.44444444] ; [ 2.44444444 19.55555556],0
a3,1,0.282451,1.155261,[75 35] ; [13 10],[72.78195489 37.21804511] ; [15.21804511  7.78195489],0
