Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9.5e-05,15.232261,[20  6] ; [25 51],[11.47058824 14.52941176] ; [33.52941176 42.47058824],1
v1,1,0.001906,9.638113,[20  7] ; [29 45],[13.0990099 13.9009901] ; [35.9009901 38.0990099],0
s6,1,0.010079,6.620797,[20  4] ; [41 35],[14.64  9.36] ; [46.36 29.64],0
r4,1,0.015838,5.820762,[22  5] ; [42 34],[16.77669903 10.22330097] ; [47.22330097 28.77669903],0
n5,1,0.026505,4.92278,[24  3] ; [50 25],[19.58823529  7.41176471] ; [54.41176471 20.58823529],0
n6,1,0.026666,4.91231,[26  1] ; [58 17],[22.23529412  4.76470588] ; [61.76470588 13.23529412],0
d4,1,0.028861,4.775904,[24  3] ; [51 25],[19.66019417  7.33980583] ; [55.33980583 20.66019417],0
p6,1,0.029585,4.733251,[17 10] ; [29 46],[12.17647059 14.82352941] ; [33.82352941 41.17647059],0
b3,1,0.029998,4.709381,[9 8] ; [12 37],[ 5.40909091 11.59090909] ; [15.59090909 33.40909091],0
b2,1,0.029998,4.709381,[9 8] ; [12 37],[ 5.40909091 11.59090909] ; [15.59090909 33.40909091],0
n4,1,0.033625,4.513656,[23  4] ; [48 28],[18.61165049  8.38834951] ; [52.38834951 23.61165049],0
p10,1,0.04557,3.997409,[24  3] ; [52 23],[20.11764706  6.88235294] ; [55.88235294 19.11764706],0
p9,1,0.051291,3.798754,[25  2] ; [57 19],[21.49514563  5.50485437] ; [60.50485437 15.49514563],0
d5,1,0.056725,3.630629,[23  4] ; [50 26],[19.13592233  7.86407767] ; [53.86407767 22.13592233],0
s7,1,0.059813,3.54255,[16 10] ; [28 42],[11.91666667 14.08333333] ; [32.08333333 37.91666667],0
d1,1,0.075668,3.15558,[16 11] ; [30 46],[12.05825243 14.94174757] ; [33.94174757 42.05825243],0
d2,1,0.123202,2.37614,[13 14] ; [24 52],[ 9.69902913 17.30097087] ; [27.30097087 48.69902913],0
s8,1,0.136585,2.216021,[14 13] ; [27 49],[10.74757282 16.25242718] ; [30.25242718 45.74757282],0
s4,1,0.138224,2.197625,[ 2 25] ; [15 61],[ 4.45631068 22.54368932] ; [12.54368932 63.45631068],0
p7,1,0.15321,2.04,[21  6] ; [47 28],[18.  9.] ; [50. 25.],0
