Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.2e-05,17.983965,[36  8] ; [29 41],[25.0877193 18.9122807] ; [39.9122807 30.0877193],1
s6,1,3.1e-05,17.34614,[25 20] ; [13 58],[14.74137931 30.25862069] ; [23.25862069 47.74137931],1
d5,1,8e-05,15.567771,[41  6] ; [37 34],[31.06779661 15.93220339] ; [46.93220339 24.06779661],1
p11,1,0.000618,11.720742,[33 14] ; [27 44],[23.89830508 23.10169492] ; [36.10169492 34.89830508],1
d1,1,0.000674,11.558703,[28 19] ; [20 51],[19.11864407 27.88135593] ; [28.88135593 42.11864407],1
v1,1,0.001035,10.763995,[25 19] ; [18 51],[16.74336283 27.25663717] ; [26.25663717 42.74336283],0
v3,1,0.002691,9.005971,[19 28] ; [11 59],[12.05128205 34.94871795] ; [17.94871795 52.05128205],0
s2,1,0.004988,7.883963,[19 26] ; [13 58],[12.4137931 32.5862069] ; [19.5862069 51.4137931],0
p6,1,0.008419,6.942155,[13 31] ; [ 7 62],[ 7.78761062 36.21238938] ; [12.21238938 56.78761062],0
s7,1,0.019271,5.476756,[17 24] ; [14 54],[11.66055046 29.33944954] ; [19.33944954 48.66055046],0
d3,1,0.031539,4.623402,[29 18] ; [29 41],[23.2991453 23.7008547] ; [34.7008547 35.2991453],0
s5,1,0.032397,4.577371,[12 33] ; [ 8 63],[ 7.75862069 37.24137931] ; [12.24137931 58.75862069],0
s8,1,0.032408,4.576759,[14 32] ; [10 61],[ 9.43589744 36.56410256] ; [14.56410256 56.43589744],0
a3,1,0.042256,4.124939,[34 13] ; [37 32],[28.76724138 18.23275862] ; [42.23275862 26.76724138],0
v4,1,0.052281,3.766766,[30 12] ; [37 33],[25.125 16.875] ; [41.875 28.125],0
d4,1,0.064204,3.425321,[36 10] ; [44 27],[31.45299145 14.54700855] ; [48.54700855 22.45299145],0
n1,1,0.075656,3.155844,[ 4 17] ; [14 19],[ 7. 14.] ; [11. 22.],0
u1,1,0.087064,2.927834,[ 6 41] ; [ 3 68],[ 3.58474576 43.41525424] ; [ 5.41525424 65.58474576],0
u3,1,0.090717,2.861612,[6 7] ; [ 7 26],[3.67391304 9.32608696] ; [ 9.32608696 23.67391304],0
p2,1,0.0912,2.853065,[31 15] ; [35 33],[26.63157895 19.36842105] ; [39.36842105 28.63157895],0
a5,1,0.101544,2.681121,[31 16] ; [36 35],[26.68644068 20.31355932] ; [40.31355932 30.68644068],0
b5,1,0.104975,2.628291,[29 18] ; [33 38],[24.69491525 22.30508475] ; [37.30508475 33.69491525],0
n3,1,0.111022,2.539612,[13  7] ; [14 19],[10.18867925  9.81132075] ; [16.81132075 16.18867925],0
r1,1,0.114735,2.487753,[18 28] ; [18 53],[14.15384615 31.84615385] ; [21.84615385 49.15384615],0
p7,1,0.12202,2.391197,[21 25] ; [21 46],[17.09734513 28.90265487] ; [24.90265487 42.09734513],0
u2,1,0.130102,2.291283,[6 5] ; [10 24],[3.91111111 7.08888889] ; [12.08888889 21.91111111],0
p12,1,0.141389,2.162777,[ 3 43] ; [ 1 69],[ 1.5862069 44.4137931] ; [ 2.4137931 67.5862069],0
n2,1,0.146542,2.107881,[15  6] ; [17 16],[12.44444444  8.55555556] ; [19.55555556 13.44444444],0
a2,1,0.149022,2.082232,[ 9 38] ; [ 7 64],[ 6.37288136 40.62711864] ; [ 9.62711864 61.37288136],0
a1,1,0.190851,1.711037,[ 3 44] ; [10 61],[ 5.1779661 41.8220339] ; [ 7.8220339 63.1779661],0
d2,1,0.193653,1.689602,[22 24] ; [25 45],[18.63793103 27.36206897] ; [28.36206897 41.63793103],0
s3,1,0.217054,1.523745,[18 25] ; [21 48],[14.97321429 28.02678571] ; [24.02678571 44.97321429],0
p4,1,0.217361,1.521707,[19 26] ; [22 49],[15.90517241 29.09482759] ; [25.09482759 45.90517241],0
a4,1,0.243815,1.358399,[19 28] ; [21 49],[16.06837607 30.93162393] ; [23.93162393 46.06837607],0
n6,1,0.252687,1.308388,[29 16] ; [37 32],[26.05263158 18.94736842] ; [39.94736842 29.05263158],0
n4,1,0.296052,1.091892,[31 16] ; [40 31],[28.27966102 18.72033898] ; [42.72033898 28.27966102],0
a7,1,0.361408,0.832994,[26 20] ; [34 37],[23.58974359 22.41025641] ; [36.41025641 34.58974359],0
b3,1,0.431626,0.618445,[ 9 21] ; [16 25],[10.56338028 19.43661972] ; [14.43661972 26.56338028],0
b2,1,0.431626,0.618445,[ 9 21] ; [16 25],[10.56338028 19.43661972] ; [14.43661972 26.56338028],0
b4,1,0.50873,0.436678,[30 17] ; [41 30],[28.27966102 18.72033898] ; [42.72033898 28.27966102],0
b1,1,0.573452,0.31694,[24 23] ; [40 31],[25.49152542 21.50847458] ; [38.50847458 32.49152542],0
r2,1,0.582508,0.302198,[25 15] ; [40 30],[23.63636364 16.36363636] ; [41.36363636 28.63636364],0
p1,1,0.610043,0.260113,[ 4 43] ; [ 8 62],[ 4.82051282 42.17948718] ; [ 7.17948718 62.82051282],0
p9,1,0.651101,0.204515,[28 17] ; [40 29],[26.84210526 18.15789474] ; [41.15789474 27.84210526],0
p8,1,0.700664,0.147782,[14 32] ; [19 51],[13.0862069 32.9137931] ; [19.9137931 50.0862069],0
a6,1,0.732488,0.11684,[26 21] ; [37 34],[25.09322034 21.90677966] ; [37.90677966 33.09322034],0
p10,1,0.888448,0.019675,[23 21] ; [37 32],[23.36283186 20.63716814] ; [36.63716814 32.36283186],0
s1,1,0.889088,0.019449,[ 3 44] ; [ 5 66],[ 3.18644068 43.81355932] ; [ 4.81355932 66.18644068],0
p3,1,0.909624,0.012885,[12 33] ; [18 52],[11.73913043 33.26086957] ; [18.26086957 51.73913043],0
n5,1,0.931893,0.007304,[28 17] ; [43 27],[27.7826087 17.2173913] ; [43.2173913 26.7826087],0
a8,1,0.950313,0.003883,[ 3 39] ; [ 5 62],[ 3.08256881 38.91743119] ; [ 4.91743119 62.08256881],0
p5,1,0.952672,0.003523,[ 5 42] ; [ 7 61],[ 4.90434783 42.09565217] ; [ 7.09565217 60.90434783],0
