Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000228,13.581261,[12 62] ; [15 14],[19.39805825 54.60194175] ; [ 7.60194175 21.39805825],1
p7,1,0.000351,12.774924,[16 57] ; [17 12],[23.61764706 49.38235294] ; [ 9.38235294 19.61764706],1
p8,1,0.002035,9.51792,[12 63] ; [13 16],[18.02884615 56.97115385] ; [ 6.97115385 22.02884615],0
v2,1,0.004117,8.231646,[21 50] ; [17 11],[27.25252525 43.74747475] ; [10.74747475 17.25252525],0
r4,1,0.005635,7.663476,[47 29] ; [26  3],[52.83809524 23.16190476] ; [20.16190476  8.83809524],0
r3,1,0.014879,5.930789,[53 22] ; [27  2],[57.69230769 17.30769231] ; [22.30769231  6.69230769],0
p11,1,0.035561,4.418021,[35 41] ; [20  9],[39.80952381 36.19047619] ; [15.19047619 13.80952381],0
n6,1,0.036876,4.356145,[43 32] ; [23  6],[47.59615385 27.40384615] ; [18.40384615 10.59615385],0
p6,1,0.053913,3.715398,[ 9 66] ; [ 8 21],[12.25961538 62.74038462] ; [ 4.74038462 24.25961538],0
s6,1,0.065161,3.400897,[31 43] ; [18 11],[35.2038835 38.7961165] ; [13.7961165 15.2038835],0
r1,1,0.124537,2.359316,[42 33] ; [21  8],[45.43269231 29.56730769] ; [17.56730769 11.43269231],0
v4,1,0.162319,1.95249,[55 20] ; [25  4],[57.69230769 17.30769231] ; [22.30769231  6.69230769],0
a5,1,0.163216,1.944172,[33 43] ; [17 12],[36.19047619 39.80952381] ; [13.80952381 15.19047619],0
n4,1,0.184228,1.76318,[41 34] ; [20  9],[43.99038462 31.00961538] ; [17.00961538 11.99038462],0
s3,1,0.205597,1.602166,[25 47] ; [14 15],[27.8019802 44.1980198] ; [11.1980198 17.8019802],0
d3,1,0.219786,1.50577,[22 54] ; [ 5 24],[19.54285714 56.45714286] ; [ 7.45714286 21.54285714],0
a1,1,0.246703,1.341878,[ 8 68] ; [ 1 28],[ 6.51428571 69.48571429] ; [ 2.48571429 26.51428571],0
b2,1,0.258119,1.278817,[18 26] ; [ 4 12],[16.13333333 27.86666667] ; [ 5.86666667 10.13333333],0
b3,1,0.258119,1.278817,[18 26] ; [ 4 12],[16.13333333 27.86666667] ; [ 5.86666667 10.13333333],0
n5,1,0.269636,1.218598,[45 29] ; [21  8],[47.41747573 26.58252427] ; [18.58252427 10.41747573],0
s7,1,0.289758,1.120746,[17 54] ; [ 4 24],[15.06060606 55.93939394] ; [ 5.93939394 22.06060606],0
b1,1,0.302494,1.063168,[36 40] ; [17 12],[38.36190476 37.63809524] ; [14.63809524 14.36190476],0
b5,1,0.34102,0.906592,[42 34] ; [19 10],[44.15238095 31.84761905] ; [16.84761905 12.15238095],0
p1,1,0.367245,0.812965,[10 66] ; [ 2 27],[ 8.68571429 67.31428571] ; [ 3.31428571 25.68571429],0
p5,1,0.370344,0.802509,[ 4 70] ; [ 3 26],[ 5.02912621 68.97087379] ; [ 1.97087379 27.02912621],0
d4,1,0.429051,0.625392,[38 38] ; [12 17],[36.19047619 39.80952381] ; [13.80952381 15.19047619],0
a3,1,0.430745,0.620813,[37 37] ; [12 17],[35.2038835 38.7961165] ; [13.7961165 15.2038835],0
a6,1,0.474536,0.511394,[36 40] ; [16 13],[37.63809524 38.36190476] ; [14.36190476 14.63809524],0
s4,1,0.479349,0.500343,[15 61] ; [ 4 25],[13.75238095 62.24761905] ; [ 5.24761905 23.75238095],0
s5,1,0.48233,0.49359,[14 58] ; [ 7 20],[15.27272727 56.72727273] ; [ 5.72727273 21.27272727],0
u2,1,0.486507,0.484242,[20 19] ; [ 7 10],[18.80357143 20.19642857] ; [8.19642857 8.80357143],0
a4,1,0.49733,0.460628,[16 59] ; [ 8 21],[17.30769231 57.69230769] ; [ 6.69230769 22.30769231],0
p10,1,0.510212,0.433632,[35 38] ; [16 13],[36.5 36.5] ; [14.5 14.5],0
d2,1,0.525359,0.403359,[18 58] ; [ 5 23],[16.80769231 59.19230769] ; [ 6.19230769 21.80769231],0
r2,1,0.543515,0.369064,[58 17] ; [24  5],[59.13461538 15.86538462] ; [22.86538462  6.13461538],0
