Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.00105,10.736638,[33 13] ; [ 7 16],[26.66666667 19.33333333] ; [13.33333333  9.66666667],0
d3,1,0.008986,6.825582,[37  8] ; [12 11],[32.42647059 12.57352941] ; [16.57352941  6.42647059],0
d4,1,0.013266,6.133333,[40  6] ; [14  9],[36. 10.] ; [18.  5.],0
p10,1,0.01368,6.078947,[30 14] ; [ 8 14],[25.33333333 18.66666667] ; [12.66666667  9.33333333],0
n6,1,0.015805,5.824385,[29 17] ; [ 7 15],[24.35294118 21.64705882] ; [11.64705882 10.35294118],0
s4,1,0.019891,5.421429,[13 33] ; [ 1 22],[ 9.33333333 36.66666667] ; [ 4.66666667 18.33333333],0
a8,1,0.023203,5.153277,[ 1 42] ; [ 4 18],[ 3.30769231 39.69230769] ; [ 1.69230769 20.30769231],0
s6,1,0.036343,4.380952,[22 24] ; [ 5 18],[18. 28.] ; [ 9. 14.],0
b4,1,0.057825,3.598707,[23 23] ; [17  6],[26.66666667 19.33333333] ; [13.33333333  9.66666667],0
s7,1,0.066298,3.372377,[17 28] ; [ 3 17],[13.84615385 31.15384615] ; [ 6.15384615 13.84615385],0
s1,1,0.069885,3.285714,[ 2 44] ; [ 4 19],[ 4. 42.] ; [ 2. 21.],0
d2,1,0.078975,3.085868,[14 32] ; [12 11],[17.33333333 28.66666667] ; [ 8.66666667 14.33333333],0
a5,1,0.082996,3.005226,[24 22] ; [17  6],[27.33333333 18.66666667] ; [13.66666667  9.33333333],0
s8,1,0.090383,2.867532,[12 34] ; [ 2 21],[ 9.33333333 36.66666667] ; [ 4.66666667 18.33333333],0
r2,1,0.100779,2.693166,[28 14] ; [10 12],[24.9375 17.0625] ; [13.0625  8.9375],0
p3,1,0.119881,2.418873,[16 29] ; [ 4 19],[13.23529412 31.76470588] ; [ 6.76470588 16.23529412],0
p7,1,0.148648,2.086075,[19 24] ; [ 6 17],[16.28787879 26.71212121] ; [ 8.71212121 14.28787879],0
a1,1,0.158621,1.987327,[ 3 43] ; [ 4 19],[ 4.66666667 41.33333333] ; [ 2.33333333 20.66666667],0
u1,1,0.158621,1.987327,[ 3 43] ; [ 4 19],[ 4.66666667 41.33333333] ; [ 2.33333333 20.66666667],0
p9,1,0.17309,1.855973,[30 16] ; [10 11],[27.46268657 18.53731343] ; [12.53731343  8.46268657],0
p1,1,0.189051,1.725,[ 2 44] ; [ 3 20],[ 3.33333333 42.66666667] ; [ 1.66666667 21.33333333],0
a3,1,0.198282,1.654983,[26 20] ; [16  6],[28.41176471 17.58823529] ; [13.58823529  8.41176471],0
s2,1,0.214848,1.538454,[15 31] ; [ 4 18],[12.85294118 33.14705882] ; [ 6.14705882 15.85294118],0
p8,1,0.220486,1.501207,[18 28] ; [ 5 16],[15.79104478 30.20895522] ; [ 7.20895522 13.79104478],0
n3,1,0.268509,1.224348,[14  9] ; [4 6],[12.54545455 10.45454545] ; [5.45454545 4.54545455],0
p5,1,0.280668,1.163851,[ 6 40] ; [ 1 21],[ 4.73529412 41.26470588] ; [ 2.26470588 19.73529412],0
n2,1,0.282932,1.15295,[16  7] ; [5 5],[14.63636364  8.36363636] ; [6.36363636 3.63636364],0
v2,1,0.348516,0.878853,[21 24] ; [ 8 15],[19.19117647 25.80882353] ; [ 9.80882353 13.19117647],0
p4,1,0.366582,0.815217,[17 29] ; [ 6 17],[15.33333333 30.66666667] ; [ 7.66666667 15.33333333],0
p11,1,0.394577,0.72479,[25 21] ; [10 13],[23.33333333 22.66666667] ; [11.66666667 11.33333333],0
v3,1,0.419776,0.650943,[12 34] ; [ 4 19],[10.66666667 35.33333333] ; [ 5.33333333 17.66666667],0
d5,1,0.429404,0.624434,[36 10] ; [16  7],[34.66666667 11.33333333] ; [17.33333333  5.66666667],0
b2,1,0.445009,0.583333,[ 7 14] ; [ 3 11],[ 6. 15.] ; [ 4. 10.],0
b3,1,0.445009,0.583333,[ 7 14] ; [ 3 11],[ 6. 15.] ; [ 4. 10.],0
s3,1,0.45142,0.567085,[19 27] ; [ 7 15],[17.58823529 28.41176471] ; [ 8.41176471 13.58823529],0
v1,1,0.460181,0.545455,[16 28] ; [ 6 16],[14.66666667 29.33333333] ; [ 7.33333333 14.66666667],0
a4,1,0.470101,0.521739,[14 32] ; [ 9 14],[15.33333333 30.66666667] ; [ 7.66666667 15.33333333],0
p6,1,0.478077,0.503247,[11 33] ; [ 4 19],[ 9.85074627 34.14925373] ; [ 5.14925373 17.85074627],0
b5,1,0.490303,0.475862,[28 18] ; [12 11],[26.66666667 19.33333333] ; [13.33333333  9.66666667],0
d1,1,0.495823,0.463866,[24 22] ; [10 13],[22.66666667 23.33333333] ; [11.33333333 11.66666667],0
s5,1,0.540279,0.375023,[ 5 37] ; [ 4 19],[ 5.81538462 36.18461538] ; [ 3.18461538 19.81538462],0
n4,1,0.609185,0.261364,[23 23] ; [13 10],[24. 22.] ; [12. 11.],0
r3,1,0.62401,0.240272,[30 16] ; [13  9],[29.08823529 16.91176471] ; [13.91176471  8.08823529],0
u2,1,0.658387,0.195489,[10  9] ; [3 4],[9.5 9.5] ; [3.5 3.5],0
a2,1,0.663283,0.18956,[ 8 38] ; [ 5 18],[ 8.66666667 37.33333333] ; [ 4.33333333 18.66666667],0
n5,1,0.672362,0.178851,[23 22] ; [13 10],[23.82352941 21.17647059] ; [12.17647059 10.82352941],0
a6,1,0.723192,0.125455,[30 16] ; [14  9],[29.33333333 16.66666667] ; [14.66666667  8.33333333],0
r1,1,0.851169,0.035204,[13 33] ; [ 7 16],[13.33333333 32.66666667] ; [ 6.66666667 16.33333333],0
b1,1,0.864118,0.029287,[21 25] ; [10 13],[20.66666667 25.33333333] ; [10.33333333 12.66666667],0
n1,1,0.980074,0.000624,[ 7 16] ; [3 7],[ 6.96969697 16.03030303] ; [3.03030303 6.96969697],0
