Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.2e-05,18.025005,[80 63] ; [107  27],[96.53790614 46.46209386] ; [90.46209386 43.53790614],1
d1,1,0.001625,9.931588,[65 82] ; [85 50],[78.19148936 68.80851064] ; [71.80851064 63.19148936],0
s7,1,0.004275,8.163052,[49 91] ; [66 60],[60.52631579 79.47368421] ; [54.47368421 71.52631579],0
p12,1,0.008562,6.911987,[  4 141] ; [ 14 119],[  9.38848921 135.61151079] ; [  8.61151079 124.38848921],0
p3,1,0.009719,6.685685,[63 83] ; [78 55],[73.78494624 72.21505376] ; [67.21505376 65.78494624],0
d4,1,0.013955,6.043884,[105  42] ; [113  22],[113.63829787  33.36170213] ; [104.36170213  30.63829787],0
s8,1,0.014303,6.00038,[ 44 103] ; [59 75],[53.88256228 93.11743772] ; [49.11743772 84.88256228],0
d3,1,0.021496,5.286119,[90 57] ; [100  35],[99.04255319 47.95744681] ; [90.95744681 44.04255319],0
d5,1,0.021589,5.278573,[105  42] ; [112  23],[113.11702128  33.88297872] ; [103.88297872  31.11702128],0
p7,1,0.035899,4.40191,[82 60] ; [91 39],[90.31617647 51.68382353] ; [82.68382353 47.31617647],0
p11,1,0.037932,4.308079,[112  35] ; [116  19],[118.85106383  28.14893617] ; [109.14893617  25.85106383],0
d2,1,0.049391,3.862014,[58 89] ; [69 66],[66.20212766 80.79787234] ; [60.79787234 74.20212766],0
n4,1,0.054484,3.697817,[108  39] ; [112  23],[114.68085106  32.31914894] ; [105.31914894  29.68085106],0
r4,1,0.069925,3.284783,[122  25] ; [122  13],[127.19148936  19.80851064] ; [116.80851064  18.19148936],0
s4,1,0.075945,3.149603,[ 19 127] ; [  9 126],[ 14.5480427 131.4519573] ; [ 13.4519573 121.5480427],0
r2,1,0.080626,3.052233,[133  13] ; [128   5],[136.58064516   9.41935484] ; [124.41935484   8.58064516],0
p10,1,0.116182,2.468055,[111  34] ; [111  21],[116.20938628  28.79061372] ; [105.79061372  26.20938628],0
u2,1,0.119194,2.427882,[23 24] ; [25 13],[26.54117647 20.45882353] ; [21.45882353 16.54117647],0
n2,1,0.125443,2.348009,[24  6] ; [14  9],[21.50943396  8.49056604] ; [16.49056604  6.50943396],0
n6,1,0.153017,2.041912,[116  30] ; [116  19],[120.54092527  25.45907473] ; [111.45907473  23.54092527],0
p5,1,0.166708,1.912296,[  7 139] ; [ 12 122],[  9.90714286 136.09285714] ; [  9.09285714 124.90714286],0
p1,1,0.186234,1.747164,[  8 138] ; [ 13 122],[ 10.91103203 135.08896797] ; [ 10.08896797 124.91103203],0
p8,1,0.195337,1.676902,[69 74] ; [74 58],[74.36 68.64] ; [68.64 63.36],0
u4,1,0.20645,1.596148,[  2 145] ; [  5 130],[  3.64893617 143.35106383] ; [  3.35106383 131.64893617],0
p6,1,0.214542,1.540509,[44 97] ; [51 82],[48.88686131 92.11313869] ; [46.11313869 86.88686131],0
s2,1,0.226105,1.465196,[48 98] ; [53 80],[52.85304659 93.14695341] ; [48.14695341 84.85304659],0
a8,1,0.253524,1.30378,[ 15 118] ; [19 98],[ 18.088 114.912] ; [ 15.912 101.088],0
v4,1,0.30418,1.055779,[133  12] ; [128   7],[135.16071429   9.83928571] ; [125.83928571   9.16071429],0
a1,1,0.312531,1.019948,[  5 142] ; [  8 127],[  6.77659574 140.22340426] ; [  6.22340426 128.77659574],0
p9,1,0.33124,0.944043,[118  27] ; [114  19],[121.00719424  23.99280576] ; [110.99280576  22.00719424],0
a2,1,0.416273,0.660813,[ 30 117] ; [ 33 102],[ 32.84042553 114.15957447] ; [ 30.15957447 104.84042553],0
u1,1,0.423752,0.639887,[ 21 126] ; [ 24 111],[ 23.45744681 123.54255319] ; [ 21.54255319 113.45744681],0
b4,1,0.466367,0.530571,[83 64] ; [82 53],[86.0106383 60.9893617] ; [78.9893617 56.0106383],0
