Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1.6e-05,18.666667,[  9 160] ; [5 8],[ 13. 156.] ; [ 1. 12.],1
p8,1,0.002861,8.894242,[ 49 119] ; [9 4],[ 53.83425414 114.16574586] ; [4.16574586 8.83425414],0
p4,1,0.003799,8.377505,[ 68 100] ; [10  2],[72.8 95.2] ; [5.2 6.8],0
p12,1,0.003818,8.368362,[  3 166] ; [ 2 11],[  4.64285714 164.35714286] ; [ 0.35714286 12.64285714],0
n5,1,0.007014,7.269264,[91 78] ; [12  1],[95.64285714 73.35714286] ; [7.35714286 5.64285714],0
p3,1,0.029525,4.736737,[ 65 104] ; [9 4],[ 68.71428571 100.28571429] ; [5.28571429 7.71428571],0
s6,1,0.031059,4.649674,[101  66] ; [11  1],[104.49162011  62.50837989] ; [7.50837989 4.49162011],0
s8,1,0.035715,4.410671,[ 55 113] ; [8 5],[ 58.47513812 109.52486188] ; [4.52486188 8.47513812],0
v2,1,0.055891,3.655295,[83 81] ; [ 3 10],[79.68361582 84.31638418] ; [6.31638418 6.68361582],0
p9,1,0.076099,3.146316,[98 66] ; [11  2],[100.99435028  63.00564972] ; [8.00564972 4.99435028],0
a6,1,0.089214,2.888492,[106  64] ; [5 8],[103.1147541  66.8852459] ; [7.8852459 5.1147541],0
p2,1,0.099277,2.71712,[105  65] ; [11  2],[107.75956284  62.24043716] ; [8.24043716 4.75956284],0
r4,1,0.15233,2.048757,[127  43] ; [12  1],[129.12568306  40.87431694] ; [9.87431694 3.12568306],0
p6,1,0.158385,1.989577,[ 46 120] ; [6 7],[ 48.22346369 117.77653631] ; [3.77653631 9.22346369],0
v1,1,0.163343,1.943003,[70 98] ; [8 5],[72.39779006 95.60220994] ; [5.60220994 7.39779006],0
a3,1,0.165263,1.925401,[121  47] ; [7 6],[118.80662983  49.19337017] ; [9.19337017 3.80662983],0
n6,1,0.165436,1.923819,[110  57] ; [11  2],[112.26111111  54.73888889] ; [8.73888889 4.26111111],0
s3,1,0.168338,1.897684,[83 85] ; [9 4],[85.39226519 82.60773481] ; [6.60773481 6.39226519],0
s7,1,0.177237,1.820638,[65 89] ; [8 5],[67.31736527 86.68263473] ; [5.68263473 7.31736527],0
u1,1,0.241016,1.374642,[ 30 140] ; [4 9],[ 31.58469945 138.41530055] ; [ 2.41530055 10.58469945],0
n3,1,0.260364,1.266819,[43 23] ; [2 3],[41.83098592 24.16901408] ; [3.16901408 1.83098592],0
d5,1,0.305079,1.05186,[148  22] ; [10  3],[146.77595628  23.22404372] ; [11.22404372  1.77595628],0
a8,1,0.352288,0.865198,[ 12 140] ; [ 2 11],[ 12.8969697 139.1030303] ; [ 1.1030303 11.8969697],0
a2,1,0.356384,0.850596,[ 46 124] ; [ 2 11],[ 44.59016393 125.40983607] ; [3.40983607 9.59016393],0
p10,1,0.390484,0.737436,[90 77] ; [8 4],[91.4301676 75.5698324] ; [6.5698324 5.4301676],0
s5,1,0.403434,0.698066,[ 53 107] ; [5 6],[ 54.26900585 105.73099415] ; [3.73099415 7.26900585],0
d2,1,0.404424,0.695134,[97 72] ; [9 4],[98.42857143 70.57142857] ; [7.57142857 5.42857143],0
b4,1,0.413984,0.667331,[98 72] ; [9 4],[99.3989071 70.6010929] ; [7.6010929 5.3989071],0
u2,1,0.442181,0.590617,[23 23] ; [4 2],[23.88461538 22.11538462] ; [3.11538462 2.88461538],0
u3,1,0.470928,0.519797,[24 23] ; [4 2],[24.83018868 22.16981132] ; [3.16981132 2.83018868],0
v4,1,0.582145,0.30278,[148  22] ; [12  1],[148.63387978  21.36612022] ; [11.36612022  1.63387978],0
a7,1,0.627434,0.235557,[120  50] ; [10  3],[120.76502732  49.23497268] ; [9.23497268 3.76502732],0
v3,1,0.637644,0.221836,[ 52 110] ; [5 8],[ 52.76571429 109.23428571] ; [4.23428571 8.76571429],0
a5,1,0.651122,0.204489,[115  55] ; [8 5],[114.26229508  55.73770492] ; [8.73770492 4.26229508],0
s2,1,0.711276,0.137006,[82 87] ; [7 6],[82.64285714 86.35714286] ; [6.35714286 6.64285714],0
d3,1,0.72154,0.127022,[123  47] ; [10  3],[123.55191257  46.44808743] ; [9.44808743 3.55191257],0
b1,1,0.72699,0.121893,[87 83] ; [6 7],[86.39344262 83.60655738] ; [6.60655738 6.39344262],0
n2,1,0.743052,0.107463,[45 22] ; [3 2],[44.66666667 22.33333333] ; [3.33333333 1.66666667],0
b5,1,0.7734,0.082904,[111  59] ; [9 4],[111.47540984  58.52459016] ; [8.52459016 4.47540984],0
a4,1,0.773485,0.08284,[85 84] ; [6 7],[84.5 84.5] ; [6.5 6.5],0
d1,1,0.78433,0.074901,[111  59] ; [8 5],[110.54644809  59.45355191] ; [8.45355191 4.54644809],0
a1,1,0.791299,0.070026,[ 10 160] ; [ 1 12],[ 10.21857923 159.78142077] ; [ 0.78142077 12.21857923],0
p7,1,0.864344,0.029189,[73 94] ; [6 7],[73.29444444 93.70555556] ; [5.70555556 7.29444444],0
s1,1,0.873026,0.025541,[ 11 157] ; [ 1 12],[ 11.13812155 156.86187845] ; [ 0.86187845 12.13812155],0
s4,1,0.920905,0.009859,[ 37 132] ; [ 3 10],[ 37.14285714 131.85714286] ; [ 2.85714286 10.14285714],0
r1,1,0.923493,0.009223,[128  41] ; [10  3],[128.14285714  40.85714286] ; [9.85714286 3.14285714],0
b2,1,0.944898,0.004777,[30 57] ; [3 6],[29.90625 57.09375] ; [3.09375 5.90625],0
b3,1,0.944898,0.004777,[30 57] ; [3 6],[29.90625 57.09375] ; [3.09375 5.90625],0
r3,1,0.992981,7.7e-05,[142  26] ; [11  2],[142.01104972  25.98895028] ; [10.98895028  2.01104972],0
