Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,50.165249,[239  60] ; [18 36],[217.68555241  81.31444759] ; [39.31444759 14.68555241],1
s3,1,0.0,41.139935,[239  58] ; [21 33],[220.  77.] ; [40. 14.],1
s5,1,1e-06,23.847786,[150 138] ; [ 8 44],[133.83529412 154.16470588] ; [24.16470588 27.83529412],1
s8,1,1e-06,23.176103,[224  74] ; [23 31],[209.10795455  88.89204545] ; [37.89204545 16.10795455],1
p9,1,0.000807,11.226011,[270  26] ; [40 13],[262.9226361  33.0773639] ; [47.0773639  5.9226361],1
r4,1,0.001609,9.949455,[279  21] ; [43 11],[272.88135593  27.11864407] ; [49.11864407  4.88135593],0
r1,1,0.014726,5.948936,[260  39] ; [40 14],[254.10764873  44.89235127] ; [45.89235127  8.10764873],0
a5,1,0.034727,4.458533,[248  52] ; [38 16],[242.37288136  57.62711864] ; [43.62711864 10.37288136],0
n5,1,0.035474,4.422209,[241  56] ; [37 17],[235.23076923  61.76923077] ; [42.76923077 11.23076923],0
v4,1,0.071656,3.244666,[291   8] ; [49  4],[288.80681818  10.19318182] ; [51.19318182  1.80681818],0
p5,1,0.076141,3.145403,[ 51 246] ; [ 4 49],[ 46.67142857 250.32857143] ; [ 8.32857143 44.67142857],0
r3,1,0.078451,3.096704,[290   8] ; [50  4],[287.84090909  10.15909091] ; [52.15909091  1.84090909],0
b5,1,0.085378,2.959429,[182 118] ; [26 28],[176.27118644 123.72881356] ; [31.72881356 22.27118644],0
s4,1,0.093984,2.804773,[ 69 229] ; [ 7 47],[ 64.34090909 233.65909091] ; [11.65909091 42.34090909],0
n6,1,0.106775,2.601311,[265  32] ; [44 10],[261.46153846  35.53846154] ; [47.53846154  6.46153846],0
p12,1,0.10737,2.592504,[ 32 266] ; [ 2 52],[ 28.78409091 269.21590909] ; [ 5.21590909 48.78409091],0
u2,1,0.118852,2.432383,[31 13] ; [5 6],[28.8 15.2] ; [7.2 3.8],0
p4,1,0.149242,2.079978,[207  92] ; [32 22],[202.43909348  96.56090652] ; [36.56090652 17.43909348],0
p1,1,0.168082,1.899969,[ 28 270] ; [ 2 52],[ 25.39772727 272.60227273] ; [ 4.60227273 49.39772727],0
a2,1,0.194163,1.685743,[ 99 201] ; [13 41],[ 94.91525424 205.08474576] ; [17.08474576 36.91525424],0
u3,1,0.207185,1.59099,[34 12] ; [6 5],[32.28070175 13.71929825] ; [7.71929825 3.28070175],0
a8,1,0.264743,1.243785,[ 42 228] ; [10 35],[ 44.57142857 225.42857143] ; [ 7.42857143 37.57142857],0
p7,1,0.278523,1.174284,[202  85] ; [34 20],[198.62756598  88.37243402] ; [37.37243402 16.62756598],0
b2,1,0.286419,1.136377,[ 88 128] ; [19 19],[ 90.99212598 125.00787402] ; [16.00787402 21.99212598],0
b3,1,0.286419,1.136377,[ 88 128] ; [19 19],[ 90.99212598 125.00787402] ; [16.00787402 21.99212598],0
v1,1,0.28852,1.126515,[174 117] ; [27 25],[170.52769679 120.47230321] ; [30.47230321 21.52769679],0
p2,1,0.291666,1.111917,[255  44] ; [43 11],[252.41359773  46.58640227] ; [45.58640227  8.41359773],0
s1,1,0.296341,1.090586,[ 15 280] ; [ 1 53],[ 13.5243553 281.4756447] ; [ 2.4756447 51.5243553],0
r2,1,0.31995,0.98915,[287   9] ; [49  3],[285.79310345  10.20689655] ; [50.20689655  1.79310345],0
a1,1,0.32872,0.953933,[ 22 278] ; [ 2 52],[ 20.33898305 279.66101695] ; [ 3.66101695 50.33898305],0
p6,1,0.335531,0.927433,[138 157] ; [21 32],[134.78448276 160.21551724] ; [24.21551724 28.78448276],0
v3,1,0.385644,0.752632,[138 151] ; [21 30],[135.15 153.85] ; [23.85 27.15],0
b4,1,0.400771,0.706012,[174 126] ; [28 26],[171.18644068 128.81355932] ; [30.81355932 23.18644068],0
p8,1,0.447306,0.577468,[157 135] ; [26 28],[154.43930636 137.56069364] ; [28.56069364 25.43930636],0
a3,1,0.480503,0.497722,[254  45] ; [43 10],[252.28125  46.71875] ; [44.71875  8.28125],0
a7,1,0.488263,0.480351,[214  86] ; [36 18],[211.86440678  88.13559322] ; [38.13559322 15.86440678],0
p11,1,0.499189,0.456661,[238  62] ; [45  9],[239.83050847  60.16949153] ; [43.16949153 10.83050847],0
b1,1,0.504786,0.444861,[120 180] ; [19 35],[117.79661017 182.20338983] ; [21.20338983 32.79661017],0
n4,1,0.568826,0.324651,[252  46] ; [44 10],[250.59090909  47.40909091] ; [45.40909091  8.59090909],0
p10,1,0.586649,0.295608,[255  41] ; [45  9],[253.71428571  42.28571429] ; [46.28571429  7.71428571],0
p3,1,0.623133,0.241489,[175 125] ; [29 24],[173.37110482 126.62889518] ; [30.62889518 22.37110482],0
u1,1,0.680469,0.169598,[ 86 214] ; [14 40],[ 84.74576271 215.25423729] ; [15.25423729 38.74576271],0
a6,1,0.683546,0.166162,[202  97] ; [38 16],[203.28611898  95.71388102] ; [36.71388102 17.28611898],0
d1,1,0.70514,0.14318,[224  76] ; [39 15],[222.88135593  77.11864407] ; [40.11864407 13.88135593],0
n3,1,0.712273,0.136018,[47 23] ; [8 3],[47.5308642 22.4691358] ; [7.4691358 3.5308642],0
v2,1,0.715158,0.133179,[184 108] ; [32 21],[182.8173913 109.1826087] ; [33.1826087 19.8173913],0
n1,1,0.779237,0.078575,[35 35] ; [6 5],[35.43209877 34.56790123] ; [5.56790123 5.43209877],0
d2,1,0.845613,0.037915,[182 118] ; [32 22],[181.3559322 118.6440678] ; [32.6440678 21.3559322],0
d3,1,0.863259,0.029662,[231  69] ; [41 13],[230.50847458  69.49152542] ; [41.49152542 12.50847458],0
n2,1,0.870871,0.026423,[54 16] ; [9 3],[53.7804878 16.2195122] ; [9.2195122 2.7804878],0
a4,1,0.876298,0.024231,[164 135] ; [29 25],[163.47592068 135.52407932] ; [29.52407932 24.47592068],0
d4,1,0.951229,0.003741,[273  27] ; [49  5],[272.88135593  27.11864407] ; [49.11864407  4.88135593],0
