Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000639,11.657583,[13 12] ; [11 55],[ 6.59340659 18.40659341] ; [17.40659341 48.59340659],1
s7,1,0.001159,10.555213,[15 10] ; [14 46],[ 8.52941176 16.47058824] ; [20.47058824 39.52941176],0
v3,1,0.00464,8.014482,[13 11] ; [14 48],[ 7.53488372 16.46511628] ; [19.46511628 42.53488372],0
v2,1,0.007458,7.159196,[17  8] ; [23 40],[11.36363636 13.63636364] ; [28.63636364 34.36363636],0
d1,1,0.01797,5.599059,[17  8] ; [27 40],[11.95652174 13.04347826] ; [32.04347826 34.95652174],0
n5,1,0.02522,5.008736,[21  4] ; [39 27],[16.48351648  8.51648352] ; [43.51648352 22.48351648],0
p4,1,0.025383,4.997561,[16  9] ; [25 41],[11.26373626 13.73626374] ; [29.73626374 36.26373626],0
n6,1,0.028272,4.811387,[21  4] ; [40 27],[16.57608696  8.42391304] ; [44.42391304 22.57608696],0
p12,1,0.029415,4.743189,[ 3 22] ; [ 1 65],[ 1.0989011 23.9010989] ; [ 2.9010989 63.0989011],0
s2,1,0.034923,4.448955,[17  8] ; [29 38],[12.5 12.5] ; [33.5 33.5],0
u2,1,0.047104,3.941679,[5 1] ; [10 16],[2.8125 3.1875] ; [12.1875 13.8125],0
p11,1,0.050297,3.831518,[21  4] ; [42 25],[17.11956522  7.88043478] ; [45.88043478 21.11956522],0
p8,1,0.054641,3.693019,[13 12] ; [20 46],[ 9.06593407 15.93406593] ; [23.93406593 42.06593407],0
p3,1,0.075022,3.169576,[14 11] ; [23 42],[10.27777778 14.72222222] ; [26.72222222 38.27777778],0
b2,1,0.079046,3.084416,[12  9] ; [12 24],[ 8.84210526 12.15789474] ; [15.15789474 20.84210526],0
b3,1,0.079046,3.084416,[12  9] ; [12 24],[ 8.84210526 12.15789474] ; [15.15789474 20.84210526],0
a2,1,0.08567,2.953913,[ 5 20] ; [ 5 62],[ 2.7173913 22.2826087] ; [ 7.2826087 59.7173913],0
u1,1,0.08567,2.953913,[ 5 20] ; [ 5 62],[ 2.7173913 22.2826087] ; [ 7.2826087 59.7173913],0
n4,1,0.085895,2.949665,[21  4] ; [44 23],[17.66304348  7.33695652] ; [47.33695652 19.66304348],0
r4,1,0.101766,2.677648,[22  3] ; [48 19],[19.02173913  5.97826087] ; [50.97826087 16.02173913],0
p9,1,0.146226,2.111185,[20  5] ; [43 24],[17.11956522  7.88043478] ; [45.88043478 21.11956522],0
a5,1,0.14706,2.102482,[19  6] ; [40 27],[16.0326087  8.9673913] ; [42.9673913 24.0326087],0
p10,1,0.170712,1.876684,[20  5] ; [43 23],[17.30769231  7.69230769] ; [45.69230769 20.30769231],0
p7,1,0.187559,1.736685,[17  7] ; [36 29],[14.29213483  9.70786517] ; [38.70786517 26.29213483],0
u3,1,0.209351,1.575906,[4 2] ; [10 16],[2.625 3.375] ; [11.375 14.625],0
a3,1,0.212407,1.554947,[19  6] ; [41 25],[16.48351648  8.51648352] ; [43.51648352 22.48351648],0
d5,1,0.276959,1.181954,[18  7] ; [40 27],[15.76086957  9.23913043] ; [42.23913043 24.76086957],0
d4,1,0.325683,0.965987,[20  5] ; [46 20],[18.13186813  6.86813187] ; [47.86813187 18.13186813],0
p2,1,0.325683,0.965987,[20  5] ; [46 20],[18.13186813  6.86813187] ; [47.86813187 18.13186813],0
v1,1,0.331025,0.944883,[13 12] ; [26 38],[10.95505618 14.04494382] ; [28.04494382 35.95505618],0
d3,1,0.336376,0.924196,[18  7] ; [41 26],[16.0326087  8.9673913] ; [42.9673913 24.0326087],0
d2,1,0.380809,0.768088,[13 12] ; [28 39],[11.14130435 13.85869565] ; [29.85869565 37.14130435],0
a7,1,0.547413,0.361973,[17  8] ; [41 26],[15.76086957  9.23913043] ; [42.23913043 24.76086957],0
s5,1,0.562922,0.33467,[ 4 17] ; [ 9 56],[ 3.1744186 17.8255814] ; [ 9.8255814 55.1744186],0
s1,1,0.576639,0.3117,[ 1 23] ; [ 5 62],[ 1.58241758 22.41758242] ; [ 4.41758242 62.58241758],0
a4,1,0.613856,0.254598,[10 15] ; [23 44],[ 8.9673913 16.0326087] ; [24.0326087 42.9673913],0
a8,1,0.703763,0.144587,[ 2 22] ; [ 7 56],[ 2.48275862 21.51724138] ; [ 6.51724138 56.48275862],0
b1,1,0.707055,0.141237,[ 9 16] ; [27 40],[ 9.7826087 15.2173913] ; [26.2173913 40.7826087],0
a6,1,0.707055,0.141237,[16  9] ; [40 27],[15.2173913  9.7826087] ; [40.7826087 26.2173913],0
a1,1,0.72575,0.12305,[ 2 23] ; [ 4 63],[ 1.63043478 23.36956522] ; [ 4.36956522 62.63043478],0
r3,1,0.753169,0.098887,[21  4] ; [58  9],[21.4673913  3.5326087] ; [57.5326087  9.4673913],0
p5,1,0.772833,0.083331,[ 1 22] ; [ 2 63],[ 0.78409091 22.21590909] ; [ 2.21590909 62.78409091],0
b4,1,0.78242,0.076268,[13 12] ; [37 30],[13.58695652 11.41304348] ; [36.41304348 30.58695652],0
s4,1,0.83149,0.04528,[ 3 22] ; [ 7 60],[ 2.7173913 22.2826087] ; [ 7.2826087 59.7173913],0
p1,1,0.909792,0.012837,[ 1 24] ; [ 3 63],[ 1.0989011 23.9010989] ; [ 2.9010989 63.0989011],0
b5,1,0.914776,0.011453,[12 13] ; [33 34],[12.22826087 12.77173913] ; [32.77173913 34.22826087],0
r1,1,0.939357,0.005788,[17  8] ; [45 22],[16.84782609  8.15217391] ; [45.15217391 21.84782609],0
