Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,118.341057,[220  22] ; [16 45],[188.48844884  53.51155116] ; [47.51155116 13.48844884],1
p11,1,2e-06,22.582274,[202  41] ; [34 28],[188.02622951  54.97377049] ; [47.97377049 14.02622951],1
d5,1,8e-06,19.950028,[200  41] ; [35 27],[186.91419142  54.08580858] ; [48.08580858 13.91419142],1
p2,1,1.2e-05,19.191898,[220  20] ; [44 18],[209.8013245  30.1986755] ; [54.1986755  7.8013245],1
n6,1,0.000122,14.754186,[206  35] ; [39 22],[195.51324503  45.48675497] ; [49.48675497 11.51324503],1
a3,1,0.000257,13.358336,[172  69] ; [29 33],[159.87128713  81.12871287] ; [41.12871287 20.87128713],1
p4,1,0.000666,11.580877,[165  76] ; [28 34],[153.50825083  87.49174917] ; [39.49174917 22.50825083],1
d1,1,0.000694,11.505629,[137 106] ; [20 42],[125.0852459 117.9147541] ; [31.9147541 30.0852459],1
n5,1,0.000743,11.377844,[181  60] ; [33 29],[170.21122112  70.78877888] ; [43.78877888 18.21122112],1
d3,1,0.00093,10.961826,[173  67] ; [31 31],[162.1192053  77.8807947] ; [41.8807947 20.1192053],1
d4,1,0.001377,10.236863,[200  42] ; [39 22],[190.88448845  51.11551155] ; [48.11551155 12.88448845],0
n4,1,0.002036,9.51721,[185  58] ; [35 27],[175.27868852  67.72131148] ; [44.72131148 17.27868852],0
a2,1,0.003054,8.77468,[ 62 181] ; [ 5 57],[ 53.38032787 189.61967213] ; [13.61967213 48.38032787],0
v2,1,0.003324,8.620294,[138  94] ; [23 37],[127.91780822 104.08219178] ; [33.08219178 26.91780822],0
b1,1,0.003738,8.406984,[ 88 155] ; [35 27],[ 97.99672131 145.00327869] ; [25.00327869 36.99672131],0
r4,1,0.003789,8.382317,[218  25] ; [47 15],[211.13114754  31.86885246] ; [53.86885246  8.13114754],0
a5,1,0.005201,7.808183,[171  72] ; [32 30],[161.73442623  81.26557377] ; [41.26557377 20.73442623],0
a4,1,0.005892,7.583152,[111 132] ; [16 45],[101.51644737 141.48355263] ; [25.48355263 35.51644737],0
r3,1,0.008638,6.896121,[228  12] ; [53  9],[223.31125828  16.68874172] ; [57.68874172  4.31125828],0
a6,1,0.017691,5.626507,[171  71] ; [34 28],[163.19078947  78.80921053] ; [41.80921053 20.19078947],0
r2,1,0.019038,5.498037,[222  16] ; [52 10],[217.37333333  20.62666667] ; [56.62666667  5.37333333],0
v4,1,0.027239,4.875574,[230  10] ; [54  7],[226.44518272  13.55481728] ; [57.55481728  3.44518272],0
a7,1,0.028793,4.779974,[182  60] ; [38 24],[175.13157895  66.86842105] ; [44.86842105 17.13157895],0
v1,1,0.028921,4.772309,[120 115] ; [22 40],[112.35690236 122.64309764] ; [29.64309764 32.35690236],0
s6,1,0.029214,4.754983,[135 100] ; [26 36],[127.39057239 107.60942761] ; [33.60942761 28.39057239],0
s1,1,0.032748,4.558926,[  4 238] ; [ 4 57],[  6.38943894 235.61056106] ; [ 1.61056106 59.38943894],0
s7,1,0.035947,4.399597,[ 74 156] ; [11 49],[ 67.4137931 162.5862069] ; [17.5862069 42.4137931],0
p8,1,0.041474,4.156556,[156  84] ; [31 30],[149.10299003  90.89700997] ; [37.89700997 23.10299003],0
v3,1,0.057904,3.596424,[ 86 146] ; [15 47],[ 79.70068027 152.29931973] ; [21.29931973 40.70068027],0
s5,1,0.071728,3.243022,[ 69 168] ; [11 51],[ 63.41137124 173.58862876] ; [16.58862876 45.41137124],0
p3,1,0.083021,3.004753,[139 103] ; [28 34],[132.94078947 109.05921053] ; [34.05921053 27.94078947],0
