Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5e-06,20.910139,[25  8] ; [25 60],[13.98305085 19.01694915] ; [36.01694915 48.98305085],1
p4,1,2.2e-05,18.014384,[23 11] ; [22 63],[12.85714286 21.14285714] ; [32.14285714 52.85714286],1
p2,1,0.000843,11.145072,[29  6] ; [43 43],[20.82644628 14.17355372] ; [51.17355372 34.82644628],1
d1,1,0.001122,10.613965,[24 11] ; [31 55],[15.90909091 19.09090909] ; [39.09090909 46.90909091],0
p10,1,0.002795,8.936398,[16 19] ; [16 68],[ 9.41176471 25.58823529] ; [22.58823529 61.41176471],0
p6,1,0.003942,8.310525,[12 21] ; [11 74],[ 6.43220339 26.56779661] ; [16.56779661 68.43220339],0
d3,1,0.004781,7.960581,[28  7] ; [45 41],[21.11570248 13.88429752] ; [51.88429752 34.11570248],0
v4,1,0.004931,7.90446,[34  1] ; [64 21],[28.58333333  6.41666667] ; [69.41666667 15.58333333],0
n6,1,0.008363,6.953983,[30  4] ; [55 31],[24.08333333  9.91666667] ; [60.91666667 25.08333333],0
b2,1,0.019121,5.490428,[ 3 19] ; [24 34],[ 7.425 14.575] ; [19.575 38.425],0
b3,1,0.019121,5.490428,[ 3 19] ; [24 34],[ 7.425 14.575] ; [19.575 38.425],0
s7,1,0.027624,4.851399,[16 17] ; [21 57],[11. 22.] ; [26. 52.],0
r3,1,0.044602,4.033613,[32  3] ; [64 21],[28.  7.] ; [68. 17.],0
r4,1,0.053009,3.743634,[30  5] ; [59 27],[25.74380165  9.25619835] ; [63.25619835 22.74380165],0
a4,1,0.061301,3.501841,[ 9 26] ; [37 47],[13.52941176 21.47058824] ; [32.47058824 51.52941176],0
s2,1,0.067247,3.348968,[16 18] ; [25 60],[11.71428571 22.28571429] ; [29.28571429 55.71428571],0
s8,1,0.073398,3.205355,[12 22] ; [17 69],[ 8.21666667 25.78333333] ; [20.78333333 65.21666667],0
p5,1,0.089827,2.877476,[ 4 31] ; [ 3 83],[ 2.02479339 32.97520661] ; [ 4.97520661 81.02479339],0
a7,1,0.110129,2.55237,[26  9] ; [50 35],[22.16666667 12.83333333] ; [53.83333333 31.16666667],0
d2,1,0.112664,2.516445,[21 14] ; [37 47],[17.05882353 17.94117647] ; [40.94117647 43.05882353],0
s6,1,0.131897,2.270033,[19 15] ; [35 51],[15.3 18.7] ; [38.7 47.3],0
v2,1,0.142422,2.151599,[18 17] ; [31 53],[14.41176471 20.58823529] ; [34.58823529 49.41176471],0
n2,1,0.1483,2.089647,[9 2] ; [16 12],[7.05128205 3.94871795] ; [17.94871795 10.05128205],0
d5,1,0.206066,1.598855,[28  7] ; [59 27],[25.16528926  9.83471074] ; [61.83471074 24.16528926],0
r2,1,0.207803,1.586667,[32  2] ; [73 12],[30.  4.] ; [75. 10.],0
a5,1,0.210796,1.565952,[25 10] ; [51 35],[21.98347107 13.01652893] ; [54.01652893 31.98347107],0
p3,1,0.251804,1.313269,[14 20] ; [26 60],[11.33333333 22.66666667] ; [28.66666667 57.33333333],0
s3,1,0.254546,1.298182,[19 16] ; [36 48],[16.17647059 18.82352941] ; [38.82352941 45.17647059],0
r1,1,0.261949,1.258429,[29  6] ; [63 23],[26.61157025  8.38842975] ; [65.38842975 20.61157025],0
d4,1,0.273226,1.20048,[27  8] ; [57 28],[24.5 10.5] ; [59.5 25.5],0
s1,1,0.277048,1.181513,[ 1 34] ; [ 7 77],[ 2.35294118 32.64705882] ; [ 5.64705882 78.35294118],0
a6,1,0.285739,1.13959,[24 11] ; [50 36],[21.40495868 13.59504132] ; [52.59504132 33.40495868],0
b5,1,0.290668,1.116526,[22 13] ; [45 41],[19.38016529 15.61983471] ; [47.61983471 38.38016529],0
u1,1,0.31228,1.021007,[ 7 28] ; [11 75],[ 5.20661157 29.79338843] ; [12.79338843 73.20661157],0
p1,1,0.315286,1.008403,[ 5 30] ; [ 7 78],[ 3.5 31.5] ; [ 8.5 76.5],0
