Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,69.998312,[ 9 34] ; [104  13],[30.36875 12.63125] ; [82.63125 34.36875],1
a3,1,0.00042,12.44014,[23 19] ; [97 21],[31.5 10.5] ; [88.5 29.5],1
n2,1,0.001172,10.533482,[7 6] ; [25  1],[10.66666667  2.33333333] ; [21.33333333  4.66666667],0
n6,1,0.001493,10.087691,[31 12] ; [108  10],[37.1242236  5.8757764] ; [101.8757764  16.1242236],0
r4,1,0.003333,8.615479,[33 10] ; [110   8],[38.19254658  4.80745342] ; [104.80745342  13.19254658],0
a6,1,0.003772,8.390269,[20 23] ; [84 34],[27.77639752 15.22360248] ; [76.22360248 41.77639752],0
a2,1,0.005869,7.590224,[ 4 39] ; [36 82],[10.68322981 32.31677019] ; [29.31677019 88.68322981],0
s7,1,0.005872,7.589291,[15 26] ; [69 43],[22.50980392 18.49019608] ; [61.49019608 50.50980392],0
v1,1,0.007002,7.272582,[14 27] ; [68 48],[21.41401274 19.58598726] ; [60.58598726 55.41401274],0
p7,1,0.007469,7.15655,[16 25] ; [72 42],[23.27741935 17.72258065] ; [64.72258065 49.27741935],0
p4,1,0.010356,6.572603,[15 28] ; [67 49],[22.17610063 20.82389937] ; [59.82389937 56.17610063],0
r1,1,0.019694,5.438839,[30 12] ; [102  15],[34.86792453  7.13207547] ; [97.13207547 19.86792453],0
b1,1,0.020867,5.337827,[10 33] ; [51 67],[16.29192547 26.70807453] ; [44.70807453 73.29192547],0
v3,1,0.030832,4.66231,[12 30] ; [55 60],[17.92356688 24.07643312] ; [49.07643312 65.92356688],0
a5,1,0.04186,4.140843,[28 15] ; [95 23],[32.85093168 10.14906832] ; [90.14906832 27.85093168],0
d2,1,0.042835,4.101922,[18 25] ; [70 47],[23.65 19.35] ; [64.35 52.65],0
a4,1,0.049197,3.868623,[14 29] ; [59 59],[19.49689441 23.50310559] ; [53.50310559 64.49689441],0
u1,1,0.053196,3.737738,[ 4 39] ; [27 91],[ 8.27950311 34.72049689] ; [22.72049689 95.27950311],0
p10,1,0.061067,3.508155,[29 13] ; [96 20],[33.2278481  8.7721519] ; [91.7721519 24.2278481],0
s8,1,0.084822,2.970003,[16 27] ; [61 55],[20.82389937 22.17610063] ; [56.17610063 59.82389937],0
n1,1,0.086677,2.935035,[ 3 10] ; [13 12],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
p3,1,0.08861,2.899447,[15 28] ; [59 59],[19.76397516 23.23602484] ; [54.23602484 63.76397516],0
