Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,101.527819,[ 3 50] ; [196  55],[34.69407895 18.30592105] ; [164.30592105  86.69407895],1
d4,1,0.0,87.010567,[24 29] ; [237  14],[45.50328947  7.49671053] ; [215.49671053  35.50328947],1
d3,1,0.0,32.227417,[23 30] ; [203  48],[39.40131579 13.59868421] ; [186.59868421  64.40131579],1
a4,1,0.0,28.215705,[ 9 43] ; [145 106],[26.4290429 25.5709571] ; [127.5709571 123.4290429],1
d2,1,0.0,25.322248,[12 41] ; [152  99],[28.59210526 24.40789474] ; [135.40789474 115.59210526],1
u1,1,5.7e-05,16.184504,[ 1 52] ; [ 69 182],[12.20394737 40.79605263] ; [ 57.79605263 193.20394737],1
a2,1,0.000143,14.46187,[ 3 50] ; [ 78 173],[14.12171053 38.87828947] ; [ 66.87828947 184.12171053],1
a3,1,0.000757,11.344367,[30 23] ; [196  53],[39.66225166 13.33774834] ; [186.33774834  62.66225166],1
a5,1,0.001032,10.769097,[31 22] ; [200  51],[40.27302632 12.72697368] ; [190.72697368  60.27302632],0
p9,1,0.002313,9.283054,[42 11] ; [232  18],[47.92739274  5.07260726] ; [226.07260726  23.92739274],0
p4,1,0.003194,8.693439,[35 18] ; [210  41],[42.71381579 10.28618421] ; [202.28618421  48.71381579],0
v1,1,0.003672,8.439194,[24 29] ; [165  83],[33.27906977 19.72093023] ; [155.72093023  92.27906977],0
p10,1,0.008211,6.986893,[39 13] ; [222  28],[44.94039735  7.05960265] ; [216.05960265  33.94039735],0
p1,1,0.009155,6.792323,[14 39] ; [ 31 219],[ 7.87128713 45.12871287] ; [ 37.12871287 212.87128713],0
p2,1,0.010783,6.50073,[42 11] ; [229  22],[47.24671053  5.75328947] ; [223.75328947  27.24671053],0
s6,1,0.010944,6.474386,[33 19] ; [194  49],[40.01355932 11.98644068] ; [186.98644068  56.01355932],0
s8,1,0.011605,6.370287,[22 31] ; [151  99],[30.26072607 22.73927393] ; [142.73927393 107.26072607],0
p12,1,0.04821,3.902651,[11 42] ; [ 27 222],[ 6.66887417 46.33112583] ; [ 31.33112583 217.66887417],0
p5,1,0.060025,3.536702,[15 38] ; [ 43 208],[10.11184211 42.88815789] ; [ 47.88815789 203.11184211],0
s5,1,0.252328,1.310369,[19 31] ; [112 127],[22.66435986 27.33564014] ; [108.33564014 130.66435986],0
a1,1,0.284202,1.146887,[ 2 51] ; [ 20 231],[ 3.83552632 49.16447368] ; [ 18.16447368 232.83552632],0
r3,1,0.302214,1.064398,[51  2] ; [246   4],[51.95049505  1.04950495] ; [245.04950495   4.95049505],0
s2,1,0.341348,0.905364,[28 24] ; [153  98],[31.06270627 20.93729373] ; [149.93729373 101.06270627],0
r1,1,0.359057,0.84119,[43 10] ; [216  35],[45.15460526  7.84539474] ; [213.84539474  37.15460526],0
p3,1,0.360716,0.835398,[32 21] ; [168  83],[34.86842105 18.13157895] ; [165.13157895  85.86842105],0
v4,1,0.432015,0.617399,[51  2] ; [246   5],[51.77960526  1.22039474] ; [245.22039474   5.77960526],0
r2,1,0.43796,0.601622,[51  2] ; [244   5],[51.77152318  1.22847682] ; [243.22847682   5.77152318],0
b1,1,0.463816,0.53667,[24 29] ; [100 151],[21.61842105 31.38157895] ; [102.38157895 148.61842105],0
n1,1,0.484742,0.488176,[4 3] ; [22 29],[3.13793103 3.86206897] ; [22.86206897 28.13793103],0
u4,1,0.528641,0.397003,[ 1 52] ; [  9 242],[ 1.74342105 51.25657895] ; [  8.25657895 242.74342105],0
s4,1,0.570236,0.322288,[ 9 44] ; [ 50 195],[10.49328859 42.50671141] ; [ 48.50671141 196.49328859],0
v2,1,0.579983,0.306261,[29 23] ; [148  99],[30.7826087 21.2173913] ; [146.2173913 100.7826087],0
u3,1,0.587801,0.293792,[14  9] ; [37 18],[15.03846154  7.96153846] ; [35.96153846 19.03846154],0
n4,1,0.623081,0.241561,[44  9] ; [215  36],[45.15460526  7.84539474] ; [213.84539474  37.15460526],0
s7,1,0.673509,0.177525,[30 21] ; [150  92],[31.33105802 19.66894198] ; [148.66894198  93.33105802],0
p11,1,0.6807,0.169339,[42 11] ; [205  46],[43.0625  9.9375] ; [203.9375  47.0625],0
a6,1,0.704339,0.143997,[36 17] ; [163  87],[34.80858086 18.19141914] ; [164.19141914  85.80858086],0
p7,1,0.713673,0.134635,[44  9] ; [210  37],[44.87333333  8.12666667] ; [209.12666667  37.87333333],0
n3,1,0.77004,0.085452,[5 2] ; [39 12],[5.31034483 1.68965517] ; [38.68965517 12.31034483],0
n5,1,0.795147,0.067409,[42 11] ; [202  48],[42.67986799 10.32013201] ; [201.32013201  48.67986799],0
b4,1,0.821811,0.050722,[31 22] ; [151 100],[31.73026316 21.26973684] ; [150.26973684 100.73026316],0
b2,1,0.821842,0.050705,[16 17] ; [76 88],[15.41116751 17.58883249] ; [76.58883249 87.41116751],0
b3,1,0.821842,0.050705,[16 17] ; [76 88],[15.41116751 17.58883249] ; [76.58883249 87.41116751],0
b5,1,0.849131,0.036186,[32 21] ; [148 103],[31.38157895 21.61842105] ; [148.61842105 102.38157895],0
s3,1,0.878509,0.023366,[32 20] ; [151  99],[31.50993377 20.49006623] ; [151.49006623  98.50993377],0
u2,1,0.89236,0.018311,[13 10] ; [32 23],[13.26923077  9.73076923] ; [31.73076923 23.26923077],0
a7,1,0.901884,0.015198,[39 14] ; [186  64],[39.35643564 13.64356436] ; [185.64356436  64.35643564],0
v3,1,0.906722,0.01373,[22 31] ; [103 140],[22.38175676 30.61824324] ; [102.61824324 140.38175676],0
a8,1,0.937615,0.006126,[ 8 42] ; [ 35 190],[ 7.81818182 42.18181818] ; [ 35.18181818 189.81818182],0
p8,1,0.945865,0.00461,[37 16] ; [175  74],[37.20529801 15.79470199] ; [174.79470199  74.20529801],0
s1,1,0.954578,0.003244,[ 2 50] ; [ 10 239],[ 2.0730897 49.9269103] ; [  9.9269103 239.0730897],0
n6,1,0.963387,0.002107,[48  5] ; [225  24],[47.91059603  5.08940397] ; [225.08940397  23.91059603],0
n2,1,0.987979,0.000227,[5 2] ; [37 15],[4.98305085 2.01694915] ; [37.01694915 14.98305085],0
