Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.819445,[85 10] ; [ 4 12],[76.17117117 18.82882883] ; [12.82882883  3.17117117],1
v4,1,0.0,33.286052,[91  3] ; [8 8],[84.6  9.4] ; [14.4  1.6],1
n6,1,8e-06,19.864457,[82 13] ; [ 6 10],[75.31531532 19.68468468] ; [12.68468468  3.31531532],1
r1,1,3.2e-05,17.32057,[73 22] ; [ 4 12],[65.9009009 29.0990991] ; [11.0990991  4.9009009],1
r3,1,0.000202,13.810825,[89  6] ; [10  6],[84.72972973 10.27027027] ; [14.27027027  1.72972973],1
s7,1,0.004606,8.028133,[47 42] ; [ 2 13],[41.93269231 47.06730769] ; [7.06730769 7.93269231],0
a7,1,0.022015,5.244562,[64 31] ; [ 6 10],[59.90990991 35.09009009] ; [10.09009009  5.90990991],0
n4,1,0.05313,3.739833,[60 35] ; [ 6 10],[56.48648649 38.51351351] ; [9.51351351 6.48648649],0
v2,1,0.058892,3.568317,[46 45] ; [ 4 12],[42.52336449 48.47663551] ; [7.47663551 8.52336449],0
v3,1,0.062135,3.47945,[34 60] ; [ 2 14],[30.76363636 63.23636364] ; [ 5.23636364 10.76363636],0
p6,1,0.0697,3.290064,[46 47] ; [ 4 12],[42.66055046 50.33944954] ; [7.33944954 8.66055046],0
s5,1,0.093862,2.806851,[31 62] ; [ 2 14],[28.1559633 64.8440367] ; [ 4.8440367 11.1559633],0
a1,1,0.095549,2.778307,[ 3 92] ; [ 2 14],[ 4.27927928 90.72072072] ; [ 0.72072072 15.27927928],0
s1,1,0.098449,2.730496,[ 3 91] ; [ 2 14],[ 4.27272727 89.72727273] ; [ 0.72727273 15.27272727],0
p2,1,0.10473,2.631997,[81 14] ; [11  5],[78.73873874 16.26126126] ; [13.26126126  2.73873874],0
p9,1,0.134297,2.242111,[70 24] ; [9 7],[67.50909091 26.49090909] ; [11.49090909  4.50909091],0
s3,1,0.151204,2.060062,[59 35] ; [7 9],[56.4 37.6] ; [9.6 6.4],0
n5,1,0.178203,1.812551,[64 31] ; [8 8],[61.62162162 33.37837838] ; [10.37837838  5.62162162],0
p3,1,0.201604,1.630715,[52 43] ; [ 6 10],[49.63963964 45.36036036] ; [8.36036036 7.63963964],0
b4,1,0.230827,1.435757,[51 44] ; [ 6 10],[48.78378378 46.21621622] ; [8.21621622 7.78378378],0
b1,1,0.230827,1.435757,[44 51] ; [10  6],[46.21621622 48.78378378] ; [7.78378378 8.21621622],0
s8,1,0.240381,1.37836,[38 56] ; [ 4 12],[35.89090909 58.10909091] ; [6.10909091 9.89090909],0
n2,1,0.244551,1.354167,[15  5] ; [3 3],[13.84615385  6.15384615] ; [4.15384615 1.84615385],0
s4,1,0.244938,1.351947,[13 82] ; [ 4 12],[14.54954955 80.45045045] ; [ 2.45045045 13.54954955],0
a4,1,0.271191,1.210711,[18 76] ; [ 5 11],[19.65454545 74.34545455] ; [ 3.34545455 12.65454545],0
a6,1,0.452541,0.564281,[57 38] ; [8 8],[55.63063063 39.36936937] ; [9.36936937 6.63063063],0
v1,1,0.466899,0.529307,[44 49] ; [ 6 10],[42.66055046 50.33944954] ; [7.33944954 8.66055046],0
p8,1,0.485742,0.485944,[59 35] ; [8 7],[57.77981651 36.22018349] ; [9.22018349 5.77981651],0
d3,1,0.502794,0.449034,[39 56] ; [8 8],[40.22522523 54.77477477] ; [6.77477477 9.22522523],0
p11,1,0.548641,0.359758,[72 23] ; [11  5],[71.03603604 23.96396396] ; [11.96396396  4.03603604],0
p10,1,0.597606,0.278622,[65 29] ; [10  6],[64.09090909 29.90909091] ; [10.90909091  5.09090909],0
a5,1,0.671738,0.179576,[47 48] ; [7 9],[46.21621622 48.78378378] ; [7.78378378 8.21621622],0
p12,1,0.676932,0.1736,[ 9 86] ; [ 1 15],[ 8.55855856 86.44144144] ; [ 1.44144144 14.55855856],0
d4,1,0.701135,0.147293,[48 46] ; [9 7],[48.70909091 45.29090909] ; [8.29090909 7.70909091],0
p5,1,0.720918,0.127615,[16 78] ; [ 2 13],[15.52293578 78.47706422] ; [ 2.47706422 12.52293578],0
s2,1,0.72504,0.123715,[43 52] ; [8 8],[43.64864865 51.35135135] ; [7.35135135 8.64864865],0
u3,1,0.726339,0.1225,[21 21] ; [3 4],[20.57142857 21.42857143] ; [3.42857143 3.57142857],0
a8,1,0.74093,0.109311,[10 79] ; [ 2 12],[10.36893204 78.63106796] ; [ 1.63106796 12.36893204],0
u2,1,0.771869,0.08406,[21 20] ; [4 3],[21.35416667 19.64583333] ; [3.64583333 3.35416667],0
p4,1,0.78888,0.071699,[56 39] ; [10  6],[56.48648649 38.51351351] ; [9.51351351 6.48648649],0
d2,1,0.843553,0.038947,[26 69] ; [ 4 12],[25.67567568 69.32432432] ; [ 4.32432432 11.67567568],0
n3,1,0.855816,0.033016,[16  4] ; [5 1],[16.15384615  3.84615385] ; [4.84615385 1.15384615],0
d1,1,0.872851,0.025612,[ 7 88] ; [ 1 15],[ 6.84684685 88.15315315] ; [ 1.15315315 14.84684685],0
b5,1,0.901964,0.015173,[55 40] ; [9 7],[54.77477477 40.22522523] ; [9.22522523 6.77477477],0
n1,1,0.940006,0.005664,[ 7 13] ; [2 4],[ 6.92307692 13.07692308] ; [2.07692308 3.92307692],0
a3,1,0.944788,0.004796,[52 42] ; [9 7],[52.12727273 41.87272727] ; [8.87272727 7.12727273],0
s6,1,0.956018,0.003042,[53 40] ; [9 7],[52.89908257 40.10091743] ; [9.10091743 6.89908257],0
