Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.3e-05,17.912077,[88 23] ; [88 74],[71.56043956 39.43956044] ; [104.43956044  57.56043956],1
p1,1,0.00336,8.601124,[16 95] ; [  7 154],[  9.38602941 101.61397059] ; [ 13.61397059 147.38602941],0
n4,1,0.004361,8.126997,[93 18] ; [111  51],[82.94505495 28.05494505] ; [121.05494505  40.94505495],0
a1,1,0.013951,6.044373,[  6 105] ; [  1 161],[  2.84615385 108.15384615] ; [  4.15384615 157.84615385],0
p8,1,0.015892,5.814766,[83 27] ; [97 61],[73.88059701 36.11940299] ; [106.11940299  51.88059701],0
s7,1,0.020535,5.3658,[39 64] ; [ 37 115],[30.69803922 72.30196078] ; [ 45.30196078 106.69803922],0
b4,1,0.029079,4.762933,[71 40] ; [82 80],[62.20879121 48.79120879] ; [90.79120879 71.20879121],0
v1,1,0.037832,4.312541,[68 43] ; [75 80],[59.67293233 51.32706767] ; [83.32706767 71.67293233],0
p5,1,0.0559,3.65502,[19 92] ; [ 15 146],[13.875 97.125] ; [ 20.125 140.875],0
v3,1,0.068995,3.306769,[48 62] ; [ 51 105],[40.93984962 69.06015038] ; [58.06015038 97.93984962],0
b2,1,0.074106,3.189655,[30 45] ; [26 70],[24.56140351 50.43859649] ; [31.43859649 64.56140351],0
b3,1,0.074106,3.189655,[30 45] ; [26 70],[24.56140351 50.43859649] ; [31.43859649 64.56140351],0
s8,1,0.089066,2.891171,[38 72] ; [ 40 120],[31.77777778 78.22222222] ; [ 46.22222222 113.77777778],0
r2,1,0.097044,2.753467,[104   6] ; [141  18],[100.18587361   9.81412639] ; [144.81412639  14.18587361],0
n6,1,0.108735,2.572516,[96 15] ; [127  34],[91.00367647 19.99632353] ; [131.99632353  29.00367647],0
n5,1,0.146139,2.112101,[85 26] ; [111  51],[79.69230769 31.30769231] ; [116.30769231  45.69230769],0
a8,1,0.148804,2.084467,[ 9 86] ; [ 23 121],[12.71966527 82.28033473] ; [ 19.28033473 124.71966527],0
u1,1,0.154428,2.027956,[19 92] ; [ 18 144],[15.04395604 95.95604396] ; [ 21.95604396 140.04395604],0
p10,1,0.166305,1.915941,[91 18] ; [124  38],[86.47601476 22.52398524] ; [128.52398524  33.47601476],0
s5,1,0.180435,1.794036,[29 79] ; [ 32 129],[24.49070632 83.50929368] ; [ 36.50929368 124.49070632],0
p12,1,0.184865,1.758072,[  8 101] ; [  6 156],[  5.63099631 103.36900369] ; [  8.36900369 153.63099631],0
p9,1,0.249379,1.326781,[94 16] ; [128  32],[90.44444444 19.55555556] ; [131.55555556  28.44444444],0
p2,1,0.257179,1.28388,[102   9] ; [141  20],[99.16544118 11.83455882] ; [143.83455882  17.16544118],0
r4,1,0.28043,1.165007,[103   8] ; [144  18],[100.42857143  10.57142857] ; [146.57142857  15.42857143],0
n2,1,0.281962,1.157608,[17 10] ; [25  8],[18.9  8.1] ; [23.1  9.9],0
v4,1,0.317273,1.000154,[106   5] ; [148  12],[104.03690037   6.96309963] ; [149.96309963  10.03690037],0
r3,1,0.329578,0.950554,[106   5] ; [150  12],[104.08791209   6.91208791] ; [151.91208791  10.08791209],0
p3,1,0.348323,0.879558,[68 43] ; [90 72],[64.24175824 46.75824176] ; [93.75824176 68.24175824],0
p11,1,0.427087,0.630732,[92 19] ; [128  34],[89.45054945 21.54945055] ; [130.54945055  31.45054945],0
s4,1,0.429835,0.62327,[15 95] ; [ 17 145],[12.94117647 97.05882353] ; [ 19.05882353 142.94117647],0
a7,1,0.434041,0.611985,[76 35] ; [118  44],[78.87912088 32.12087912] ; [115.12087912  46.87912088],0
a5,1,0.46101,0.543441,[77 34] ; [119  43],[79.69230769 31.30769231] ; [116.30769231  45.69230769],0
