Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,56.294758,[49 60] ; [325  77],[79.77690802 29.22309198] ; [294.22309198 107.77690802],1
d2,1,0.0,53.085286,[25 85] ; [248 153],[58.76712329 51.23287671] ; [214.23287671 186.76712329],1
d1,1,0.0,45.985778,[42 68] ; [293 109],[71.97265625 38.02734375] ; [263.02734375 138.97265625],1
a4,1,0.0,40.351548,[24 86] ; [224 176],[53.49019608 56.50980392] ; [194.50980392 205.49019608],1
u1,1,0.0,28.806114,[  3 107] ; [106 296],[23.41796875 86.58203125] ; [ 85.58203125 316.41796875],1
d4,1,1.5e-05,18.768455,[77 33] ; [350  51],[91.91780822 18.08219178] ; [335.08219178  65.91780822],1
d5,1,0.000185,13.973785,[81 29] ; [353  48],[93.42465753 16.57534247] ; [340.57534247  60.42465753],1
r1,1,0.000389,12.582795,[81 29] ; [349  50],[92.92730845 17.07269155] ; [337.07269155  61.92730845],1
a6,1,0.000686,11.527105,[61 49] ; [291 111],[75.625 34.375] ; [276.375 125.625],1
v2,1,0.001598,9.962375,[48 58] ; [243 147],[62.18951613 43.81048387] ; [228.81048387 161.18951613],0
d3,1,0.00419,8.199478,[70 40] ; [310  92],[81.640625 28.359375] ; [298.359375 103.640625],0
n4,1,0.006673,7.359038,[80 30] ; [337  64],[89.76516634 20.23483366] ; [327.23483366  73.76516634],0
b3,1,0.007181,7.227153,[15 47] ; [114 153],[24.3100304 37.6899696] ; [104.6899696 162.3100304],0
b2,1,0.007181,7.227153,[15 47] ; [114 153],[24.3100304 37.6899696] ; [104.6899696 162.3100304],0
p10,1,0.009897,6.653302,[85 24] ; [351  49],[93.36738703 15.63261297] ; [342.63261297  57.36738703],0
s5,1,0.012805,6.195875,[29 74] ; [161 226],[39.93877551 63.06122449] ; [150.06122449 236.93877551],0
s8,1,0.01377,6.067373,[44 66] ; [212 186],[55.43307087 54.56692913] ; [200.56692913 197.43307087],0
a7,1,0.016142,5.787291,[73 36] ; [314  88],[82.54990215 26.45009785] ; [304.45009785  97.54990215],0
p9,1,0.01697,5.699452,[88 21] ; [358  43],[95.32156863 13.67843137] ; [350.67843137  50.32156863],0
s7,1,0.035141,4.438322,[49 54] ; [226 156],[58.40206186 44.59793814] ; [216.59793814 165.40206186],0
a1,1,0.078834,3.08878,[  2 108] ; [ 24 378],[  5.5859375 104.4140625] ; [ 20.4140625 381.5859375],0
v1,1,0.082303,3.018831,[56 51] ; [241 150],[63.81325301 43.18674699] ; [233.18674699 157.81325301],0
r4,1,0.094277,2.799784,[101   9] ; [385  17],[104.4140625   5.5859375] ; [381.5859375  20.4140625],0
p3,1,0.135714,2.225894,[68 42] ; [278 123],[74.481409 35.518591] ; [271.518591 129.481409],0
s2,1,0.149421,2.078152,[55 54] ; [231 166],[61.60869565 47.39130435] ; [224.39130435 172.60869565],0
u4,1,0.156126,2.011352,[  1 109] ; [ 14 388],[  3.22265625 106.77734375] ; [ 11.77734375 390.22265625],0
p11,1,0.181748,1.783271,[85 25] ; [333  69],[89.8046875 20.1953125] ; [328.1953125  73.8046875],0
p5,1,0.20155,1.63111,[22 86] ; [ 61 339],[17.64566929 90.35433071] ; [ 65.35433071 334.64566929],0
s6,1,0.207186,1.590979,[75 33] ; [295  96],[80.08016032 27.91983968] ; [289.91983968 101.08016032],0
p12,1,0.245623,1.34803,[  7 103] ; [ 40 361],[10.11741683 99.88258317] ; [ 36.88258317 364.11741683],0
u3,1,0.292136,1.109751,[35 25] ; [51 25],[37.94117647 22.05882353] ; [48.05882353 27.94117647],0
b1,1,0.332864,0.937724,[39 71] ; [163 239],[43.3984375 66.6015625] ; [158.6015625 243.3984375],0
b5,1,0.385647,0.752622,[68 42] ; [230 172],[64.0234375 45.9765625] ; [233.9765625 168.0234375],0
v3,1,0.446327,0.579962,[40 63] ; [166 220],[43.39059305 59.60940695] ; [162.60940695 223.39059305],0
n5,1,0.471197,0.519168,[86 24] ; [325  75],[88.64705882 21.35294118] ; [322.35294118  77.64705882],0
