Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.2e-05,17.310964,[ 3 26] ; [45 37],[12.54054054 16.45945946] ; [35.45945946 46.54054054],1
v4,1,0.000304,13.047392,[14 15] ; [67 14],[21.35454545  7.64545455] ; [59.64545455 21.35454545],1
u3,1,0.00334,8.611769,[ 1 17] ; [15 18],[ 5.64705882 12.35294118] ; [10.35294118 22.64705882],0
p10,1,0.011523,6.38277,[10 18] ; [50 29],[15.70093458 12.29906542] ; [44.29906542 34.70093458],0
a3,1,0.036263,4.384703,[11 18] ; [49 32],[15.81818182 13.18181818] ; [44.18181818 36.81818182],0
s7,1,0.038081,4.301405,[ 1 25] ; [17 62],[ 4.45714286 21.54285714] ; [13.54285714 65.45714286],0
d5,1,0.038618,4.27761,[13 16] ; [54 27],[17.66363636 11.33636364] ; [49.33636364 31.66363636],0
a6,1,0.042658,4.108889,[11 18] ; [49 33],[15.67567568 13.32432432] ; [44.32432432 37.67567568],0
v3,1,0.051517,3.7914,[ 2 27] ; [19 62],[ 5.53636364 23.46363636] ; [15.46363636 65.53636364],0
a8,1,0.115576,2.476265,[ 4 24] ; [ 4 74],[ 2.11320755 25.88679245] ; [ 5.88679245 72.11320755],0
d1,1,0.143748,2.137373,[ 6 23] ; [29 53],[ 9.14414414 19.85585586] ; [25.85585586 56.14414414],0
a7,1,0.153747,2.034677,[12 17] ; [46 35],[15.29090909 13.70909091] ; [42.70909091 38.29090909],0
p2,1,0.159286,1.980993,[14 15] ; [50 29],[17.18518519 11.81481481] ; [46.81481481 32.18518519],0
p11,1,0.164067,1.936333,[13 16] ; [49 33],[16.1981982 12.8018018] ; [45.8018018 36.1981982],0
r3,1,0.16892,1.892498,[17 11] ; [61 21],[19.85454545  8.14545455] ; [58.14545455 23.85454545],0
n2,1,0.169473,1.8876,[7 7] ; [18  7],[8.97435897 5.02564103] ; [16.02564103  8.97435897],0
p9,1,0.169587,1.886594,[15 12] ; [56 24],[17.91588785  9.08411215] ; [53.08411215 26.91588785],0
b1,1,0.17261,1.86013,[17 12] ; [36 46],[13.84684685 15.15315315] ; [39.15315315 42.84684685],0
s1,1,0.176564,1.826309,[ 3 26] ; [ 3 78],[ 1.58181818 27.41818182] ; [ 4.41818182 76.58181818],0
a2,1,0.22365,1.480798,[ 1 28] ; [ 9 73],[ 2.61261261 26.38738739] ; [ 7.38738739 74.61261261],0
