Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,27.425391,[39 42] ; [122  28],[56.45454545 24.54545455] ; [104.54545455  45.45454545],1
s2,1,0.001189,10.506947,[51 34] ; [124  32],[61.7219917 23.2780083] ; [113.2780083  42.7219917],0
s3,1,0.008837,6.85541,[51 34] ; [118  37],[59.85416667 25.14583333] ; [109.14583333  45.85416667],0
v1,1,0.012138,6.290545,[45 40] ; [106  47],[53.92857143 31.07142857] ; [97.07142857 55.92857143],0
a5,1,0.028039,4.825642,[60 26] ; [128  28],[66.80991736 19.19008264] ; [121.19008264  34.80991736],0
p9,1,0.035245,4.43325,[75 11] ; [147   8],[79.21991701  6.78008299] ; [142.78008299  12.21991701],0
u1,1,0.047686,3.921006,[14 72] ; [ 43 113],[20.25619835 65.74380165] ; [ 36.74380165 119.25619835],0
d1,1,0.06068,3.518695,[51 35] ; [111  45],[57.57024793 28.42975207] ; [104.42975207  51.57024793],0
d5,1,0.085197,2.962857,[69 17] ; [137  18],[73.51037344 12.48962656] ; [132.48962656  22.51037344],0
v3,1,0.15251,2.046961,[29 55] ; [67 85],[34.16949153 49.83050847] ; [61.83050847 90.16949153],0
a7,1,0.169144,1.890513,[66 20] ; [106  49],[61.37759336 24.62240664] ; [110.62240664  44.37759336],0
n1,1,0.178198,1.812587,[ 6 12] ; [16 14],[8.25 9.75] ; [13.75 16.25],0
a8,1,0.184451,1.761393,[ 8 69] ; [ 25 122],[11.34375 65.65625] ; [ 21.65625 125.34375],0
n2,1,0.208413,1.582418,[15  3] ; [20 10],[13.125  4.875] ; [21.875  8.125],0
d2,1,0.211969,1.557928,[43 43] ; [91 65],[47.61983471 38.38016529] ; [86.38016529 69.61983471],0
b4,1,0.22045,1.501437,[56 30] ; [89 67],[51.52892562 34.47107438] ; [93.47107438 62.52892562],0
b2,1,0.252745,1.308066,[19 33] ; [48 56],[22.33333333 29.66666667] ; [44.66666667 59.33333333],0
b3,1,0.252745,1.308066,[19 33] ; [48 56],[22.33333333 29.66666667] ; [44.66666667 59.33333333],0
