Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.001249,10.416667,[13  3] ; [ 7 17],[8. 8.] ; [12. 12.],0
b5,1,0.004592,8.033499,[13  3] ; [ 9 16],[8.58536585 7.41463415] ; [13.41463415 11.58536585],0
s5,1,0.020926,5.332976,[7 9] ; [ 3 22],[ 3.90243902 12.09756098] ; [ 6.09756098 18.90243902],0
s3,1,0.021583,5.279078,[10  5] ; [ 7 17],[6.53846154 8.46153846] ; [10.46153846 13.53846154],0
v1,1,0.0365,4.373596,[9 7] ; [ 6 19],[ 5.85365854 10.14634146] ; [ 9.14634146 15.85365854],0
p10,1,0.0455,4.0,[13  3] ; [12 12],[10.  6.] ; [15.  9.],0
p2,1,0.0455,4.0,[12  3] ; [12 13],[9. 6.] ; [15. 10.],0
p11,1,0.054902,3.685048,[10  6] ; [ 8 17],[7.02439024 8.97560976] ; [10.97560976 14.02439024],0
s2,1,0.0602,3.53187,[7 9] ; [ 4 20],[ 4.4 11.6] ; [ 6.6 17.4],0
r3,1,0.076249,3.143092,[10  5] ; [ 9 15],[7.30769231 7.69230769] ; [11.69230769 12.30769231],0
d5,1,0.097589,2.744515,[14  2] ; [16  9],[11.70731707  4.29268293] ; [18.29268293  6.70731707],0
a3,1,0.104377,2.637363,[8 8] ; [18  6],[10.4  5.6] ; [15.6  8.4],0
p7,1,0.117122,2.455385,[7 7] ; [ 6 18],[4.78947368 9.21052632] ; [ 8.21052632 15.78947368],0
b1,1,0.121075,2.403355,[ 5 11] ; [14 11],[7.41463415 8.58536585] ; [11.58536585 13.41463415],0
n4,1,0.140827,2.1689,[12  4] ; [13 12],[9.75609756 6.24390244] ; [15.24390244  9.75609756],0
v2,1,0.201495,1.631505,[8 6] ; [ 9 16],[6.1025641 7.8974359] ; [10.8974359 14.1025641],0
a2,1,0.224325,1.476488,[ 1 15] ; [ 5 20],[ 2.34146341 13.65853659] ; [ 3.65853659 21.34146341],0
s8,1,0.249819,1.324314,[ 5 11] ; [ 4 21],[ 3.51219512 12.48780488] ; [ 5.48780488 19.51219512],0
