Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,9.9e-05,15.149254,[12  3] ; [11 35],[5.6557377 9.3442623] ; [17.3442623 28.6557377],1
r2,1,0.000406,12.504344,[13  1] ; [17 27],[7.24137931 6.75862069] ; [22.75862069 21.24137931],1
v2,1,0.000766,11.322208,[10  5] ; [ 9 36],[ 4.75 10.25] ; [14.25 30.75],1
s6,1,0.002866,8.89095,[9 6] ; [ 9 37],[ 4.42622951 10.57377049] ; [13.57377049 32.42622951],0
d5,1,0.005483,7.71278,[13  2] ; [21 25],[8.36065574 6.63934426] ; [25.63934426 20.36065574],0
n6,1,0.030064,4.705615,[11  4] ; [18 26],[7.37288136 7.62711864] ; [21.62711864 22.37288136],0
d4,1,0.034742,4.457795,[13  2] ; [26 20],[9.59016393 5.40983607] ; [29.40983607 16.59016393],0
p2,1,0.046268,3.971798,[9 6] ; [14 31],[5.75 9.25] ; [17.25 27.75],0
p8,1,0.078024,3.10559,[6 9] ; [ 8 37],[ 3.5 11.5] ; [10.5 34.5],0
a7,1,0.087624,2.917487,[10  5] ; [19 27],[7.13114754 7.86885246] ; [21.86885246 24.13114754],0
p4,1,0.135017,2.233853,[7 8] ; [12 34],[ 4.67213115 10.32786885] ; [14.32786885 31.67213115],0
n1,1,0.150224,2.069972,[3 1] ; [ 8 14],[1.69230769 2.30769231] ; [ 9.30769231 12.69230769],0
d3,1,0.157618,1.996931,[9 6] ; [18 28],[6.63934426 8.36065574] ; [20.36065574 25.63934426],0
s3,1,0.165071,1.927145,[7 8] ; [12 32],[ 4.83050847 10.16949153] ; [14.16949153 29.83050847],0
s8,1,0.215861,1.531674,[ 4 11] ; [ 6 40],[ 2.45901639 12.54098361] ; [ 7.54098361 38.45901639],0
p9,1,0.22524,1.470668,[9 6] ; [18 25],[6.98275862 8.01724138] ; [20.01724138 22.98275862],0
u3,1,0.233884,1.417081,[2 5] ; [ 2 18],[1.03703704 5.96296296] ; [ 2.96296296 17.03703704],0
v3,1,0.270826,1.212557,[ 5 10] ; [ 9 37],[ 3.44262295 11.55737705] ; [10.55737705 35.44262295],0
n5,1,0.324811,0.969476,[8 7] ; [31 15],[9.59016393 5.40983607] ; [29.40983607 16.59016393],0
a8,1,0.341488,0.904838,[ 3 11] ; [ 5 39],[ 1.93103448 12.06896552] ; [ 6.06896552 37.93103448],0
u2,1,0.373195,0.792998,[3 4] ; [ 5 15],[2.07407407 4.92592593] ; [ 5.92592593 14.07407407],0
s4,1,0.394247,0.725803,[ 1 14] ; [ 7 39],[ 1.96721311 13.03278689] ; [ 6.03278689 39.96721311],0
a2,1,0.394247,0.725803,[ 1 14] ; [ 7 39],[ 1.96721311 13.03278689] ; [ 6.03278689 39.96721311],0
p12,1,0.39615,0.719983,[ 1 14] ; [ 1 45],[ 0.49180328 14.50819672] ; [ 1.50819672 44.49180328],0
p6,1,0.398825,0.711865,[ 3 12] ; [ 5 39],[ 2.03389831 12.96610169] ; [ 5.96610169 38.03389831],0
p11,1,0.415352,0.663429,[8 7] ; [19 27],[6.63934426 8.36065574] ; [20.36065574 25.63934426],0
p10,1,0.479841,0.499224,[7 8] ; [16 28],[5.84745763 9.15254237] ; [17.15254237 26.84745763],0
d1,1,0.493158,0.469629,[6 9] ; [14 32],[ 4.91803279 10.08196721] ; [15.08196721 30.91803279],0
a5,1,0.505961,0.442412,[7 8] ; [26 20],[8.1147541 6.8852459] ; [24.8852459 21.1147541],0
a4,1,0.527089,0.4,[ 4 11] ; [16 29],[ 5. 10.] ; [15. 30.],0
d2,1,0.542802,0.37037,[7 8] ; [17 28],[6. 9.] ; [18. 27.],0
b4,1,0.583158,0.301157,[10  5] ; [27 19],[9.09836066 5.90163934] ; [27.90163934 18.09836066],0
v1,1,0.630735,0.231065,[ 4 11] ; [15 30],[ 4.75 10.25] ; [14.25 30.75],0
b1,1,0.711014,0.137267,[7 8] ; [24 22],[7.62295082 7.37704918] ; [23.37704918 22.62295082],0
s2,1,0.724498,0.124224,[ 3 12] ; [11 34],[ 3.5 11.5] ; [10.5 34.5],0
p5,1,0.732356,0.116959,[ 1 14] ; [ 2 43],[ 0.75 14.25] ; [ 2.25 42.75],0
a3,1,0.763545,0.090498,[8 7] ; [26 19],[8.5 6.5] ; [25.5 19.5],0
p3,1,0.829717,0.046253,[ 4 11] ; [11 35],[ 3.68852459 11.31147541] ; [11.31147541 34.68852459],0
s7,1,0.846026,0.03771,[ 3 11] ; [ 8 34],[ 2.75 11.25] ; [ 8.25 33.75],0
b3,1,0.849679,0.035921,[2 5] ; [10 21],[2.21052632 4.78947368] ; [ 9.78947368 21.21052632],0
b2,1,0.849679,0.035921,[2 5] ; [10 21],[2.21052632 4.78947368] ; [ 9.78947368 21.21052632],0
b5,1,0.937762,0.006097,[8 7] ; [24 22],[7.86885246 7.13114754] ; [24.13114754 21.86885246],0
a6,1,0.945411,0.004688,[7 8] ; [21 25],[6.8852459 8.1147541] ; [21.1147541 24.8852459],0
p7,1,0.958595,0.002695,[ 5 10] ; [15 31],[ 4.91803279 10.08196721] ; [15.08196721 30.91803279],0
n4,1,0.958595,0.002695,[10  5] ; [31 15],[10.08196721  4.91803279] ; [30.91803279 15.08196721],0
