Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001512,10.06365,[ 4 33] ; [59 96],[12.140625 24.859375] ; [ 50.859375 104.140625],0
n4,1,0.003294,8.636801,[17 20] ; [114  46],[24.60406091 12.39593909] ; [106.39593909  53.60406091],0
r4,1,0.004322,8.143361,[25 12] ; [140  21],[30.83333333  6.16666667] ; [134.16666667  26.83333333],0
r3,1,0.020992,5.327494,[33  4] ; [156   4],[35.49746193  1.50253807] ; [153.50253807   6.49746193],0
p3,1,0.028068,4.823872,[ 8 29] ; [66 95],[13.82828283 23.17171717] ; [ 60.17171717 100.82828283],0
p10,1,0.029999,4.709378,[23 14] ; [125  33],[28.08205128  8.91794872] ; [119.91794872  38.08205128],0
n5,1,0.032018,4.597531,[19 17] ; [114  46],[24.42857143 11.57142857] ; [108.57142857  51.42857143],0
s4,1,0.049694,3.851743,[11 26] ; [ 25 133],[ 6.83076923 30.16923077] ; [ 29.16923077 128.83076923],0
b1,1,0.069245,3.300836,[16 21] ; [ 45 116],[11.3989899 25.6010101] ; [ 49.6010101 111.3989899],0
a7,1,0.079468,3.075742,[20 17] ; [110  49],[24.54081633 12.45918367] ; [105.45918367  53.54081633],0
b5,1,0.095631,2.776928,[26 11] ; [89 72],[21.48989899 15.51010101] ; [93.51010101 67.48989899],0
r2,1,0.117579,2.449271,[30  6] ; [147  13],[32.51020408  3.48979592] ; [144.48979592  15.51020408],0
s8,1,0.122722,2.382237,[ 8 29] ; [ 56 105],[11.95959596 25.04040404] ; [ 52.04040404 108.95959596],0
p5,1,0.127508,2.322586,[ 1 36] ; [ 17 141],[ 3.41538462 33.58461538] ; [ 14.58461538 143.41538462],0
n2,1,0.129393,2.299769,[11  1] ; [23 10],[9.06666667 2.93333333] ; [24.93333333  8.06666667],0
u2,1,0.132938,2.257852,[15  6] ; [42 37],[11.97  9.03] ; [45.03 33.97],0
v1,1,0.181159,1.788087,[12 24] ; [72 86],[15.58762887 20.41237113] ; [68.41237113 89.58762887],0
u3,1,0.190082,1.71698,[14  7] ; [40 39],[11.34  9.66] ; [42.66 36.34],0
p9,1,0.191885,1.703084,[27 10] ; [131  28],[29.82653061  7.17346939] ; [128.17346939  30.82653061],0
a4,1,0.203973,1.613697,[ 5 32] ; [ 37 124],[ 7.84848485 29.15151515] ; [ 34.15151515 126.84848485],0
p6,1,0.213243,1.54927,[15 20] ; [ 50 107],[11.84895833 23.15104167] ; [ 53.15104167 103.84895833],0
n1,1,0.227268,1.457881,[7 5] ; [13 21],[5.2173913 6.7826087] ; [14.7826087 19.2173913],0
