Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.703029,[22 12] ; [ 5 32],[12.92957746 21.07042254] ; [14.07042254 22.92957746],1
s5,1,5e-05,16.456229,[16 17] ; [ 2 34],[ 8.60869565 24.39130435] ; [ 9.39130435 26.60869565],1
s4,1,0.000711,11.460367,[13 21] ; [ 2 35],[ 7.18309859 26.81690141] ; [ 7.81690141 29.18309859],1
s8,1,0.001566,9.99886,[12 22] ; [ 2 35],[ 6.70422535 27.29577465] ; [ 7.29577465 29.70422535],0
p6,1,0.008123,7.006048,[10 24] ; [ 2 34],[ 5.82857143 28.17142857] ; [ 6.17142857 29.82857143],0
s7,1,0.008943,6.834272,[13 19] ; [ 4 29],[ 8.36923077 23.63076923] ; [ 8.63076923 24.36923077],0
n6,1,0.012013,6.308987,[23 11] ; [14 23],[17.71830986 16.28169014] ; [19.28169014 17.71830986],0
s3,1,0.013474,6.105815,[19 15] ; [10 27],[13.88732394 20.11267606] ; [15.11267606 21.88732394],0
r4,1,0.019812,5.428386,[28  6] ; [21 16],[23.46478873 10.53521127] ; [25.53521127 11.46478873],0
v1,1,0.023604,5.123522,[16 18] ; [ 8 29],[11.49295775 22.50704225] ; [12.50704225 24.49295775],0
p4,1,0.02867,4.787345,[16 18] ; [ 8 28],[11.65714286 22.34285714] ; [12.34285714 23.65714286],0
p3,1,0.030408,4.686076,[11 23] ; [ 4 32],[ 7.28571429 26.71428571] ; [ 7.71428571 28.28571429],0
s1,1,0.033419,4.524174,[ 1 33] ; [ 7 30],[ 3.83098592 30.16901408] ; [ 4.16901408 32.83098592],0
v2,1,0.054792,3.688417,[17 14] ; [11 24],[13.15151515 17.84848485] ; [14.84848485 20.15151515],0
n2,1,0.07191,3.238866,[12  4] ; [7 9],[9.5 6.5] ; [9.5 6.5],0
r3,1,0.081678,3.031194,[31  3] ; [28  9],[28.25352113  5.74647887] ; [30.74647887  6.25352113],0
r2,1,0.106378,2.607218,[30  4] ; [27 10],[27.29577465  6.70422535] ; [29.70422535  7.29577465],0
p11,1,0.130734,2.283768,[18 16] ; [13 24],[14.84507042 19.15492958] ; [16.15492958 20.84507042],0
a5,1,0.172948,1.8572,[22 12] ; [18 19],[19.15492958 14.84507042] ; [20.84507042 16.15492958],0
d5,1,0.192772,1.696305,[26  8] ; [23 14],[23.46478873 10.53521127] ; [25.53521127 11.46478873],0
d3,1,0.196107,1.671136,[19 15] ; [15 22],[16.28169014 17.71830986] ; [17.71830986 19.28169014],0
u2,1,0.248767,1.330215,[5 7] ; [9 5],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
a4,1,0.310962,1.026587,[15 19] ; [12 25],[12.92957746 21.07042254] ; [14.07042254 22.92957746],0
p8,1,0.340784,0.907478,[11 23] ; [ 8 28],[ 9.22857143 24.77142857] ; [ 9.77142857 26.22857143],0
p7,1,0.347558,0.882353,[12 22] ; [ 9 27],[10.2 23.8] ; [10.8 25.2],0
r1,1,0.376809,0.781086,[21 13] ; [19 18],[19.15492958 14.84507042] ; [20.84507042 16.15492958],0
b4,1,0.376809,0.781086,[21 13] ; [19 18],[19.15492958 14.84507042] ; [20.84507042 16.15492958],0
a2,1,0.408111,0.684297,[ 6 28] ; [ 4 33],[ 4.78873239 29.21126761] ; [ 5.21126761 31.78873239],0
p9,1,0.466661,0.52987,[18 15] ; [16 19],[16.5 16.5] ; [17.5 17.5],0
n1,1,0.519043,0.415794,[ 6 10] ; [ 4 11],[ 5.16129032 10.83870968] ; [ 4.83870968 10.16129032],0
v3,1,0.523006,0.407961,[ 9 22] ; [ 8 28],[ 7.86567164 23.13432836] ; [ 9.13432836 26.86567164],0
d4,1,0.555507,0.347544,[26  8] ; [26 11],[24.90140845  9.09859155] ; [27.09859155  9.90140845],0
b2,1,0.590438,0.289661,[ 6 11] ; [ 6 16],[ 5.23076923 11.76923077] ; [ 6.76923077 15.23076923],0
b3,1,0.590438,0.289661,[ 6 11] ; [ 6 16],[ 5.23076923 11.76923077] ; [ 6.76923077 15.23076923],0
d1,1,0.590739,0.289191,[15 19] ; [14 23],[13.88732394 20.11267606] ; [15.11267606 21.88732394],0
p10,1,0.632446,0.228758,[18 16] ; [17 19],[17. 17.] ; [18. 18.],0
v4,1,0.674126,0.176813,[28  6] ; [29  8],[27.29577465  6.70422535] ; [29.70422535  7.29577465],0
a6,1,0.732651,0.116691,[17 17] ; [17 20],[16.28169014 17.71830986] ; [17.71830986 19.28169014],0
n5,1,0.740585,0.109613,[11 23] ; [13 23],[11.65714286 22.34285714] ; [12.34285714 23.65714286],0
u3,1,0.755794,0.096726,[7 5] ; [9 5],[7.38461538 4.61538462] ; [8.61538462 5.38461538],0
a3,1,0.824118,0.049396,[22 12] ; [23 14],[21.54929577 12.45070423] ; [23.45070423 13.54929577],0
n3,1,0.852765,0.034444,[8 8] ; [8 7],[8.25806452 7.74193548] ; [7.74193548 7.25806452],0
